stage,lane,trades,weekdays,trades_per_weekday,net_pnl_dollars,profit_factor,average_pnl_dollars,win_rate,closed_drawdown_dollars,active_weekday_share,positive_month_share,first_half_net_dollars,second_half_net_dollars,top_winners_removed_net_dollars,worst_weekday_dollars,best_weekday_dollars,maximum_risk_usd
development,CORE,209,784,0.26658163265306123,170.91637298659512,1.480805139297299,0.8177816889310772,0.41148325358851673,36.781119010248965,0.20918367346938777,0.5555555555555556,9.104705884392315,161.81166710220282,-53.580055442504914,-24.23034975360065,33.36564173159515,21.708815281139437
development,ADDON,355,784,0.4528061224489796,167.28921341795737,1.1770600493690846,0.47123722089565456,0.4309859154929577,157.8752418105155,0.4528061224489796,0.4444444444444444,-48.16255632823844,215.45176974619585,41.3649803494005,-8.23407064156752,14.727279271416704,7.747220970796168
development,COMBINED,564,784,0.7193877551020408,338.20558640455243,1.260098968094808,0.5996552950435327,0.4237588652482269,169.7277033163838,0.5433673469387755,0.5555555555555556,-39.05785044384609,377.26343684839867,113.46635056392398,-16.070701573704333,36.08678210522286,21.708815281139437
validation,CORE,356,521,0.6833013435700576,749.7689519180794,1.731007439573738,2.106092561567639,0.4550561797752809,252.67618853790165,0.32437619961612285,0.4166666666666667,12.672947978750823,737.0960039393286,254.8728148361346,-72.84,154.10383910747117,10.722408833680714
validation,ADDON,261,521,0.5009596928982726,427.33900532690177,1.7593679813285519,1.6373141966547962,0.524904214559387,89.975714851848,0.5009596928982726,0.5416666666666666,208.17793772260794,219.1610676042938,306.5706935933508,-8.848762661857055,14.352797353090077,8.10001205891131
validation,COMBINED,617,521,1.1842610364683301,1177.1079572449812,1.7410551945677475,1.9077924752754962,0.4846029173419773,161.6976008848564,0.6161228406909789,0.4583333333333333,220.85088570135872,956.2570715436225,682.2118201630365,-67.72,150.10696410747119,10.722408833680714
final_exam,CORE,365,522,0.6992337164750958,3180.9781401028276,2.4722165621819143,8.715008603021445,0.44931506849315067,212.14063237367964,0.3103448275862069,0.7916666666666666,1182.9942411361108,1997.983898966717,1158.4165415085042,-123.05000000000001,387.46748757619,44.19064332455849
final_exam,ADDON,304,522,0.5823754789272031,114.78159332127267,1.1141905657786224,0.37757103066208114,0.40789473684210525,134.5896617554141,0.5823754789272031,0.4166666666666667,216.69745502052842,-101.91586169925567,-32.961955296505124,-8.908347969976854,15.189661887795804,8.14764601813298
final_exam,COMBINED,669,522,1.2816091954022988,3295.759733424101,2.0410352009186203,4.926397209901496,0.4304932735426009,311.6108661057126,0.6704980842911877,0.7916666666666666,1399.6916961566394,1896.0680372674615,1273.1981348297772,-123.05000000000001,387.46748757619,44.19064332455849
recent_tail,CORE,138,261,0.5287356321839081,1997.983898966717,3.046612153030779,14.478144195410994,0.5,106.71191810695882,0.2567049808429119,1.0,749.0239519861416,1248.9599469805758,573.8611706047031,-83.28,387.46748757619,44.19064332455849
recent_tail,ADDON,132,261,0.5057471264367817,-101.91586169925567,0.8238911586283936,-0.7720898613579975,0.3181818181818182,122.60946955814504,0.5057471264367817,0.4166666666666667,-83.30866541153,-18.607196287725664,-177.02840025744365,-8.908347969976854,15.189661887795804,8.14764601813298
recent_tail,COMBINED,270,261,1.0344827586206897,1896.0680372674615,2.2193762361586478,7.022474212101709,0.4111111111111111,163.96287493625618,0.5823754789272031,0.8333333333333334,665.7152865746117,1230.35275069285,471.9453089054474,-92.0152828754032,387.46748757619,44.19064332455849
