attempt_no,policy_id,mechanic,raw_discovery_signal_count,parameters_json
8112,c5aaa9188e5fc9dd,MM_OPTIONS_FLOW_CONTINUATION,453,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":104,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":0.75,""target_r"":2.0,""threshold_z"":1.0}"
8113,fa7f5908452ebec6,MM_OPTIONS_FLOW_CONTINUATION,702,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":104,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":0.75,""target_r"":2.0,""threshold_z"":1.25}"
8114,fcb092183921e828,MM_OPTIONS_FLOW_CONTINUATION,2253,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":52,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":1.5,""target_r"":2.0,""threshold_z"":1.25}"
8115,726d7065b495ae70,MM_OPTIONS_FLOW_CONTINUATION,2750,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":52,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":1.5,""target_r"":2.0,""threshold_z"":1.25}"
8116,ce333d28b66dc967,MM_OPTIONS_FLOW_CONTINUATION,842,"{""crowd_extension_atr_min"":0.0,""hold_hours"":12,""lookback"":104,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":0.75,""target_r"":1.25,""threshold_z"":1.5}"
8117,d3b3aec66b23e5cd,MM_OPTIONS_FLOW_CONTINUATION,951,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":52,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":1.5,""target_r"":1.5,""threshold_z"":1.0}"
8118,3da6823bdfb59de9,MM_OPTIONS_FLOW_CONTINUATION,506,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":52,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":1.5,""threshold_z"":1.0}"
8119,6074ab0c072aeb68,MM_OPTIONS_FLOW_CONTINUATION,765,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":104,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":1.5,""threshold_z"":1.25}"
8120,bb04d7e07015c939,MM_OPTIONS_FLOW_CONTINUATION,990,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":52,""price_filter"":""NONE"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.5,""threshold_z"":1.5}"
8121,3751b76744efb861,MM_OPTIONS_FLOW_CONTINUATION,760,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":104,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":1.25,""target_r"":2.0,""threshold_z"":0.75}"
8122,f8493457e68e4a6d,MM_OPTIONS_FLOW_CONTINUATION,175,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":104,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""ASIA"",""stop_atr"":1.5,""target_r"":1.5,""threshold_z"":1.25}"
8123,fc314b52d60217c2,MM_OPTIONS_FLOW_CONTINUATION,313,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":156,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":2.0,""threshold_z"":1.0}"
