trade_id,entry_time_utc,source_id,proposal_rule,causal_rank,prior_20_profit_factor,source_health_cost_offset_usd,prior_virtual_profit_factor,prior_consecutive_losses,prior_source_closed_count,candidate_endpoint_pnl_usd,baseline_runtime_executed,baseline_runtime_pnl_usd
V9_BREAK_20210618T014000Z_LONG,2021-06-18T01:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.0,0.28356907023919387,0.0,0.38329598432346945,0,61,-3.982291666666667,True,-3.982291666666667
V7_20210813T105500Z_SHORT,2021-08-13T10:55:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.03888888888888889,0.47977070225939067,0.0,0.8860630426114865,1,64,-4.006597222222222,True,-4.006597222222222
V9_BREAK_20220802T132500Z_SHORT,2022-08-02T13:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.08868501529051988,0.7652394406534615,0.0,0.6547633580550127,8,107,-6.327940880607618,True,-6.327940880607618
2023-04-04 13:30:00|LONG|r1_h1_pullback_long_v1,2023-04-04T13:30:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.05628517823639775,0.6368108337513005,0.0,1.1988344189235516,2,73,12.75,True,12.75
2023-05-04 14:00:00|LONG|r1_h1_pullback_long_v1,2023-05-04T14:00:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.06039076376554174,0.7985143918291556,0.0,0.5880603356702782,4,81,-13.600000000000001,True,-13.600000000000001
V9_BREAK_20231009T142000Z_LONG,2023-10-09T14:20:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.0974124809741248,0.8381210735025804,0.0,1.0115755960300508,8,168,6.736495754182175,False,
V9_BREAK_20231012T124000Z_SHORT,2023-10-12T12:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.045454545454545456,0.6847275193270546,0.0,0.9731685449570056,9,169,6.4605902777777775,False,
V9_BREAK_20231016T122500Z_LONG,2023-10-16T12:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.09939759036144578,0.8402250002919529,0.0,1.388209150809888,1,172,-4.164776356418451,False,
V9_BREAK_20231018T133500Z_LONG,2023-10-18T13:35:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.05405405405405406,0.8409124039818079,0.0,1.2396794670271931,0,173,7.751915888833644,False,
V9_BREAK_20231019T124000Z_LONG,2023-10-19T12:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.01649175412293853,0.8409124039818079,0.0,1.219356930350164,0,173,-4.043590533833685,False,
V9_BREAK_20231026T151000Z_LONG,2023-10-26T15:10:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.05223880597014925,0.8063136067136465,0.0,1.1525791604849234,1,175,-5.531389213194221,False,
2023-11-27 14:30:00|LONG|r1_h1_pullback_long_v1,2023-11-27T14:30:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.03012912482065997,0.2738241124526927,0.0,1.2594074074074075,13,97,-5.819999999999999,True,-5.819999999999999
2023-11-29 11:45:00|LONG|r1_h1_pullback_long_v1,2023-11-29T11:45:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.09943181818181818,0.6677397868561278,0.0,5.247393364928909,0,102,-3.8099999999999996,True,-3.8099999999999996
V9_BREAK_20240717T024000Z_SHORT,2024-07-17T02:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.08178844056706652,0.5892100732708568,0.0,0.4008078105987337,0,222,-5.910688466892245,True,2.2394354698303482
V9_BREAK_20240718T070500Z_LONG,2024-07-18T07:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.09229098805646037,0.540193729016698,0.0,0.511974920098254,0,223,-4.417077028974225,True,-4.417077028974225
V7_20241007T082500Z_SHORT,2024-10-07T08:25:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.03788634097706879,0.4762212641504616,0.0,0.3638869043959852,1,236,-4.839140796303192,True,-4.839140796303192
V9_BREAK_20241024T075000Z_SHORT,2024-10-24T07:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.0647342995169082,0.7135240672209707,0.0,0.6430693745893092,1,245,-4.121659523873351,True,-4.121659523873351
V7_20250704T073500Z_LONG,2025-07-04T07:35:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.014328808446455505,0.8733288666257494,0.0,1.5181844322047024,2,330,-4.8879749332363716,True,-4.8879749332363716
V9_BREAK_20250924T000500Z_SHORT,2025-09-24T00:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.09795630725863284,0.9817135707692763,0.0,1.1786210768167134,0,352,-5.680395270063707,True,-5.680395270063707
V9_BREAK_20250924T011000Z_LONG,2025-09-24T01:10:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.03943661971830986,0.9817135707692763,0.0,1.207387183554094,0,352,-6.53165427614743,True,-6.53165427614743
V9_BREAK_20260325T013500Z_LONG,2026-03-25T01:35:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.026200873362445413,1.3802389121984873,0.0,1.5858922629934187,1,435,-25.591208720530712,True,-25.591208720530712
