threshold,qualified,trades_2021,pf_2021,net_r_2021,trades_2022,pf_2022,net_r_2022,minimum_annual_pf,total_net_r
0.35,False,471,0.7119981434205457,-93.07500000007076,390,0.7755024288025777,-58.92500000004547,0.7119981434205457,-152.00000000011624
0.375,False,289,0.673532696364123,-65.77500000004233,232,0.7409733124017073,-41.25000000002987,0.673532696364123,-107.0250000000722
0.4,False,142,0.627814897302469,-37.600000000020394,83,0.6541577825158403,-20.27500000000959,0.627814897302469,-57.875000000029985
0.425,False,57,0.9045296167244755,-3.425000000009671,31,0.583516483516342,-9.475000000003785,0.583516483516342,-12.900000000013456
0.45,False,14,0.7994579945797257,-1.8500000000021277,11,0.14390243902435063,-8.775000000000865,0.14390243902435063,-10.625000000002993
0.475,False,4,1.4390243902435063,0.8999999999992347,4,0.0,-4.100000000000215,0.0,-3.20000000000098
0.5,False,0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.525,False,0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.55,False,0,0.0,0.0,0,0.0,0.0,0.0,0.0
