feature,coefficient,walk_forward_window,training_rows
aligned_dxy_gap_atr,0.16725283955868833,DEVELOPMENT_FIT,
aligned_ema_gap_atr,0.09695012399327603,DEVELOPMENT_FIT,
hour_sin,0.09646811664922424,DEVELOPMENT_FIT,
aligned_return_24_atr,0.06806722719990468,DEVELOPMENT_FIT,
weekday_sin,0.04468034792924075,DEVELOPMENT_FIT,
aligned_gbpusd_return_12_atr,0.0440996847246831,DEVELOPMENT_FIT,
tick_ratio,0.032202326864573375,DEVELOPMENT_FIT,
aligned_usdjpy_return_6_atr,0.02678473671070498,DEVELOPMENT_FIT,
aligned_gbpusd_return_3_atr,0.026640700212725642,DEVELOPMENT_FIT,
usdjpy_range_atr,0.02426596197448666,DEVELOPMENT_FIT,
aligned_return_1_atr,0.00786351102321968,DEVELOPMENT_FIT,
aligned_gbpusd_return_24_atr,0.006986846965790846,DEVELOPMENT_FIT,
aligned_return_12_atr,0.005731434322200997,DEVELOPMENT_FIT,
side_room_atr,0.004958075946103006,DEVELOPMENT_FIT,
aligned_return_6_atr,0.002837302656560279,DEVELOPMENT_FIT,
dxy_range_12_atr,0.0026332335226219544,DEVELOPMENT_FIT,
gbpusd_tick_ratio,-0.0005337717235906336,DEVELOPMENT_FIT,
aligned_usdjpy_return_24_atr,-0.00638190931560208,DEVELOPMENT_FIT,
range_atr,-0.007662612376658877,DEVELOPMENT_FIT,
weekday_cos,-0.008078670204352094,DEVELOPMENT_FIT,
aligned_usdjpy_return_12_atr,-0.010896530115459685,DEVELOPMENT_FIT,
aligned_gbpusd_return_6_atr,-0.01432383308871216,DEVELOPMENT_FIT,
aligned_usdjpy_return_3_atr,-0.014524461458729513,DEVELOPMENT_FIT,
eurusd_range_12_atr,-0.01571617468279363,DEVELOPMENT_FIT,
usdjpy_tick_ratio,-0.022878085115108734,DEVELOPMENT_FIT,
gbpusd_range_atr,-0.03496539677775159,DEVELOPMENT_FIT,
aligned_return_3_atr,-0.03636445324300476,DEVELOPMENT_FIT,
aligned_close_location,-0.041568229199952206,DEVELOPMENT_FIT,
aligned_bond_gap_atr,-0.043654334298921536,DEVELOPMENT_FIT,
hour_cos,-0.04955366910113343,DEVELOPMENT_FIT,
aligned_eurusd_h1_gap_atr,-0.14996225543404312,DEVELOPMENT_FIT,
aligned_anchor_gap_atr,-0.23378306076727356,DEVELOPMENT_FIT,
aligned_dxy_gap_atr,0.1726540433423315,validation_2023,49016.0
hour_sin,0.10428561226002435,validation_2023,49016.0
side_room_atr,0.04476767543280059,validation_2023,49016.0
weekday_sin,0.03763531926138371,validation_2023,49016.0
aligned_usdjpy_return_6_atr,0.03544305797107668,validation_2023,49016.0
aligned_gbpusd_return_24_atr,0.026312055519365295,validation_2023,49016.0
aligned_gbpusd_return_3_atr,0.023443246499918424,validation_2023,49016.0
aligned_usdjpy_return_24_atr,0.012555470985857207,validation_2023,49016.0
gbpusd_tick_ratio,0.01191943230710375,validation_2023,49016.0
aligned_return_12_atr,0.010842165439059899,validation_2023,49016.0
tick_ratio,0.008122676123714248,validation_2023,49016.0
aligned_usdjpy_return_12_atr,0.004440180468232257,validation_2023,49016.0
