entry_time,exit_time,candidate,status,symbol,direction,state,profit_aed,time_bucket,outcome,shadow_action,shadow_reason,position_ticket
2026-06-03 17:05:01,,symbol_normalized_round_retest_v0,ACCEPTED,EURUSD,BUY,OPEN,2.90,Evening 16:00-19:59,OPEN,KEEP,KEEP,3797719
2026-06-03 17:00:01,2026-06-03 17:24:18,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,39.65,Evening 16:00-19:59,WIN,KEEP,KEEP,3797624
2026-06-03 16:40:01,2026-06-03 16:41:16,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-23.29,Evening 16:00-19:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3797375
2026-06-03 16:30:00,2026-06-03 16:44:02,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-24.51,Evening 16:00-19:59,LOSS,KEEP,KEEP,3797251
2026-06-03 15:50:02,2026-06-03 16:20:00,breakout_retest,ACCEPTED,EURUSD,BUY,CLOSED,-3.67,Afternoon 12:00-15:59,LOSS,KEEP,KEEP,3796764
2026-06-03 15:20:00,2026-06-03 15:20:54,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-16.17,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3796571
2026-06-03 15:00:01,2026-06-03 15:45:09,session_extreme_retest_v0,PROVISIONAL,USDJPY,SELL,CLOSED,-1.24,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3796441
2026-06-03 14:40:00,2026-06-03 15:02:58,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-18.78,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3796311
2026-06-03 14:15:00,2026-06-03 16:38:14,session_extreme_retest_v0,PROVISIONAL,EURUSD,SELL,CLOSED,5.51,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3796077
2026-06-03 14:05:01,2026-06-03 14:06:12,session_extreme_retest_v0,PROVISIONAL,USDJPY,SELL,CLOSED,1.72,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3795860
2026-06-03 13:25:00,2026-06-03 13:36:12,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,29.74,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3795528
2026-06-03 13:20:00,2026-06-03 13:29:57,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,34.88,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3795493
2026-06-03 13:15:01,2026-06-03 14:05:53,breakout_retest,ACCEPTED,EURUSD,SELL,CLOSED,-3.67,Afternoon 12:00-15:59,LOSS,KEEP,KEEP,3795452
2026-06-03 13:05:00,2026-06-03 13:29:05,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-24.40,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3795327
2026-06-03 12:55:01,2026-06-03 13:03:36,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-16.06,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3795216
2026-06-03 12:50:01,2026-06-03 13:29:29,session_extreme_retest_v0,PROVISIONAL,USDJPY,SELL,CLOSED,-3.06,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3795132
2026-06-03 12:50:00,2026-06-03 12:51:48,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,23.17,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3795129
2026-06-03 12:40:01,,breakout_retest,ACCEPTED,USDJPY,BUY,OPEN,3.97,Afternoon 12:00-15:59,OPEN,KEEP,KEEP,3795082
2026-06-03 12:20:01,2026-06-03 12:30:02,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-16.61,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3794920
2026-06-03 12:00:01,2026-06-03 12:04:00,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-22.48,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3794739
2026-06-03 11:50:01,2026-06-03 12:31:02,breakout_retest,ACCEPTED,USDJPY,BUY,CLOSED,-3.50,Morning 06:00-11:59,LOSS,KEEP,KEEP,3794628
2026-06-03 11:05:01,2026-06-03 11:26:48,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-18.30,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3794179
2026-06-03 10:50:00,2026-06-03 11:03:03,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-22.89,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3794056
2026-06-03 10:25:00,2026-06-03 11:03:34,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-24.36,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3793835
2026-06-03 09:40:00,2026-06-03 09:59:10,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-38.43,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3793380
2026-06-03 09:30:01,2026-06-03 12:40:19,breakout_retest,ACCEPTED,EURUSD,SELL,CLOSED,5.51,Morning 06:00-11:59,WIN,KEEP,KEEP,3793239
2026-06-03 09:15:00,2026-06-03 09:24:52,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-18.00,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3793144
2026-06-03 06:25:01,2026-06-03 08:39:18,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-26.56,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3792405
2026-06-03 06:15:01,2026-06-03 06:19:21,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-24.40,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3792370
2026-06-03 05:50:00,2026-06-03 09:27:14,breakout_retest,ACCEPTED,EURUSD,BUY,CLOSED,-3.67,Night 20:00-05:59,LOSS,KEEP,KEEP,3792261
2026-06-03 05:15:00,2026-06-03 06:13:04,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-32.96,Night 20:00-05:59,LOSS,KEEP,KEEP,3791961
2026-06-03 05:05:00,2026-06-03 05:07:51,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,19.31,Night 20:00-05:59,WIN,KEEP,KEEP,3791836
2026-06-03 05:00:00,2026-06-03 05:01:22,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,23.61,Night 20:00-05:59,WIN,KEEP,KEEP,3791722
2026-06-03 04:35:00,2026-06-03 04:40:41,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,28.45,Night 20:00-05:59,WIN,KEEP,KEEP,3791515
2026-06-03 04:20:01,2026-06-03 04:28:57,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,18.61,Night 20:00-05:59,WIN,KEEP,KEEP,3791409
2026-06-03 03:10:00,2026-06-03 03:19:31,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,36.64,Night 20:00-05:59,WIN,KEEP,KEEP,3790262
2026-06-03 02:20:02,2026-06-03 12:15:18,session_extreme_retest_v0,PROVISIONAL,EURUSD,SELL,CLOSED,5.51,Night 20:00-05:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3789861
2026-06-03 00:45:01,2026-06-03 03:31:26,breakout_retest,ACCEPTED,EURUSD,BUY,CLOSED,-4.09,Night 20:00-05:59,LOSS,KEEP,KEEP,3789410
2026-06-02 20:25:01,2026-06-02 22:11:13,session_extreme_retest_v0,PROVISIONAL,EURUSD,SELL,CLOSED,5.47,Night 20:00-05:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3785596
2026-06-02 17:45:00,2026-06-02 20:39:46,breakout_retest,ACCEPTED,EURUSD,SELL,CLOSED,5.51,Evening 16:00-19:59,WIN,KEEP,KEEP,3781514
2026-06-02 17:15:00,2026-06-02 18:17:50,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,65.72,Evening 16:00-19:59,WIN,KEEP,KEEP,3780511
2026-06-02 15:30:00,2026-06-02 15:36:50,session_extreme_retest_v0,PROVISIONAL,XAUUSD,BUY,CLOSED,-10.51,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3778847
2026-06-02 14:50:01,2026-06-02 15:15:37,session_extreme_retest_v0,PROVISIONAL,XAUUSD,BUY,CLOSED,-11.02,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3778440
2026-06-02 14:10:01,2026-06-02 14:21:49,session_extreme_retest_v0,PROVISIONAL,XAUUSD,BUY,CLOSED,-14.40,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3778086
2026-06-02 13:35:00,2026-06-02 13:51:59,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-19.07,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3777320
2026-06-02 13:15:01,2026-06-02 13:21:49,session_extreme_retest_v0,PROVISIONAL,XAUUSD,BUY,CLOSED,-14.48,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3777144
2026-06-02 13:10:01,2026-06-02 20:21:34,session_extreme_retest_v0,PROVISIONAL,EURUSD,BUY,CLOSED,-3.67,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3777095
2026-06-02 13:05:00,2026-06-02 15:47:06,breakout_retest,ACCEPTED,EURUSD,SELL,CLOSED,-3.60,Afternoon 12:00-15:59,LOSS,KEEP,KEEP,3777053
2026-06-02 12:50:00,2026-06-02 12:56:55,session_extreme_retest_v0,PROVISIONAL,XAUUSD,BUY,CLOSED,-11.46,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3776706
2026-06-02 12:35:00,2026-06-02 12:48:52,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-18.15,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3776264
2026-06-02 12:15:03,2026-06-02 16:21:27,breakout_retest,ACCEPTED,USDJPY,BUY,CLOSED,1.47,Afternoon 12:00-15:59,WIN,KEEP,KEEP,3776056
2026-06-02 12:00:00,2026-06-02 12:23:12,breakout_retest,ACCEPTED,XAUUSD,BUY,CLOSED,-20.91,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3775799
2026-06-02 11:20:01,2026-06-02 11:30:40,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,22.40,Morning 06:00-11:59,WIN,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3775424
2026-06-02 10:55:00,2026-06-02 20:21:17,symbol_normalized_round_retest_v0,ACCEPTED,EURUSD,SELL,CLOSED,5.51,Morning 06:00-11:59,WIN,KEEP,KEEP,3775152
2026-06-02 09:50:01,2026-06-02 10:21:22,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-16.90,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3774512
2026-06-02 08:25:01,2026-06-02 08:46:41,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-24.80,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3773884
2026-06-02 07:15:00,2026-06-02 07:28:25,breakout_retest,ACCEPTED,XAUUSD,BUY,CLOSED,23.42,Morning 06:00-11:59,WIN,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3773369
2026-06-02 07:00:00,2026-06-02 07:28:29,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,34.43,Morning 06:00-11:59,WIN,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3773263
2026-06-02 06:45:00,2026-06-02 06:56:11,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-22.08,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3773090
2026-06-02 06:25:00,2026-06-02 06:33:11,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-13.26,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3772956
2026-06-02 05:55:00,2026-06-02 06:23:58,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-42.33,Night 20:00-05:59,LOSS,KEEP,KEEP,3772510
2026-06-02 05:45:00,2026-06-02 05:51:45,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,50.19,Night 20:00-05:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3772325
2026-06-02 05:40:00,2026-06-02 05:43:25,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-16.17,Night 20:00-05:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3772294
2026-06-02 05:25:00,2026-06-02 05:29:17,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-35.53,Night 20:00-05:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3772002
2026-06-02 05:20:00,2026-06-02 05:51:45,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,74.78,Night 20:00-05:59,WIN,KEEP,KEEP,3771961
2026-06-02 04:50:00,2026-06-02 05:03:32,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-18.74,Night 20:00-05:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3771345
2026-06-02 04:40:01,2026-06-02 05:01:19,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,46.01,Night 20:00-05:59,WIN,KEEP,KEEP,3771245
2026-06-02 04:20:01,2026-06-02 04:26:02,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,20.85,Night 20:00-05:59,WIN,KEEP,KEEP,3771065
2026-06-02 03:55:01,2026-06-02 04:05:49,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-16.54,Night 20:00-05:59,LOSS,KEEP,KEEP,3770912
2026-06-02 03:20:27,2026-06-02 10:33:22,breakout_retest,ACCEPTED,EURUSD,BUY,CLOSED,5.51,Night 20:00-05:59,WIN,KEEP,KEEP,3770060
2026-06-02 02:05:00,2026-06-02 02:48:18,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-12.12,Night 20:00-05:59,LOSS,KEEP,KEEP,3769237
2026-06-02 00:00:00,2026-06-02 03:26:50,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,20.71,Night 20:00-05:59,WIN,KEEP,KEEP,3768648
2026-06-01 23:45:00,2026-06-02 00:55:46,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-10.51,Night 20:00-05:59,LOSS,KEEP,KEEP,3768444
2026-06-01 22:05:01,2026-06-01 23:57:46,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,26.84,Night 20:00-05:59,WIN,KEEP,KEEP,3767477
2026-06-01 21:45:01,2026-06-02 01:16:12,breakout_retest,ACCEPTED,EURUSD,BUY,CLOSED,-4.13,Night 20:00-05:59,LOSS,KEEP,KEEP,3767237
2026-06-01 21:10:01,2026-06-01 21:29:55,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-23.96,Night 20:00-05:59,LOSS,KEEP,KEEP,3766771
2026-06-01 20:55:00,2026-06-01 21:06:27,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-17.05,Night 20:00-05:59,LOSS,KEEP,KEEP,3766583
2026-06-01 20:25:00,2026-06-01 20:53:03,breakout_retest,ACCEPTED,XAUUSD,BUY,CLOSED,28.53,Night 20:00-05:59,WIN,KEEP,KEEP,3766151
2026-06-01 20:15:01,2026-06-01 21:30:12,breakout_retest,ACCEPTED,EURUSD,BUY,CLOSED,5.51,Night 20:00-05:59,WIN,KEEP,KEEP,3766020
2026-06-01 20:15:00,2026-06-01 20:50:13,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-25.24,Night 20:00-05:59,LOSS,KEEP,KEEP,3766018
2026-06-01 20:05:00,2026-06-01 20:10:27,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,25.88,Night 20:00-05:59,WIN,KEEP,KEEP,3765897
2026-06-01 19:50:00,2026-06-01 20:00:24,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-23.55,Evening 16:00-19:59,LOSS,KEEP,KEEP,3765726
2026-06-01 18:05:00,2026-06-01 19:16:01,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,43.65,Evening 16:00-19:59,WIN,KEEP,KEEP,3763576
2026-06-01 17:40:00,2026-06-01 17:51:25,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-45.78,Evening 16:00-19:59,LOSS,KEEP,KEEP,3762680
2026-06-01 16:55:01,2026-06-01 17:03:12,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,29.29,Evening 16:00-19:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3760118
2026-06-01 16:40:01,2026-06-01 17:03:44,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-31.05,Evening 16:00-19:59,LOSS,KEEP,KEEP,3759908
2026-06-01 16:35:02,2026-06-01 17:12:21,symbol_normalized_round_retest_v0,ACCEPTED,EURUSD,SELL,CLOSED,5.51,Evening 16:00-19:59,WIN,KEEP,KEEP,3759826
2026-06-01 16:30:01,2026-06-01 16:30:58,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-23.77,Evening 16:00-19:59,LOSS,KEEP,KEEP,3759756
2026-06-01 15:55:01,2026-06-01 16:18:26,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,19.61,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3759190
2026-06-01 15:11:32,2026-06-01 17:23:26,breakout_retest,ACCEPTED,EURUSD,SELL,CLOSED,5.51,Afternoon 12:00-15:59,WIN,KEEP,KEEP,3758457
2026-06-01 15:10:00,2026-06-01 16:22:00,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-25.28,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3758425
