trade_id,entry_time_utc,source_id,causal_rank,prior_20_profit_factor,prior_virtual_profit_factor,prior_consecutive_losses,candidate_endpoint_pnl_usd
V9_BREAK_20210618T014000Z_LONG,2021-06-18T01:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0,0.38329598432346945,0.38329598432346945,0,-3.982291666666667
V7_20210813T105500Z_SHORT,2021-08-13T10:55:00.000Z,V7_SWING_HEALTH,0.03888888888888889,0.8860630426114865,0.8860630426114865,1,-4.006597222222222
V7_20211129T033000Z_SHORT,2021-11-29T03:30:00.000Z,V7_SWING_HEALTH,0.07317073170731707,0.8576558986834357,0.8576558986834357,0,-4.053993055555555
V9_BREAK_20220802T132500Z_SHORT,2022-08-02T13:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.08868501529051988,0.6547633580550127,0.6547633580550127,8,-6.327940880607618
V7_20230103T013500Z_LONG,2023-01-03T01:35:00.000Z,V7_SWING_HEALTH,0.09397590361445783,0.8877681741423931,0.8877681741423931,1,6.507986111111111
V9_BREAK_20230104T141500Z_SHORT,2023-01-04T14:15:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.04265402843601896,0.7816898838163473,0.7816898838163473,0,8.30056742607087
2023-05-04 14:00:00|LONG|r1_h1_pullback_long_v1,2023-05-04T14:00:00.000Z,R1_PULLBACK,0.06039076376554174,0.5880603356702782,0.5880603356702782,4,-13.600000000000001
V9_BREAK_20231012T124000Z_SHORT,2023-10-12T12:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.045454545454545456,0.9731685449570056,0.9731685449570056,1,6.4605902777777775
V9_BREAK_20240717T024000Z_SHORT,2024-07-17T02:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.08178844056706652,0.4008078105987337,0.4008078105987337,0,-5.910688466892245
V9_BREAK_20240718T070500Z_LONG,2024-07-18T07:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.09229098805646037,0.511974920098254,0.511974920098254,0,-4.417077028974225
V7_20241007T082500Z_SHORT,2024-10-07T08:25:00.000Z,V7_SWING_HEALTH,0.03788634097706879,0.3638869043959852,0.3638869043959852,1,-4.839140796303192
V9_BREAK_20241023T064000Z_SHORT,2024-10-23T06:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.07170542635658915,0.814184402886698,0.814184402886698,2,-3.9835069444444446
V9_BREAK_20241024T075000Z_SHORT,2024-10-24T07:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0647342995169082,0.6430693745893092,0.6430693745893092,1,-4.121659523873351
2025-01-31 10:30:00|LONG|r1_h1_pullback_long_v1,2025-01-31T10:30:00.000Z,R1_PULLBACK,0.03281519861830743,0.7769717549004476,0.7769717549004476,3,12.229999999999999
2025-01-31 11:00:00|LONG|r1_h1_pullback_long_v1,2025-01-31T11:00:00.000Z,R1_PULLBACK,0.013805004314063849,0.7769717549004476,0.7769717549004476,3,-10.14
V9_BREAK_20260126T011500Z_LONG,2026-01-26T01:15:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.016613418530351438,0.9243323263130336,0.9243323263130336,4,34.89570583224341
