variant_id,lookback,health_pf_threshold,rank_threshold,vetoes,trades,net_pnl_usd,delta_pnl_usd,profit_factor,equity_drawdown_usd,positive_delta_years,negative_delta_years,worst_annual_delta_usd,stable_all_gates
NOMINATED,20,1.0,0.1,8,1382,3636.7676575740147,33.202304002000346,1.722345892402069,238.27919504292026,4,0,0.0,True
RANK_005,20,1.0,0.05,2,1388,3611.928366064178,8.363012492163762,1.7135743060707427,238.27919504292004,1,0,0.0,True
RANK_015,20,1.0,0.15,16,1375,3629.35088847195,25.785534899935556,1.7231048656293628,238.27919504292004,5,0,0.0,False
HEALTH_080,20,0.8,0.1,5,1385,3618.227667147196,14.662313575181543,1.7160266765270398,238.27919504292004,2,0,0.0,True
HEALTH_120,20,1.2,0.1,14,1377,3632.5367956555397,28.97144208352529,1.7233088839864112,238.7602427436325,4,2,-7.114034608289785,False
LOOKBACK_10,10,1.0,0.1,17,1375,3597.896244804494,-5.669108767520356,1.7161572600593815,238.7602427436325,2,4,-15.011768713382025,False
LOOKBACK_30,30,1.0,0.1,7,1384,3638.7070663290283,35.14171275701392,1.721524651152607,238.27919504292026,3,0,0.0,True
HEALTH_ONLY,20,1.0,1.01,414,1016,2831.818400743206,-771.7469528288084,1.7912696875153489,232.28993346998095,1,5,-309.9903997668632,False
