variant_id,year,baseline_net_pnl_usd,challenger_net_pnl_usd,delta_pnl_usd
NOMINATED,2021,165.92842872914736,174.29144122131106,8.363012492163705
NOMINATED,2022,57.11887127926752,63.44681215987511,6.327940880607585
NOMINATED,2023,341.959366499673,341.959366499673,0.0
NOMINATED,2024,731.5260613265943,737.8253624096118,6.29930108301744
NOMINATED,2025,1167.0903446200266,1179.3023941662377,12.21204954621112
NOMINATED,2026,1139.9422811173051,1139.9422811173051,0.0
RANK_005,2021,165.92842872914736,174.29144122131106,8.363012492163705
RANK_005,2022,57.11887127926752,57.11887127926752,0.0
RANK_005,2023,341.959366499673,341.959366499673,0.0
RANK_005,2024,731.5260613265943,731.5260613265943,0.0
RANK_005,2025,1167.0903446200266,1167.0903446200266,0.0
RANK_005,2026,1139.9422811173051,1139.9422811173051,0.0
RANK_015,2021,165.92842872914736,173.04561490489672,7.117186175749367
RANK_015,2022,57.11887127926752,63.44681215987511,6.327940880607585
RANK_015,2023,341.959366499673,345.9635331663397,4.004166666666663
RANK_015,2024,731.5260613265943,735.5429613541559,4.016900027561519
RANK_015,2025,1167.0903446200266,1171.4096857693771,4.319341149350521
RANK_015,2026,1139.9422811173051,1139.9422811173051,0.0
HEALTH_080,2021,165.92842872914736,174.29144122131106,8.363012492163705
HEALTH_080,2022,57.11887127926752,57.11887127926752,0.0
HEALTH_080,2023,341.959366499673,341.959366499673,0.0
HEALTH_080,2024,731.5260613265943,737.8253624096118,6.29930108301744
HEALTH_080,2025,1167.0903446200266,1167.0903446200266,0.0
HEALTH_080,2026,1139.9422811173051,1139.9422811173051,0.0
HEALTH_120,2021,165.92842872914736,166.12223859092742,0.19380986178006765
HEALTH_120,2022,57.11887127926752,63.44681215987511,6.327940880607585
HEALTH_120,2023,341.959366499673,341.4783187989607,-0.48104770071233816
HEALTH_120,2024,731.5260613265943,741.8088693540562,10.282808027461897
HEALTH_120,2025,1167.0903446200266,1186.852310242705,19.761965622678417
HEALTH_120,2026,1139.9422811173051,1132.8282465090153,-7.114034608289785
LOOKBACK_10,2021,165.92842872914736,162.13630109092745,-3.7921276382199096
LOOKBACK_10,2022,57.11887127926752,63.44681215987511,6.327940880607585
LOOKBACK_10,2023,341.959366499673,341.4783187989607,-0.48104770071233816
LOOKBACK_10,2024,731.5260613265943,741.8088693540562,10.282808027461897
LOOKBACK_10,2025,1167.0903446200266,1164.09543099675,-2.9949136232764886
LOOKBACK_10,2026,1139.9422811173051,1124.930512403923,-15.011768713382025
LOOKBACK_30,2021,165.92842872914736,184.2556791825523,18.327250453404957
LOOKBACK_30,2022,57.11887127926752,57.11887127926752,0.0
LOOKBACK_30,2023,341.959366499673,341.959366499673,0.0
LOOKBACK_30,2024,731.5260613265943,741.8088693540562,10.282808027461897
LOOKBACK_30,2025,1167.0903446200266,1173.621998896174,6.531654276147492
LOOKBACK_30,2026,1139.9422811173051,1139.9422811173051,0.0
HEALTH_ONLY,2021,165.92842872914736,214.98270998703458,49.054281257887226
HEALTH_ONLY,2022,57.11887127926752,29.09874031068308,-28.020130968584443
HEALTH_ONLY,2023,341.959366499673,202.45289343396792,-139.5064730657051
HEALTH_ONLY,2024,731.5260613265943,633.9420225618364,-97.5840387647579
HEALTH_ONLY,2025,1167.0903446200266,921.3901530992418,-245.70019152078476
HEALTH_ONLY,2026,1139.9422811173051,829.9518813504419,-309.9903997668632
