month,trades,pnl_usd,stressed_pnl_usd
2024-07,6,6.4,5.949999999999999
2024-08,5,4.66,4.26
2024-09,3,6.27,6.02
2024-10,3,0.7099999999997881,0.5099999999997884
2024-11,7,6.16,5.66
2024-12,10,-6.45,-7.300000000000001
2025-01,6,5.549999999999999,4.999999999999999
2025-02,4,4.279999999999728,4.029999999999728
2025-03,8,8.319999999999999,7.720000000000001
2025-04,6,-12.16,-12.559999999999999
2025-05,6,4.340000000000001,3.9400000000000004
2025-06,7,-6.2299999999999995,-6.58
2025-07,6,20.049999999999827,19.599999999999827
2025-08,6,-3.7100000000000004,-4.109999999999999
2025-09,12,-7.719999999999999,-8.57
2025-10,10,11.620000000000001,10.82
2025-11,1,-3.02,-3.12
2025-12,6,-7.539999999999999,-7.99
2026-01,4,-2.560000000000153,-2.910000000000153
2026-02,5,2.8700000000000796,2.42000000000008
2026-03,10,2.0500000000000003,1.200000000000003
2026-04,6,1.7400000000000002,1.3900000000000006
2026-05,8,8.25999999999997,7.65999999999997
2026-06,5,13.219999999999999,12.870000000000001
