specialist_id,owned_regime,source_candidate,stage,status,trades,wins,win_rate,net_pips,pnl_usd_001_lot,stress_net_r,average_r,stress_profit_factor,positive_active_month_share,maximum_drawdown_r,removed_profit_factor,gate_pass,profile,direction,buffer_atr,body_min,stop_atr,target_r,regime,maximum_hold_bars,parameter_sha256
EURSESSIONV2R_0001,trend_up,EURSESSIONV2R_0001,train,OPENED,68,33,0.4852941176470588,-134.2157549705569,-13.421575497055692,-15.955812376940084,-0.2346442996608836,0.5780609702085056,0.40625,16.332008086271276,0.3961582318919857,False,ASIA_LONDON,long,0.0,0.35,0.75,0.75,trend_up,12,2e1ad330f7d6aea8d82078141275ccd8ef9e2e90fe424f647c0acaec1c660e53
EURSESSIONV2R_0002,compression,EURSESSIONV2R_0002,train,OPENED,86,41,0.47674418604651164,-129.09173746063595,-12.909173746063596,-22.469987796442197,-0.26127892786560697,0.5443768803088775,0.3939393939393939,24.456695368393007,0.4068186996286696,False,ASIA_LONDON,long,0.0,0.35,0.75,0.75,compression,12,509cec0fdb91a78da15ed83d2fa88d37cdf1cb143b31a159c8347340d9054a85
EURSESSIONV2R_0003,chop,EURSESSIONV2R_0003,train,OPENED,126,67,0.5317460317460317,-87.6723902156495,-8.76723902156495,-18.246271515515023,-0.14481167869456368,0.7131432564043733,0.4473684210526316,20.27950771867293,0.6021059672088308,False,ASIA_LONDON,long,0.0,0.35,0.75,0.75,chop,12,dc98eada02b2706b2bfb415c62cba5dc3eb3cfaf1deecf848e1a7f38c33954eb
EURSESSIONV2R_0004,trend_up,EURSESSIONV2R_0004,train,OPENED,68,29,0.4264705882352941,-75.88860166413802,-7.588860166413802,-8.455812376939676,-0.12435018201381876,0.7992530281647414,0.4375,10.782968253887447,0.5174324869627681,False,ASIA_LONDON,long,0.0,0.35,0.75,1.25,trend_up,12,243fe9d789da5139a96540e9663c3852a4bb81a3c8bc3be472fbe9cd4376ce5d
EURSESSIONV2R_0005,compression,EURSESSIONV2R_0005,train,OPENED,86,31,0.36046511627906974,-161.53358186847376,-16.153358186847377,-25.582814768665894,-0.29747459033332435,0.5752709961369802,0.3333333333333333,29.18668606873631,0.38001997451788705,False,ASIA_LONDON,long,0.0,0.35,0.75,1.25,compression,12,847cd45355bc5a1d8ec476cf40783c9c4b6d72e69417c4150c83f61725c63465
EURSESSIONV2R_0006,chop,EURSESSIONV2R_0006,train,OPENED,126,56,0.4444444444444444,7.581531697009574,0.7581531697009574,-9.496271515515446,-0.07536723425012258,0.8740860693199722,0.5,15.221286129270776,0.7143002641404909,False,ASIA_LONDON,long,0.0,0.35,0.75,1.25,chop,12,4ced18409ac8cf7f51db09b031eab7fe94559995bcb6882c5b1905e033fa05b9
EURSESSIONV2R_0007,trend_up,EURSESSIONV2R_0007,train,OPENED,68,23,0.3382352941176471,-44.812447675182085,-4.481244767518208,-4.705812376939647,-0.06920312319028893,0.90329388247693,0.34375,9.473248328894176,0.5059563126079069,False,ASIA_LONDON,long,0.0,0.35,0.75,2.0,trend_up,12,d8f25a4bd4f5bfd9de7c48714b937518e3d4b3443228a65d6350fe6cb3c2c921
EURSESSIONV2R_0008,compression,EURSESSIONV2R_0008,train,OPENED,86,24,0.27906976744186046,-164.74706422269892,-16.474706422269893,-24.08281476866692,-0.28003272986822003,0.644975321578846,0.30303030303030304,26.819522340617713,0.36161343240109245,False,ASIA_LONDON,long,0.0,0.35,0.75,2.0,compression,12,91477a3796d9d04fe4cf8e55adfb0ac2941066c73920b7d27aa54b3a7b26cf9b
EURSESSIONV2R_0009,chop,EURSESSIONV2R_0009,train,OPENED,126,37,0.29365079365079366,-109.69354379388955,-10.969354379388955,-24.49627151551489,-0.19441485329773722,0.7444999072150842,0.2894736842105263,28.02565962945041,0.5408106412388745,False,ASIA_LONDON,long,0.0,0.35,0.75,2.0,chop,12,6458d9e893b6de25d1497cb98656b804db578dfd66e802fbc78bb49020f9e42c
EURSESSIONV2R_0010,trend_up,EURSESSIONV2R_0010,train,OPENED,68,40,0.5882352941176471,-41.215573504458405,-4.1215573504458405,-1.2061284498623919,-0.017737183086211646,0.9585406816963545,0.5,6.112878107332584,0.7134738677023218,False,ASIA_LONDON,long,0.0,0.35,1.25,0.75,trend_up,12,16a56de25e6556994674bf43d54d94ecaca132a0a729f799c5e4ac42eb824ef4
EURSESSIONV2R_0011,compression,EURSESSIONV2R_0011,train,OPENED,86,43,0.5,-190.2536466259153,-19.02536466259153,-16.349688861198956,-0.19011266117673206,0.6399139989511806,0.42424242424242425,18.441713404369306,0.48423021067454736,False,ASIA_LONDON,long,0.0,0.35,1.25,0.75,compression,12,e597983b1467a34afdad549bbd290e9d365d5574197c28b1f0d87d09f5138dd0
EURSESSIONV2R_0012,chop,EURSESSIONV2R_0012,train,OPENED,126,69,0.5476190476190477,-98.04743712075626,-9.804743712075627,-9.873490730783132,-0.07836103754589788,0.831321953304846,0.47368421052631576,12.075066073981262,0.7076968698842525,False,ASIA_LONDON,long,0.0,0.35,1.25,0.75,chop,12,48e16f49f26e965bbb75cdb261112a5787694416c4771034889f9738232f3e13
