timestamp_broker,run_id,account,symbol,magic,action,direction,lots,bid,ask,spread_points,sl,tp,stop_points,retcode,retcode_description,order_ticket,deal_and_reason
2022.07.01 12:30:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,ORDER_SEND_OK,LONG,0.01,1.04158,1.04165,7,1.03903,1.04375,262.00,10009,done at 1.04165,2,2|result_price=1.04165|reason=entered
2022.07.01 13:00:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,GUARD_BLOCK,LONG,0.00,1.04068,1.04075,7,0.00000,0.00000,0.00,0,,0,0|result_price=0.00000|reason=own_position_exists
2022.07.01 14:30:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,ORDER_SEND_OK,LONG,0.01,1.03732,1.03739,7,1.03462,1.03961,277.00,10009,done at 1.03739,4,4|result_price=1.03739|reason=entered
2022.07.04 11:30:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,GUARD_BLOCK,SHORT,0.00,1.04598,1.04599,1,0.00000,0.00000,0.00,0,,0,0|result_price=0.00000|reason=direction_mode_block
2022.07.05 07:30:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,ORDER_SEND_OK,LONG,0.01,1.03854,1.03859,5,1.03703,1.03984,156.00,10009,done at 1.03859,6,6|result_price=1.03859|reason=entered
2022.07.05 08:00:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,ORDER_SEND_OK,LONG,0.01,1.03750,1.03755,5,1.03585,1.03891,170.00,10009,done at 1.03755,8,8|result_price=1.03755|reason=entered
2022.07.05 08:30:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,ORDER_SEND_OK,LONG,0.01,1.03348,1.03353,5,1.03150,1.03515,203.00,10009,done at 1.03353,10,10|result_price=1.03353|reason=entered
2022.07.05 09:00:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,ORDER_SEND_OK,LONG,0.01,1.03073,1.03078,5,1.02850,1.03260,228.00,10009,done at 1.03078,12,12|result_price=1.03078|reason=entered
2022.07.05 10:00:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,ORDER_SEND_OK,LONG,0.01,1.02956,1.02961,5,1.02687,1.03180,274.00,10009,done at 1.02961,14,14|result_price=1.02961|reason=entered
2022.07.06 05:00:00,MT5_FREQ_EURUSD_V1_UNMASKED_AUDIT_2026_07_23_EURUSD_rsi_bb_close_fade_m30_long_all_hours_rr0p80,1025742,EURUSD,26070400,ORDER_SEND_OK,LONG,0.01,1.02469,1.02470,1,1.02335,1.02578,135.00,10009,done at 1.02470,16,16|result_price=1.02470|reason=entered
