trade_id,entry_time_utc,source_id,proposal_rule,utc_day,source_day_sequence,selected_veto,budget_action
V9_BREAK_20210618T014000Z_LONG,2021-06-18 01:40:00+00:00,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,2021-06-18,1,True,VETO
V7_20210813T105500Z_SHORT,2021-08-13 10:55:00+00:00,V7_SWING_HEALTH,V2_SOURCE_HEALTH,2021-08-13,1,True,VETO
V9_BREAK_20220802T132500Z_SHORT,2022-08-02 13:25:00+00:00,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,2022-08-02,1,True,VETO
2023-11-27 14:30:00|LONG|r1_h1_pullback_long_v1,2023-11-27 14:30:00+00:00,R1_PULLBACK,V2_SOURCE_HEALTH,2023-11-27,1,True,VETO
2023-11-29 11:45:00|LONG|r1_h1_pullback_long_v1,2023-11-29 11:45:00+00:00,R1_PULLBACK,V2_SOURCE_HEALTH,2023-11-29,1,True,VETO
V9_BREAK_20240717T024000Z_SHORT,2024-07-17 02:40:00+00:00,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,2024-07-17,1,True,VETO
V9_BREAK_20240718T070500Z_LONG,2024-07-18 07:05:00+00:00,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,2024-07-18,1,True,VETO
V7_20241007T082500Z_SHORT,2024-10-07 08:25:00+00:00,V7_SWING_HEALTH,V2_SOURCE_HEALTH,2024-10-07,1,True,VETO
V9_BREAK_20241024T075000Z_SHORT,2024-10-24 07:50:00+00:00,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,2024-10-24,1,True,VETO
V7_20250704T073500Z_LONG,2025-07-04 07:35:00+00:00,V7_SWING_HEALTH,V2_SOURCE_HEALTH,2025-07-04,1,True,VETO
V9_BREAK_20250924T000500Z_SHORT,2025-09-24 00:05:00+00:00,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,2025-09-24,1,True,VETO
V9_BREAK_20250924T011000Z_LONG,2025-09-24 01:10:00+00:00,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,2025-09-24,2,False,RETAIN_SOURCE_DAY_BUDGET
V9_BREAK_20260126T011500Z_LONG,2026-01-26 01:15:00+00:00,V57_BREAK_SWING_H4ADX_HIGH,V57_VOLATILITY_ANTICHASE,2026-01-26,1,True,VETO
V9_BREAK_20260325T013500Z_LONG,2026-03-25 01:35:00+00:00,V57_BREAK_SWING_H4ADX_HIGH,V57_VOLATILITY_ANTICHASE,2026-03-25,1,True,VETO
