period,trades,wins,win_rate,realized_payoff_ratio,profit_factor,net_r,pnl_usd_001_lot,maximum_drawdown_r,positive_active_month_share,top_5pct_winners_removed_profit_factor,profit_factor_is_infinite,nonfinite_metrics
2017,83,31,0.37349397590361444,1.4259781996677912,0.8501023882634909,-5.50922699178834,-9.042178497335573,7.608191738124172,0.25,0.6805773032878296,False,[]
2018,69,31,0.4492753623188406,1.3977048309247868,1.1402328883860102,4.3666192949572,11.76074957824391,4.289391543779405,0.5,0.9800682460309688,False,[]
2019,59,29,0.4915254237288136,1.5216863651210382,1.4709634862836702,10.31769411925789,13.857460311772815,7.0529715943007645,0.5,1.3004093789749362,False,[]
2020,73,36,0.4931506849315068,1.3002410616687172,1.2650994113533465,7.482653195083613,14.145780663878282,5.332655205677383,0.6363636363636364,1.088370286246895,False,[]
2021,87,40,0.45977011494252873,1.3780840619640398,1.1728374995438637,6.444663492858319,16.010351439806776,5.028603194118721,0.6666666666666666,1.0057188078339026,False,[]
2022,63,29,0.4603174603174603,1.3658072121888833,1.1649532103964004,4.917487886029308,9.7862992685887,3.731321146055212,0.6363636363636364,0.9975945931708089,False,[]
2023,70,29,0.4142857142857143,1.3025992632266798,0.9213506983798465,-2.6352748296432176,-2.5077636886604555,6.599062992595705,0.5,0.77258514574187,False,[]
2024,70,35,0.5,1.4969496534222122,1.4969496534222122,13.181392650456475,23.238082668565866,5.271127482555007,0.7272727272727273,1.3091177765871973,False,[]
2025,70,31,0.44285714285714284,1.5535813916261076,1.2348980292412652,6.2060556411611945,12.448865506063942,6.028978867016596,0.5833333333333334,1.0461663905185683,False,[]
2026,28,16,0.5714285714285714,1.4952011872567355,1.9936015830089806,8.53040159474331,15.51088978397175,2.0279409981948016,0.8333333333333334,1.7031932745925666,False,[]
