sequence,run_id,instrument,run_type,model,return_code,status
1,PREFLIGHT_EURUSD,EURUSD,HISTORY_PREFLIGHT_NO_ECONOMIC_SCORING,Every tick based on real ticks,0,COMPLETE
2,PREFLIGHT_GBPUSD,GBPUSD,HISTORY_PREFLIGHT_NO_ECONOMIC_SCORING,Every tick based on real ticks,0,COMPLETE
3,PREFLIGHT_USDJPY,USDJPY,HISTORY_PREFLIGHT_NO_ECONOMIC_SCORING,Every tick based on real ticks,0,COMPLETE
4,EURUSD_OFFICIAL_RUN_1,EURUSD,OFFICIAL,Every tick based on real ticks,,NOT_RUN_COVERAGE_GATE_STOP
5,EURUSD_OFFICIAL_RUN_2,EURUSD,OFFICIAL,Every tick based on real ticks,,NOT_RUN_COVERAGE_GATE_STOP
6,GBPUSD_OFFICIAL_RUN_1,GBPUSD,OFFICIAL,Every tick based on real ticks,,NOT_RUN_COVERAGE_GATE_STOP
7,GBPUSD_OFFICIAL_RUN_2,GBPUSD,OFFICIAL,Every tick based on real ticks,,NOT_RUN_COVERAGE_GATE_STOP
8,USDJPY_OFFICIAL_RUN_1,USDJPY,OFFICIAL,Every tick based on real ticks,,NOT_RUN_COVERAGE_GATE_STOP
9,USDJPY_OFFICIAL_RUN_2,USDJPY,OFFICIAL,Every tick based on real ticks,,NOT_RUN_COVERAGE_GATE_STOP
