candidate_id,attempt,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,sha256,stage,trades,wins,net_pips,profit_factor,stress_net_pips,stress_profit_factor,positive_active_month_share,top5_removed_profit_factor,maximum_closed_drawdown_pips,one_sided_mean_p_value,stage_gate_pass
EURHUNT01_0001,1,trend_pullback_long,long,0.0,0.75,0.75,24,4f71f7cea891a709d20c5aa32cf31597af5c832bdafdd7440a0965e96e619de4,discovery_fit,303,154,-465.84797031574476,0.7369116338982951,-617.3479703157448,0.6654285301478626,0.25,0.6233765379530032,661.9892349595267,0.9995040535805482,False
EURHUNT01_0001,1,trend_pullback_long,long,0.0,0.75,0.75,24,4f71f7cea891a709d20c5aa32cf31597af5c832bdafdd7440a0965e96e619de4,discovery_confirm,367,193,-235.0328762966369,0.8590715894497988,-418.5328762966369,0.7614852888739397,0.25,0.7023765662610931,527.8530558396512,0.9920820415015443,False
EURHUNT01_0002,2,trend_pullback_long,long,0.0,0.75,1.0,24,085586348195c484df2a01a53e0ad8b202b5f09210f0a8cfdcbc13dba4e04ccb,discovery_fit,282,120,-585.4346359214246,0.6981043170864379,-726.4346359214246,0.6404136275264902,0.20833333333333334,0.590198945954024,787.5465007701337,0.9998141123910123,False
EURHUNT01_0002,2,trend_pullback_long,long,0.0,0.75,1.0,24,085586348195c484df2a01a53e0ad8b202b5f09210f0a8cfdcbc13dba4e04ccb,discovery_confirm,347,160,-299.2538897831731,0.8377086200843862,-472.7538897831731,0.755989134290069,0.25,0.7039557280108345,564.7520731073237,0.9927636732644914,False
EURHUNT01_0003,3,trend_pullback_long,long,0.0,0.75,1.25,24,32be5ebf5961d0f25609c73a183bbae10157938a9c9456646d0a43fcd13b4ef7,discovery_fit,272,106,-473.0194020900446,0.7615232376341221,-609.0194020900447,0.7052898704424911,0.2916666666666667,0.643504665617836,689.1087274628139,0.9969150092664111,False
EURHUNT01_0003,3,trend_pullback_long,long,0.0,0.75,1.25,24,32be5ebf5961d0f25609c73a183bbae10157938a9c9456646d0a43fcd13b4ef7,discovery_confirm,331,135,-338.86935543350864,0.8255278471378258,-504.36935543350864,0.752790982239923,0.16666666666666666,0.6944572172286875,534.9198555302098,0.9925083037462556,False
EURHUNT01_0004,4,trend_pullback_long,long,0.0,0.75,1.5,24,e21c905435d446c9ebe491c2097173c252f503ca7e89884573cf7314585a6a36,discovery_fit,263,91,-475.3247342320899,0.7668892259303908,-606.8247342320899,0.7144422594587991,0.20833333333333334,0.6420133204447037,676.2677157173941,0.994920088270183,False
EURHUNT01_0004,4,trend_pullback_long,long,0.0,0.75,1.5,24,e21c905435d446c9ebe491c2097173c252f503ca7e89884573cf7314585a6a36,discovery_confirm,314,106,-558.6722292821511,0.7308643782966512,-715.6722292821511,0.6716801484930467,0.16666666666666666,0.610783204161829,768.8462357775236,0.9995234835338429,False
EURHUNT01_0005,5,trend_pullback_long,long,0.0,0.75,2.0,24,1a0c96c64842540730960ea8802d18ca1d5d5c4a02303bc0d4eebba189afe2ea,discovery_fit,248,67,-564.5426921860542,0.7349050297555758,-688.5426921860542,0.6898577302934102,0.25,0.5978162404432433,738.5234042919443,0.9960527123898615,False
EURHUNT01_0005,5,trend_pullback_long,long,0.0,0.75,2.0,24,1a0c96c64842540730960ea8802d18ca1d5d5c4a02303bc0d4eebba189afe2ea,discovery_confirm,301,89,-414.7656978347669,0.804981282315384,-565.2656978347669,0.7468354345001571,0.20833333333333334,0.6690304033302759,670.1107260521703,0.9891961944747301,False
