candidate_id,attempt,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,sha256
EURHUNT01_0035,35,trend_pullback_long,long,0.1,1.25,2.0,24,8b8b7964e155d8c30114429690fc3c9821a9d7b7d31fb73b27a2de8dc7b8dabc
EURHUNT01_0036,36,trend_pullback_long,long,0.1,1.5,0.75,24,15c5c96d29d2d8520bee7bdbf6437f3c4cf635ec0d666fcf1bedd5d4dc0d3b21
EURHUNT01_0037,37,trend_pullback_long,long,0.1,1.5,1.0,24,1c351e0b9f48b8e37cbede72b5a25de30e1a71258ebe7510007df9c1439c582e
EURHUNT01_0038,38,trend_pullback_long,long,0.1,1.5,1.25,24,42abc01fefb92339be63124749dbb6fbf2430d3221a2358dcf9cb396a352e4f9
EURHUNT01_0039,39,trend_pullback_long,long,0.1,1.5,1.5,24,e30a7643e9ada0a012e3a768f2c311ad44b40a93719468661613df95320aa1b9
EURHUNT01_0040,40,trend_pullback_long,long,0.1,1.5,2.0,24,0c6c6090bae8676c389806bda6112a5a1e1ce2e7aefb1abc32c816a1fd26722a
EURHUNT01_0041,41,trend_pullback_long,long,0.2,0.75,0.75,24,8bf9553c707cb20a3963f022f24b7f519f2fc10d17ab9db468a87dd69a479e7d
EURHUNT01_0042,42,trend_pullback_long,long,0.2,0.75,1.0,24,6f964007c857e5fa806f0aa9b140cad9b7430e8eaf793710ec1d39fcb2127f4d
EURHUNT01_0043,43,trend_pullback_long,long,0.2,0.75,1.25,24,de30f97bd8f68cc96282ff7d908e02201088d57694bf1c9a92acdcd4b26d745c
EURHUNT01_0044,44,trend_pullback_long,long,0.2,0.75,1.5,24,962ec1d9bdeaeebac21f86502c0943734a576ef323b10df8d5a2bd42cb243371
EURHUNT01_0045,45,trend_pullback_long,long,0.2,0.75,2.0,24,4ac7c4a32755fcc8592aff0336994999a702063cba154ff1218a4450ead7d5af
EURHUNT01_0046,46,trend_pullback_long,long,0.2,1.0,0.75,24,ee472d558a5fea5920c39f764b6937395b12f3c26a038bd2f94332745dd7a379
EURHUNT01_0047,47,trend_pullback_long,long,0.2,1.0,1.0,24,583e172d437329727c986b618a0a204609aaf67a4b4fc858fd102ffc773402b1
EURHUNT01_0048,48,trend_pullback_long,long,0.2,1.0,1.25,24,c00d355d336eb3881f5afa64c13f0663c4e3aaf97b3a4d79d4bbb196a37083fd
EURHUNT01_0049,49,trend_pullback_long,long,0.2,1.0,1.5,24,c83abacabb1b3eb85c425941f3b740f8fe111c57d535c9d6798e1fe868867947
EURHUNT01_0050,50,trend_pullback_long,long,0.2,1.0,2.0,24,49b1cd50d73f6bdfa4b32fe27ec52b9706c57619ba07dec848f9f1a6e264d792
EURHUNT01_0051,51,trend_pullback_long,long,0.2,1.25,0.75,24,c5718bf40bc144200f0b533f81194f8e3d7f5b25fd5fe9c7a316a2572aa26a0e
EURHUNT01_0052,52,trend_pullback_long,long,0.2,1.25,1.0,24,a6d0c4c9f7883b7936707243fd042a859805a784ea7b899cec035948352e4de9
EURHUNT01_0053,53,trend_pullback_long,long,0.2,1.25,1.25,24,75395f8177bc3fb8d1c044c5e75e7cc5eb9bfd45ab37bbc7997ab073dfa9b30d
EURHUNT01_0054,54,trend_pullback_long,long,0.2,1.25,1.5,24,88178c5da66068175867c697b0e527083e8ab40eb31c54137c0a819e5474c76f
EURHUNT01_0055,55,trend_pullback_long,long,0.2,1.25,2.0,24,c731e1deda391b523160e1bbf8e4e815aabe5262907415f9421d8a8e3ed291be
EURHUNT01_0056,56,trend_pullback_long,long,0.2,1.5,0.75,24,1be42738a15fc41b271cd54ce7bca5d82ce843a2c161afaebd763e77637721cd
EURHUNT01_0057,57,trend_pullback_long,long,0.2,1.5,1.0,24,acd42895fcf3928ad551b67f423ad191ea5174bcf1a74ce278806e8714100657
EURHUNT01_0058,58,trend_pullback_long,long,0.2,1.5,1.25,24,60029d7ffc64e31874f19a10a4b7ccada430dbea29ae9548649e014bea0eba5e
EURHUNT01_0059,59,trend_pullback_long,long,0.2,1.5,1.5,24,899f9b23c2ba43dfc37f42f0f060008f114f96c15cf877fa1ce852d338c6c967
EURHUNT01_0060,60,trend_pullback_long,long,0.2,1.5,2.0,24,aa51bcf4783b1fba58a926ec4d29856fd9c53e8849914898291e906177ef403a
EURHUNT01_0061,61,trend_pullback_long,long,0.3,0.75,0.75,24,52ab3973002ebf4768e5b45af44b59e7d014071b1547d8c047a34272cf2f6338
EURHUNT01_0062,62,trend_pullback_long,long,0.3,0.75,1.0,24,5a54a8c846a12d583f598dee43d75051311cbe01ebeb4ca5289404860953ca46
EURHUNT01_0063,63,trend_pullback_long,long,0.3,0.75,1.25,24,0f343598d5641508daf9bd7d153ae6c4a755bfb48f4f86e873cd135a38640ed9
EURHUNT01_0064,64,trend_pullback_long,long,0.3,0.75,1.5,24,4531e5c1f424c7d67d902ad1d32bf2de6e2746fee97c90e021fd7a29a97e6ae3
EURHUNT01_0065,65,trend_pullback_long,long,0.3,0.75,2.0,24,7b2ce08b01a6da90617827520f5759ebf837eb35efd1c547e8ca4ab2019a121f
EURHUNT01_0066,66,trend_pullback_long,long,0.3,1.0,0.75,24,e81d3eb4557b94b1f37def81be5d4aa87ac38893b7ade09ea0357b5c96304d8f
EURHUNT01_0067,67,trend_pullback_long,long,0.3,1.0,1.0,24,8aa281e1e58a45411e636d17d6afbbf1ee78c6071de6f919ed8dffa999b3d285
EURHUNT01_0068,68,trend_pullback_long,long,0.3,1.0,1.25,24,8d27aa94d192106088c4bb66ad04db7fc9474c45466315d56a81982a2be18b66
EURHUNT01_0069,69,trend_pullback_long,long,0.3,1.0,1.5,24,e3ddc59012d1054923f565213136d77c27db741f19df297d5c6a5e0b81f36656
EURHUNT01_0070,70,trend_pullback_long,long,0.3,1.0,2.0,24,6916b8b1d21f156be9e1de1c8b4d15a5e9179b98ea701a912019970efb4103ec
EURHUNT01_0071,71,trend_pullback_long,long,0.3,1.25,0.75,24,2cba61e954a4825a716929aaec611134c95c8dd5c28a29c4ec08a352e39ef545
EURHUNT01_0072,72,trend_pullback_long,long,0.3,1.25,1.0,24,8f43876ecb8c4760b1f2b86069f590533a32d8933cc61d1037e6e1909314e214
EURHUNT01_0073,73,trend_pullback_long,long,0.3,1.25,1.25,24,dc854935d4676c0e1ee663f6d3c0f8a0ff71371b440ea5dd130770b1fce86677
EURHUNT01_0074,74,trend_pullback_long,long,0.3,1.25,1.5,24,5a6d36b0d500ac211bbe40f953186028fc0c556a289b9b924ea1f9a66d05532c
EURHUNT01_0075,75,trend_pullback_long,long,0.3,1.25,2.0,24,d1285c84294da3b277a6dc4d7702496b24a59ccf3eb5ca276eacef735611b57a
EURHUNT01_0076,76,trend_pullback_long,long,0.3,1.5,0.75,24,ec367fb26caadca592bfb0fdd99096f24169e0572c50d9c922b19f1f9abd7c8d
EURHUNT01_0077,77,trend_pullback_long,long,0.3,1.5,1.0,24,5e6ebe48702a9f8656b829d64da6d2fe582f2bda75bdfd005f4b5596c311c168
EURHUNT01_0078,78,trend_pullback_long,long,0.3,1.5,1.25,24,5fdb01b12757576138be9e3b2435f313d4692bfc6ddad0d2ab73ae293ae56a90
EURHUNT01_0079,79,trend_pullback_long,long,0.3,1.5,1.5,24,800f16925e9be82adeae5ad8b6d319232645ef56653ef7a0d9071e2da7056a67
EURHUNT01_0080,80,trend_pullback_long,long,0.3,1.5,2.0,24,a099af6fc15d156d0f9f657ed6c04f013df25c9ff7b75ccd2d3857d68b59a1e8
EURHUNT01_0081,81,trend_pullback_long,long,0.4,0.75,0.75,24,b9a351e7a1e57be6a891e1526ce3f58c896f3c285cc4f0458d4c8302e5d004f0
EURHUNT01_0082,82,trend_pullback_long,long,0.4,0.75,1.0,24,9491064f6c5d7e57dffb983920e6653204c165196cf404613b6c04fe68403e2f
EURHUNT01_0083,83,trend_pullback_long,long,0.4,0.75,1.25,24,f5473f36c11be22226d537ee489621860c420bb34b41e77304d59eaffdb052c6
EURHUNT01_0084,84,trend_pullback_long,long,0.4,0.75,1.5,24,728d46c56d5ea346d27ec7299801881462bc9cf34a5223912d60b3fcf82c729a
EURHUNT01_0085,85,trend_pullback_long,long,0.4,0.75,2.0,24,a8491c72144a7a5e2d6a1098d2b26cae17478d27c9dfec5ba2251f5bf1873ada
EURHUNT01_0086,86,trend_pullback_long,long,0.4,1.0,0.75,24,3391998b58215dc382da47958555d5002caa0f3ccc69382e1325ba46240a5d65
EURHUNT01_0087,87,trend_pullback_long,long,0.4,1.0,1.0,24,558698644bf580ac7cc9cd56d5ec15fe7d4a8b067536945203f5472d9daede99
EURHUNT01_0088,88,trend_pullback_long,long,0.4,1.0,1.25,24,84f4741bfa1921f871b252a1a4dc17b0ae5adf079bcec29b3ddab3628b6e92bf
EURHUNT01_0089,89,trend_pullback_long,long,0.4,1.0,1.5,24,0b07f23d967a8d301131379175a9daa34595414331225beaf42726837ee21aca
EURHUNT01_0090,90,trend_pullback_long,long,0.4,1.0,2.0,24,1be2bc7aba273c7048f7bc8036821d3c3593cfbf6405d5a306fe57760f277d9b
EURHUNT01_0091,91,trend_pullback_long,long,0.4,1.25,0.75,24,657a85a059f29b7e7e810e8e789b73b4f7085b2de6e52a0e1b3e9d61702f58b8
EURHUNT01_0092,92,trend_pullback_long,long,0.4,1.25,1.0,24,156b860eb82f6755ca4ac8620cf870a5fb2fd93cd74461c36fc8aa2b2f266b4d
