specialist_id,direction,economic_mechanism,eligibility_definition,abstention_definition,Stage_A_status,validation_status,locked_exam_status,final_status,synchronized_observations,valid_model_observations,shock_episodes,eligible_days,accepted_trades,annualized_frequency,median_monthly_frequency,active_months,percentage_eligible,average_holding_minutes,median_holding_minutes,maximum_holding_minutes,failed_gates,router_compatible,H1_ATR_percentile_distribution,residual_z_entry_distribution,spread_percentile_distribution,beta_xag_distribution,beta_eurusd_distribution,beta_usdjpy_distribution,condition_number_distribution,entry_hour_distribution,exit_reason_distribution,abstention_reason_distribution
XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,LONG,gold-specific unexplained M5 shock continuation,crosses +2.50 long / -2.50 short with frozen safety filters,"outside hours, unsafe ATR/spread, missing tick, or open position",FAIL,NOT_AUTHORIZED,NOT_AUTHORIZED,REJECTED,212222,208746,2493,635,1663,554.3333333333334,49.0,35,0.6670677898114721,24.06557980557226,14.803466666666667,90.0793,baseline_profit_factor|baseline_expectancy_R|stress_profit_factor|stress_expectancy_R|broker_profit_factor|maximum_closed_drawdown_R|baseline_net_R|stress_net_R|broker_net_R|broker_expectancy_R,False,"{""count"":2462,""median"":50.0,""p05"":3.4,""p95"":98.8}","{""count"":1663,""median"":3.060626342789608,""p05"":2.5366855021448846,""p95"":5.599754755731137}","{""count"":1816,""median"":0.3070000000000163,""p05"":0.211999999999989,""p95"":0.6469999999999345}","{""count"":2493,""median"":0.3504321091563676,""p05"":0.2341554990322967,""p95"":0.4707369275158893}","{""count"":2493,""median"":0.135983942356532,""p05"":-0.04487866460713978,""p95"":0.29694362358788656}","{""count"":2493,""median"":-0.3919977886561411,""p05"":-0.9045521216703508,""p95"":-0.22183508701474047}","{""count"":2493,""median"":6166.657538276508,""p05"":3830.631795503456,""p95"":8131.691229895086}","{""06"":66,""07"":83,""08"":64,""09"":56,""10"":59,""11"":89,""12"":267,""13"":353,""14"":270,""15"":204,""16"":80,""17"":72}","{""NINETY_MINUTE_EXPIRY"":117,""STOP"":1061,""TARGET"":485}","{""MISSING_EXIT_TICK"":1,""OUTSIDE_ENTRY_WINDOW"":514,""SPECIALIST_POSITION_ALREADY_OPEN"":104,""UNSAFE_H1_ATR_PERCENTILE"":163,""UNSAFE_SPREAD_P99"":48}"
XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,gold-specific unexplained M5 shock continuation,crosses +2.50 long / -2.50 short with frozen safety filters,"outside hours, unsafe ATR/spread, missing tick, or open position",FAIL,NOT_AUTHORIZED,NOT_AUTHORIZED,REJECTED,212222,208746,2641,643,1732,577.3333333333334,52.0,35,0.6558121923513821,20.705127867590456,11.262416666666667,90.1162,baseline_profit_factor|baseline_expectancy_R|stress_profit_factor|stress_expectancy_R|broker_profit_factor|maximum_closed_drawdown_R|baseline_net_R|stress_net_R|broker_net_R|broker_expectancy_R,False,"{""count"":2598,""median"":50.4,""p05"":3.2,""p95"":98.8}","{""count"":1732,""median"":-3.070985154536996,""p05"":-5.760004124586309,""p95"":-2.539728866556311}","{""count"":1881,""median"":0.3070000000000163,""p05"":0.2100000000000363,""p95"":0.6039999999998145}","{""count"":2641,""median"":0.3508680810400311,""p05"":0.2356392604717606,""p95"":0.467467378328707}","{""count"":2641,""median"":0.1355990844057732,""p05"":-0.0455812267924323,""p95"":0.2888945833513789}","{""count"":2641,""median"":-0.3905979702339606,""p05"":-0.9097240275739954,""p95"":-0.2249890862164313}","{""count"":2641,""median"":6166.866352020965,""p05"":3772.014662218982,""p95"":8225.927593036211}","{""06"":65,""07"":98,""08"":79,""09"":68,""10"":59,""11"":86,""12"":263,""13"":335,""14"":315,""15"":205,""16"":90,""17"":69}","{""NINETY_MINUTE_EXPIRY"":83,""STOP"":1158,""TARGET"":491}","{""MISSING_EXIT_TICK"":1,""OUTSIDE_ENTRY_WINDOW"":580,""SPECIALIST_POSITION_ALREADY_OPEN"":96,""UNSAFE_H1_ATR_PERCENTILE"":180,""UNSAFE_SPREAD_P99"":52}"
