timestamp_utc,timestamp_ms,missing_instruments,exclusion_reason,previous_synchronized_timestamp,next_synchronized_timestamp
2018-07-01T21:00:00.000Z,1530478800000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:05:00.000Z,1530479100000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:10:00.000Z,1530479400000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:15:00.000Z,1530479700000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:20:00.000Z,1530480000000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:25:00.000Z,1530480300000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:30:00.000Z,1530480600000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:35:00.000Z,1530480900000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:40:00.000Z,1530481200000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:45:00.000Z,1530481500000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:50:00.000Z,1530481800000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-01T21:55:00.000Z,1530482100000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,,2018-07-01T22:00:00.000Z
2018-07-02T21:00:00.000Z,1530565200000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:05:00.000Z,1530565500000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:10:00.000Z,1530565800000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:15:00.000Z,1530566100000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:20:00.000Z,1530566400000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:25:00.000Z,1530566700000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:30:00.000Z,1530567000000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:35:00.000Z,1530567300000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:40:00.000Z,1530567600000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:45:00.000Z,1530567900000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:50:00.000Z,1530568200000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-02T21:55:00.000Z,1530568500000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-02T20:55:00.000Z,2018-07-02T22:00:00.000Z
2018-07-03T21:00:00.000Z,1530651600000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-03T20:55:00.000Z,2018-07-03T22:00:00.000Z
2018-07-03T21:05:00.000Z,1530651900000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-03T20:55:00.000Z,2018-07-03T22:00:00.000Z
2018-07-03T21:10:00.000Z,1530652200000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-03T20:55:00.000Z,2018-07-03T22:00:00.000Z
2018-07-03T21:15:00.000Z,1530652500000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-03T20:55:00.000Z,2018-07-03T22:00:00.000Z
2018-07-03T21:20:00.000Z,1530652800000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-03T20:55:00.000Z,2018-07-03T22:00:00.000Z
2018-07-03T21:25:00.000Z,1530653100000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-03T20:55:00.000Z,2018-07-03T22:00:00.000Z
2018-07-03T21:30:00.000Z,1530653400000,XAGUSD|XAUUSD,MISSING_COMMON_M5_BAR,2018-07-03T20:55:00.000Z,2018-07-03T22:00:00.000Z
