specialist_id,trades,profit_factor,expectancy_R,net_R
XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,1663,0.45718400185532376,-0.4503656801262614,-748.9581260499726
XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,1732,0.42271497739250524,-0.4969087776489899,-860.6460028880505
COMBINED_RESIDUAL_CONTINUATION_DIAGNOSTIC,3124,0.43687702345149887,-0.4788247883674028,-1495.8486388597662
