shock_episode_id,specialist_id,entry_time,rejection_reason
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-09-30T16:05:00.119Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-09-30T17:45:00.263Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-10-02T13:45:00.086Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-10-03T14:10:00.098Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-10-03T15:10:00.099Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-10-04T15:35:00.132Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-10-11T15:00:00.003Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-10-15T13:40:00.096Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-10-15T14:50:00.036Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-10-17T09:40:00.002Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-10-24T13:25:00.437Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-10-24T15:10:00.285Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-10-25T15:30:00.113Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-10-25T15:55:00.081Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-10-29T10:55:00.088Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-11-05T14:30:00.060Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-11-05T15:10:00.068Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
