record_type,instrument,month,logical_path,item_count,bytes,SHA256
BAR,USDJPY,2018-09,bars/USDJPY/mid/H1/year=2018/month=09/bars.parquet,483,16490,4699bb9a58bfa7e81b8407f9d0eab6be0b5bd0726e240b5dd1d3ce60be03a139
NORMALIZED_TICKS,USDJPY,2018-10,normalized/USDJPY/year=2018/month=10/ticks.parquet,1901238,22281261,b6db3bb895443ec6e27bbe9f106f5302d759c574922366bf63c01852b85fd943
BAR,USDJPY,2018-10,bars/USDJPY/bid/M5/year=2018/month=10/bars.parquet,6624,137592,8cfac987b95f6255d5666a9b98ba1de584ba840ef31eb2603cae15ddf134d491
BAR,USDJPY,2018-10,bars/USDJPY/bid/H1/year=2018/month=10/bars.parquet,552,17516,c252fa4d5150ed3c57b06a304dc131359a30d120f358bc6971e2923a265a2d7b
BAR,USDJPY,2018-10,bars/USDJPY/ask/M5/year=2018/month=10/bars.parquet,6624,137558,8565a4e4ce7abe246b99c582776d09f0571d2784a5fe53ef02a72d074c55d4b3
BAR,USDJPY,2018-10,bars/USDJPY/ask/H1/year=2018/month=10/bars.parquet,552,17539,3a5ceaa6388572f807b034e41da722c362a028889241017e4004b5195b83db49
BAR,USDJPY,2018-10,bars/USDJPY/mid/M5/year=2018/month=10/bars.parquet,6624,145778,e813e3518ea73a24735f66335224a8eb777f9845079eae70647eb7b0de0c223b
BAR,USDJPY,2018-10,bars/USDJPY/mid/H1/year=2018/month=10/bars.parquet,552,17978,5ce09fdd4bd6537051642ea75475bde24af8d431dfedebd4204183575aafa258
NORMALIZED_TICKS,USDJPY,2018-11,normalized/USDJPY/year=2018/month=11/ticks.parquet,1525893,17829704,637be7e3fa50dacb4539001ccb87631adf620bff45fad47fb7d30452e82cc473
BAR,USDJPY,2018-11,bars/USDJPY/bid/M5/year=2018/month=11/bars.parquet,6300,127715,dc54cd9ac49a6284d517234b09bf83ea2e5cc3bcbaa993a656c0a2500270462b
BAR,USDJPY,2018-11,bars/USDJPY/bid/H1/year=2018/month=11/bars.parquet,525,16557,75947ae122ed0e1a89d73c377a5c044b916388baccf7118f6f5a835516527017
BAR,USDJPY,2018-11,bars/USDJPY/ask/M5/year=2018/month=11/bars.parquet,6300,127665,5d31e539504a33fecee4df2450a7a2a82a0acd1a70df23f4f757faabdaf5c53a
BAR,USDJPY,2018-11,bars/USDJPY/ask/H1/year=2018/month=11/bars.parquet,525,16577,8596adf778e961008387c63eb6c63c5801a5a80461c082658531c0813a9f1ede
BAR,USDJPY,2018-11,bars/USDJPY/mid/M5/year=2018/month=11/bars.parquet,6300,135678,716c6418483fcb917a6a25d2b7964526abd315ecfc291231a87e24bb1c5df758
BAR,USDJPY,2018-11,bars/USDJPY/mid/H1/year=2018/month=11/bars.parquet,525,16990,0589256c2fedb553bc800a33f952f8a1e2a34452031314685500e966f3f898ad
NORMALIZED_TICKS,USDJPY,2018-12,normalized/USDJPY/year=2018/month=12/ticks.parquet,2002644,23054354,47bd1d87311b947e7c769d4d236c326f0e6da2ef598bf8ad23bb19ef40b5efcf
BAR,USDJPY,2018-12,bars/USDJPY/bid/M5/year=2018/month=12/bars.parquet,5880,125005,38c06286263638a220f76480c76f674ffcf7aa922ba8553cdd8785d308dfa08a
BAR,USDJPY,2018-12,bars/USDJPY/bid/H1/year=2018/month=12/bars.parquet,490,16314,a94acc5c08d26b984c0177169dde4c1b0e2886f585e7d15182e4d805e0b7c37d
BAR,USDJPY,2018-12,bars/USDJPY/ask/M5/year=2018/month=12/bars.parquet,5880,124955,3fb404888ae9a49309476a9b9e47fddcc730ba86f976ef7e383d29060fd25753
BAR,USDJPY,2018-12,bars/USDJPY/ask/H1/year=2018/month=12/bars.parquet,490,16384,8e342db261c17961d6fac8d59c80c7cf681dc395d8dd0341f8885dfd5b958631
BAR,USDJPY,2018-12,bars/USDJPY/mid/M5/year=2018/month=12/bars.parquet,5880,131702,689cef089e9d69b94ab9850edcd646d30882518ac5570a4ab98a2483ab6c2c3d
BAR,USDJPY,2018-12,bars/USDJPY/mid/H1/year=2018/month=12/bars.parquet,490,16792,df452c40cffe1d52821314127f9430d7d760e89d5d88dacb840ccadfb190aef5
NORMALIZED_TICKS,USDJPY,2019-01,normalized/USDJPY/year=2019/month=01/ticks.parquet,2285780,26273397,ae66534a49197b01004f940ae544f386d5c8f8696ad65dd60561d6eef2f57882
BAR,USDJPY,2019-01,bars/USDJPY/bid/M5/year=2019/month=01/bars.parquet,6360,134054,3939d6aaf8804bf04799cd7b226f36cda3da9fc93391241ac2f7307157b1433c
BAR,USDJPY,2019-01,bars/USDJPY/bid/H1/year=2019/month=01/bars.parquet,530,17049,981f5ed31c8f18734074d16fdb67220e2e73c563264f480d93c1fde5818b7ecc
BAR,USDJPY,2019-01,bars/USDJPY/ask/M5/year=2019/month=01/bars.parquet,6360,133861,c568a990053655ec7df1565d80620d0cf18e0adf1d1bcbf6ad2a55f7add7dc11
BAR,USDJPY,2019-01,bars/USDJPY/ask/H1/year=2019/month=01/bars.parquet,530,17028,3bb5b00b0df9b52237d2e643ffaaa364d80e5f70d4f5451ad66e9e34b562de61
BAR,USDJPY,2019-01,bars/USDJPY/mid/M5/year=2019/month=01/bars.parquet,6360,141705,a51360a351bd16c6856b0c8b3be9acfc8e38723af6aa20094209742789965cc4
BAR,USDJPY,2019-01,bars/USDJPY/mid/H1/year=2019/month=01/bars.parquet,530,17542,1331b992ba5a690444a1ae2c1b604ebadae1e8d163ad309c47dc75ad8b659299
NORMALIZED_TICKS,USDJPY,2019-02,normalized/USDJPY/year=2019/month=02/ticks.parquet,1474404,17172890,b6c2f9fc83f66febe40d73604f7f0f55bc8104c6ab11112a67ca0b53c22c92db
BAR,USDJPY,2019-02,bars/USDJPY/bid/M5/year=2019/month=02/bars.parquet,5760,115330,a7bad56388d708b041b6973f2cfcd8af7def491e9c91f5263133882e18941ccb
BAR,USDJPY,2019-02,bars/USDJPY/bid/H1/year=2019/month=02/bars.parquet,480,15532,7921450a2f54d35224b13f4b3bb38ae1bdc47d883283a4620cdf25800389a199
BAR,USDJPY,2019-02,bars/USDJPY/ask/M5/year=2019/month=02/bars.parquet,5760,115375,81ddd87b84e2cd56eaf97ceb890590ac4e03423a27d2af07a2158272091c0aad
BAR,USDJPY,2019-02,bars/USDJPY/ask/H1/year=2019/month=02/bars.parquet,480,15550,bc64026590c02a90a0066d6d64db8ae87cd771e8f8dc73d6ade199f5b1b3a656
BAR,USDJPY,2019-02,bars/USDJPY/mid/M5/year=2019/month=02/bars.parquet,5760,123142,1f7c03633c5ef8e15e6e80010f022db6096cb908ae2047cad219da4f8bee8d38
BAR,USDJPY,2019-02,bars/USDJPY/mid/H1/year=2019/month=02/bars.parquet,480,15960,f393435caff1bc86fa3f6cf7e637a8dcbf3c372957da1cbdc1a9499317d8bf54
NORMALIZED_TICKS,USDJPY,2019-03,normalized/USDJPY/year=2019/month=03/ticks.parquet,1652272,19600512,9b0dd0230092bfcf6053c4b77b9d258fca85f904d2f7ce5e8fd4de78b9326665
BAR,USDJPY,2019-03,bars/USDJPY/bid/M5/year=2019/month=03/bars.parquet,6060,123532,e63791f4bad6fce0524134d294fea1349ef14ca723c69dc41047a642481ab10e
BAR,USDJPY,2019-03,bars/USDJPY/bid/H1/year=2019/month=03/bars.parquet,505,16192,99c0cd84cc1d38a1eb09556250fe86e0808d5b63ac8d1261caef3eb326ed20cf
BAR,USDJPY,2019-03,bars/USDJPY/ask/M5/year=2019/month=03/bars.parquet,6060,123495,1678c7aab227f0a0ef862dffae55e7eca2c1a900a1d8a7507061dcf671a614f0
BAR,USDJPY,2019-03,bars/USDJPY/ask/H1/year=2019/month=03/bars.parquet,505,16157,1be3d2b39c99ec9a935b199f88cbbde061f59e67f38a4f3f6aeb3cd77ef68c55
BAR,USDJPY,2019-03,bars/USDJPY/mid/M5/year=2019/month=03/bars.parquet,6060,131336,ba4791f6af083706898b0732987621961c3b705d69d959bbea8eee451302992c
