instrument,official_identifier,year,month,official_source,expected_hourly_files,observed_hourly_files,raw_bytes,file_hash_map_SHA256,frozen_manifest_SHA256,acquisition_manifest_SHA256,first_timestamp,last_timestamp,tick_count,retry_count,freeze_status,hash_validation_status,reused_or_downloaded
XAUUSD,XAU-USD,2018,7,https://jetta.dukascopy.com/v1,744,744,61515437,f70e171e005fe8aa074e8d0f1baa57e85a58ec2a814894540f2fb02ec0a92513,9908495afb413e687928fad7240bfc8dd5e3dd1f77719ba700d57890ad2f72ea,1fd505644ed630e3b7c33f946cd03a51523c4b70beddd57cfb023820f1e867dd,2018-07-01T22:00:00.000Z,2018-07-31T23:00:00.000Z,2855747,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
XAUUSD,XAU-USD,2018,8,https://jetta.dukascopy.com/v1,744,744,63510988,7bcc65fa845662d2674655d33e576fd7a24b37fd91860ed1b6e2df0928a5ea73,c6a3c8880692a04ba6e1850a06f9a4f3082f2cfacf43539e769bff7363485931,9a24d05661e05c92670b22a8f4f1f9981f9f8821ee14a878e3d2d7ec6b4894dc,2018-08-01T00:00:00.000Z,2018-08-31T20:00:00.000Z,2946930,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
XAUUSD,XAU-USD,2018,9,https://jetta.dukascopy.com/v1,720,720,52095722,072b1d6be22ecfabb37d9a85b9a4925f574f892ee14d5689433f9ac742082b5e,06c6f484d9ce4963418aae23a0aef7c9da3b64c5516ca72db67d3bc0c2e8ac76,ea9d052b95ca72eca9626b0dc5e86cd3842a19e5e08183901e3e8fba6729a7ec,2018-09-02T22:00:00.000Z,2018-09-30T23:00:00.000Z,2413887,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
XAUUSD,XAU-USD,2018,10,https://jetta.dukascopy.com/v1,744,744,63537250,8aea56899a669ac827b98ad5776b00aca9c0f24f43f3770039944f16c8275ece,01d95f2900e2056c64f27f1fb48a516d2a6b39f4ca865601e070c672b36c7e6c,d16b3f80c3f55b1d0cace34158bb8992c4321fd9be8be58175e7bb9cd6518c2b,2018-10-01T00:00:00.000Z,2018-10-31T23:00:00.000Z,2956491,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
XAUUSD,XAU-USD,2018,11,https://jetta.dukascopy.com/v1,720,720,46706912,8b352fae2fe8cc5d9ec8e8bff63281f6b721f3480182a498e7460fd2b8f5ef86,0e8377a4238d4edd73288a63c2f8dda7264df4aa8c6a7f4d3e41a317ee449bca,1df51532ea44b698897f3ccdd490456955b0d96f7d2fb63c448e5a088390acbe,2018-11-01T00:00:00.000Z,2018-11-30T21:00:00.000Z,2159831,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
XAUUSD,XAU-USD,2018,12,https://jetta.dukascopy.com/v1,744,744,42880082,b208b097d15b22b21644c513732da83c0532dff874a0cf0cffea114fb58999b0,55c3ca91c9a84621d37386d5d15009102b5a5c72b65d0891e582abf95dced985,3485a3acba64ac8959da8f982bb84170f0e07c0d7fd28f94345bd59b335d0d06,2018-12-02T23:00:00.000Z,2018-12-31T21:00:00.000Z,1979716,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
XAUUSD,XAU-USD,2019,1,https://jetta.dukascopy.com/v1,744,744,45888323,dc36a5f66620356b0f39eb78cc0f5832ff0e1444c39b8d0b432a4d6de07ffe4d,80b45a11f1f985ffdd6e822b9da79d78e877a1cfa006ecc075740dd88a549106,fd80ae2b6ec8e6baa30a957516a6eaf908a5971783aa3992d366c5437a3add94,2019-01-01T23:00:00.000Z,2019-01-31T23:00:00.000Z,2118620,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
XAUUSD,XAU-USD,2019,2,https://jetta.dukascopy.com/v1,672,672,37694494,5286b2d5bfef36b8a7713b4a0cabab4f707f0a32123fd8be0a0b2bb3cd22951b,dfbb8f1ed56446417c1a37bc2233099c1e12b4725b986a01aa685d0ace6c7b79,cd42c9f419c62b6d3758316ef5e079f23b7f520568bfdf997909c9fd9ca380a2,2019-02-01T00:00:00.000Z,2019-02-28T23:00:00.000Z,1739405,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
XAUUSD,XAU-USD,2019,3,https://jetta.dukascopy.com/v1,744,744,50735747,90f80b1af4d78575757accce67e74d31ef04776e5635ee2329670219f4bb66e7,debe7737ebaabcfd248f96c52e5c7f63b2e5e5fa2a6c1914bd973bfcc9809c6c,35021e488ec9ebd58eca1d954f62b019a3b5132138cef10ebb7f03d2e936799f,2019-03-01T00:00:00.000Z,2019-03-31T23:00:00.000Z,2354110,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
XAUUSD,XAU-USD,2019,4,https://jetta.dukascopy.com/v1,720,720,42123638,f8fd180d4b687d60a739cb0f63b2f7455b465d45b990adb4714d64d31cfe61b8,35cfa3eb997e745f65bf6131931a6ffb94ec02b6f4bf8e24857c1cfb80b6a33b,1cb28513832832c2d7f9ec098bf7dd11c4aa3ce040d5b877312774c089eb0501,2019-04-01T00:00:00.000Z,2019-04-30T23:00:00.000Z,1948157,0,FROZEN_COMPLETE,SHA256_VERIFIED,FROZEN_VERIFIED
