simulation_id,chronological_segment,trades,wins,losses,net_R,expectancy_R,profit_factor,maximum_closed_drawdown_R,top_ten_winners_fraction,top_three_winning_days_fraction,active_months,annualized_trades,median_monthly_trades
COMBINED_RESIDUAL_CONTINUATION_DIAGNOSTIC,INDEPENDENT_DEVELOPMENT,3124,1004,2120,-727.1768454599035,-0.23277107729190252,0.6596162549917151,740.5421672010748,0.010644583670546742,0.01395854946114137,35,1041.3333333333333,93.0
XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST_STANDALONE,INDEPENDENT_DEVELOPMENT,1732,545,1187,-446.78510410343006,-0.257959067034313,0.6294855832104819,456.23307178126066,0.019761135533798758,0.021061159927350945,35,577.3333333333334,52.0
XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST_STANDALONE,INDEPENDENT_DEVELOPMENT,1663,551,1112,-340.6637999082634,-0.20484894762974348,0.6928033698056203,350.7941945724119,0.019524131702729035,0.02109926412064374,35,554.3333333333334,49.0
