combo,signals,wr,wl,active,pf,net,stress_030_wl,stress_030_net,positive_week_pct,positive_week_delta_pp,worst_week,recent3_net,new_trades_kept,new_net_kept,red_weeks_flipped,red_weeks_worsened,new_net_in_red_weeks,long_box_q2_base_net,long_box_q2_with_short_net,long_box_q2_loss_reduction_pct,q2_defense_basis,decision
short_hedge_v1_break_run_control,4064,48.45,2.1638,87.82,2.0474,20837.0,2.039,18993.8,58.17,0.48,-878.18,369.06,420,138.06,5,25,-23.36,0,182.17,,positive_q2_addition_guarded_baseline_has_no_q2_long_box_loss,SHORT_HEDGE_COMBINED_REVIEW_CANDIDATE
short_hedge_v2_breakdown_retest,3953,49.0,2.1637,87.54,2.0934,21064.67,2.039,19254.77,58.17,0.48,-878.18,494.57,309,381.0,6,25,122.46,0,283.39,,positive_q2_addition_guarded_baseline_has_no_q2_long_box_loss,SHORT_HEDGE_COMBINED_REVIEW_CANDIDATE
short_hedge_v3_prior_high_sweep_reclaim,3984,48.97,2.1327,88.3,2.0609,20770.64,2.0104,18951.14,56.25,-1.44,-866.23,462.53,340,63.64,8,22,95.96,0,178.03,,positive_q2_addition_guarded_baseline_has_no_q2_long_box_loss,REJECT_COMBINED_WEEKLY_SHAPE
