variant,trades,wr,wl,active,pf,net,stress_030_pf,stress_030_wl,stress_030_net,positive_week_pct,worst_week,q2_net,recent3_net,top1_share_pct,top_day_share_pct,decision
short_hedge_v1_break_run_control,445,32.13,2.3536,17.55,1.1144,208.0,1.039,2.1943,74.5,38.67,-66.56,182.17,182.17,17.3,39.68,REJECT_COST_STRESS
short_hedge_v2_breakdown_retest,329,32.83,2.8332,16.68,1.3846,441.42,1.2823,2.6239,342.72,36.99,-35.63,283.39,283.39,8.06,28.42,SHORT_HEDGE_STANDALONE_REVIEW_CANDIDATE
short_hedge_v3_prior_high_sweep_reclaim,350,33.43,2.0495,19.18,1.0292,43.37,0.9604,1.9126,-61.63,44.79,-70.98,178.03,178.03,89.49,114.8,REJECT_COST_STRESS
