candidate_id,family,regime,direction,threshold,stop_atr,target_r,max_hold_bars,lookback,body_min,session,trades,trades_per_active_day,wins,win_rate,net_r,average_r,net_pips,profit_factor,maximum_drawdown_r,positive_active_month_share,top_5pct_removed_profit_factor,stage,parameter_sha256,gate_pass
EURF2_4001,scheduled_up_follow,chop,dynamic,0.0,0.75,0.6,16,4,0.0,all,271,0.14507494646680943,152,0.5608856088560885,-24.046277023526144,-0.08873164953330681,-64.58147890642475,0.780770057285539,27.899609272433864,0.44776119402985076,0.7049567452021063,development,d35d118987d5dcb71a0cc790697b9029b305f385bfafaeb5d22a6c9bb4041c8b,False
EURF2_4002,scheduled_up_follow,chop,dynamic,0.0,0.75,0.6,32,4,0.0,all,271,0.14507494646680943,153,0.5645756457564576,-28.10007999139328,-0.10369033207156192,-86.40147890640381,0.7610359629716441,31.953412240301024,0.43283582089552236,0.6902186495767734,development,04bba8ad70272059be040d1c7923ea986c4751ed425da9c3859f8ea56f0067ab,False
EURF2_4003,scheduled_up_follow,chop,dynamic,0.0,0.75,0.9,16,4,0.0,all,271,0.14507494646680943,134,0.4944649446494465,-16.184419960435605,-0.059721106865076035,-2.8015702190620253,0.8674987781300803,20.629318474403412,0.44776119402985076,0.7650940168629523,development,dc4e7da9cd0ebd4d85567b93581f1b35b68f06bc5def3b3797877175999e0fad,False
EURF2_4004,scheduled_up_follow,chop,dynamic,0.0,0.75,0.9,32,4,0.0,all,271,0.14507494646680943,132,0.4870848708487085,-23.4670010177419,-0.08659409969646457,-59.86157021904635,0.830093238488385,28.94922824437727,0.44776119402985076,0.7394443444656825,development,fcd8d1e5d435cce9531fe7341464968ad70958a5923c41cc548138efcbe69b16,False
EURF2_4005,scheduled_up_follow,chop,dynamic,0.0,1.25,0.6,16,4,0.0,all,271,0.14507494646680943,154,0.5682656826568265,-19.406988399658726,-0.0716125033197739,-43.52452564337471,0.8177826637231468,23.272616236394974,0.4626865671641791,0.739705326547114,development,a8e07e2a38560b4b5d2e63c04fb53e158ed76722d08be5b202b1b2a105e3d9a6,False
EURF2_4006,scheduled_up_follow,chop,dynamic,0.0,1.25,0.6,32,4,0.0,all,271,0.14507494646680943,156,0.5756457564575646,-22.791855971889234,-0.08410278956416692,-63.77773888880388,0.8006255082837922,26.657483808625496,0.43283582089552236,0.7277797349959007,development,aa0dd44640a8739e6d3808d597dbf9b22f95e6764cd49d6d5d46632d36aa4563,False
EURF2_4007,scheduled_up_follow,chop,dynamic,0.0,1.25,0.9,16,4,0.0,all,271,0.14507494646680943,134,0.4944649446494465,-15.301412449330348,-0.05646277656579464,0.8068578440712244,0.8730335745035241,19.758606551127084,0.44776119402985076,0.769243750204763,development,0a0d53349f2f704157dcd88743aeb401373579b6b0cfb7f52bc31a1ecf109d3c,False
EURF2_4008,scheduled_up_follow,chop,dynamic,0.0,1.25,0.9,32,4,0.0,all,271,0.14507494646680943,134,0.4944649446494465,-19.158776998236345,-0.070696594089433,-33.08689327523374,0.858942495837604,24.66315634433245,0.44776119402985076,0.7667622519853122,development,cf44177fa675a5f5f8c2e8d7b9feb65ab0bb129da23092a97cd6107a0502e617,False
EURF2_4009,scheduled_up_follow,chop,dynamic,0.0,0.75,0.6,16,4,0.25,all,164,0.08779443254817987,95,0.5792682926829268,-6.062507687649329,-0.03696651029054469,15.599999999871258,0.8987921321851993,8.20893037581022,0.5172413793103449,0.8095451412399293,development,319693676b4102f4516bf67aba07f51f0ae7ebc5ef1de3c153cbcee2dfe3c6bd,False
EURF2_4010,scheduled_up_follow,chop,dynamic,0.0,0.75,0.6,32,4,0.25,all,164,0.08779443254817987,98,0.5975609756097561,-7.692843462938638,-0.04690758209108926,31.099999999886215,0.8821720714759257,9.806373763470402,0.5172413793103449,0.800144897890352,development,c4e7c6f6701a1f9a9b576981751aeebf1c8b2c82e8b30c65601946af73e0e3ea,False
EURF2_4011,scheduled_up_follow,chop,dynamic,0.0,0.75,0.9,16,4,0.25,all,164,0.08779443254817987,84,0.5121951219512195,-1.59375407283369,-0.009718012639229818,45.909999999858016,0.9758508128555783,11.03575106288091,0.5,0.8540021171715895,development,70f9dedb559ee614c7ceab97f4b2e02b9e27c09bea7ce3516778370135ec67e6,False
EURF2_4012,scheduled_up_follow,chop,dynamic,0.0,0.75,0.9,32,4,0.25,all,164,0.08779443254817987,84,0.5121951219512195,-6.259764489286287,-0.0381692956663798,23.22999999986753,0.9204156836854813,15.13432334116789,0.46551724137931033,0.8180849268690596,development,c5cda78392f02ba4bba32aac178a1553fd91fa1893d88c42e26bfe901fe9aab5,False
EURF2_4013,scheduled_up_follow,chop,dynamic,0.0,1.25,0.6,16,4,0.25,all,164,0.08779443254817987,96,0.5853658536585366,-4.371044295269485,-0.02665270911749686,25.01850317414788,0.9257098352020827,7.950808458795541,0.5344827586206896,0.8348487910428126,development,e0b100bda39587b69c680853a8777343421be7ed49ef982d264f795926ead6c6,False
EURF2_4014,scheduled_up_follow,chop,dynamic,0.0,1.25,0.6,32,4,0.25,all,164,0.08779443254817987,99,0.6036585365853658,-6.001380070559029,-0.036593780918042856,42.03116046574306,0.9065627736771827,8.114910371090794,0.5344827586206896,0.8231821371450774,development,bbb0a5683a7723b777c952127a28105f0806e1916535727d6588741bce831ce6,False
EURF2_4015,scheduled_up_follow,chop,dynamic,0.0,1.25,0.9,16,4,0.25,all,164,0.08779443254817987,82,0.5,-4.860039878515709,-0.029634389503144565,29.278791483160475,0.9280437916982374,10.03132282600619,0.4482758620689655,0.8089831791172045,development,ef25fff782f707ba2d610cf2b630bc16857f4589cbd658ab75bb3dd16ce1b6f8,False
EURF2_4016,scheduled_up_follow,chop,dynamic,0.0,1.25,0.9,32,4,0.25,all,164,0.08779443254817987,83,0.5060975609756098,-8.068301096907188,-0.049196957907970656,19.61349115743527,0.898683887883435,13.199663447678057,0.41379310344827586,0.7976113643073127,development,fa719afff0cf2ad619956a3ef4bdaf6a54e9817dcc8529edb1ec4b7166bc36a2,False
EURF2_4017,scheduled_up_follow,chop,dynamic,0.0,0.75,0.6,16,16,0.0,all,283,0.15149892933618844,150,0.5300353356890459,-40.30612360063835,-0.1424244650199235,-74.93920645809781,0.6776518053010667,45.742922432406836,0.44776119402985076,0.6063797071467177,development,f1f8f8944724d8c292bb9fdd80b8ee96f23782033c0b5fb1519851fe1589f477,False
EURF2_4018,scheduled_up_follow,chop,dynamic,0.0,0.75,0.6,32,16,0.0,all,283,0.15149892933618844,152,0.5371024734982333,-43.48882837272273,-0.15367077163506265,-74.69920645807758,0.6708476990337892,49.29860017746433,0.44776119402985076,0.6033008757111047,development,30c21f00ab2afc85ea1a9d999fcedbf568a250664ffa61d07bf5ac5d660582aa,False
EURF2_4019,scheduled_up_follow,chop,dynamic,0.0,0.75,0.9,16,16,0.0,all,283,0.15149892933618844,137,0.4840989399293286,-22.916046620854186,-0.0809754297556685,73.82792886073909,0.8294809163009881,30.145202209242846,0.4626865671641791,0.7297246067960882,development,82244d645fc393b3c006a4aaf853613f240e9e92321a70603f18426b9e43a71c,False
EURF2_4020,scheduled_up_follow,chop,dynamic,0.0,0.75,0.9,32,16,0.0,all,283,0.15149892933618844,139,0.4911660777385159,-23.955749399071113,-0.08464929116279546,107.36900533084182,0.8343113164226578,32.5896856007494,0.44776119402985076,0.7415088726043003,development,65edb6201d7f37f44dfa2b99dade08cea3d5950b8059770f84278cbc2feb4d62,False
EURF2_4021,scheduled_up_follow,chop,dynamic,0.0,1.25,0.6,16,16,0.0,all,283,0.15149892933618844,155,0.5477031802120141,-30.469571382063336,-0.10766632997195524,-49.598857830555076,0.7430922601652239,36.83651667577135,0.4626865671641791,0.6679496681987458,development,650be57243cfaed0ec6e92c2ed950360500d859026273ff51756ace699783b75,False
EURF2_4022,scheduled_up_follow,chop,dynamic,0.0,1.25,0.6,32,16,0.0,all,283,0.15149892933618844,158,0.558303886925795,-32.828443765133436,-0.11600156807467644,-43.46993430061728,0.7383104250490904,39.56836203181457,0.4626865671641791,0.6671691134568852,development,e53a50268e0dc7edbfd4987e3ae85373139ec97e254549edaf7ac5a2a098fef5,False
EURF2_4023,scheduled_up_follow,chop,dynamic,0.0,1.25,0.9,16,16,0.0,all,283,0.15149892933618844,136,0.48056537102473496,-23.73382758710612,-0.08386511514878488,39.97306704601523,0.8225710333006508,39.482830720489176,0.4626865671641791,0.7223456091111888,development,47edcfdba2e50ee98b2b00974145ac760889e08409d01ac3b913b8ae45556747,False
EURF2_4024,scheduled_up_follow,chop,dynamic,0.0,1.25,0.9,32,16,0.0,all,283,0.15149892933618844,141,0.49823321554770317,-19.09536479148096,-0.06747478724904933,113.41917122744684,0.8654631617176419,40.05731729688425,0.4626865671641791,0.7709288243118095,development,5bd6e7ebe24fc03a3802320d7ef56593c236dadc20854479c050c0857b494b3f,False
EURF2_4025,scheduled_up_follow,chop,dynamic,0.0,0.75,0.6,16,16,0.25,all,184,0.09850107066381156,105,0.5706521739130435,-11.459926276577256,-0.06228220802487639,23.720057261424905,0.8383892074339433,16.02741685902418,0.47540983606557374,0.7545778585474706,development,6a1a4f15033df48a0b54e3ae1fccb8375ccb28be4e720ecf77f576598e5d9982,False
EURF2_4026,scheduled_up_follow,chop,dynamic,0.0,0.75,0.6,32,16,0.25,all,184,0.09850107066381156,108,0.5869565217391305,-12.56210029060205,-0.06827228418805462,49.88005726143996,0.8342224696848975,18.110447834154247,0.5409836065573771,0.7556727596044212,development,1fc3082baac8fb8efa0b8e8eb456fd551df5e2131192471d32ef7852ca9104e3,False
