variant,period,start,end,trades,wins,losses,wr,wl,pf,net
short_v4_impulse_retest_d1_nonup_h1h4,2022,2022-07-01,2022-12-31,65,24,41,36.92,2.1586,1.2636,42.71
short_v4_impulse_retest_d1_nonup_h1h4,2023,2023-01-01,2023-12-31,92,26,66,28.26,2.0306,0.7999,-48.38
short_v4_impulse_retest_d1_nonup_h1h4,2024,2024-01-01,2024-12-31,50,6,44,12.0,2.7467,0.3745,-124.34
short_v4_impulse_retest_d1_nonup_h1h4,2025,2025-01-01,2025-12-31,40,14,26,35.0,2.2345,1.2032,43.36
short_v4_impulse_retest_d1_nonup_h1h4,2026,2026-01-01,2026-06-30,40,24,16,60.0,1.983,2.9745,454.06
short_v4_impulse_retest_d1_structural_h1h4,2022,2022-07-01,2022-12-31,64,23,41,35.94,2.1755,1.2204,35.71
short_v4_impulse_retest_d1_structural_h1h4,2023,2023-01-01,2023-12-31,64,22,42,34.38,2.0234,1.0599,9.34
short_v4_impulse_retest_d1_structural_h1h4,2024,2024-01-01,2024-12-31,14,4,10,28.57,1.7145,0.6858,-16.24
short_v4_impulse_retest_d1_structural_h1h4,2025,2025-01-01,2025-12-31,1,0,1,0.0,0.0,0.0,-3.52
short_v4_impulse_retest_d1_structural_h1h4,2026,2026-01-01,2026-06-30,37,23,14,62.16,1.889,3.1033,426.87
short_v4_impulse_retest_d1_nonup_h1_only,2022,2022-07-01,2022-12-31,67,24,43,35.82,2.1699,1.2111,35.69
short_v4_impulse_retest_d1_nonup_h1_only,2023,2023-01-01,2023-12-31,95,28,67,29.47,2.0234,0.8456,-37.87
short_v4_impulse_retest_d1_nonup_h1_only,2024,2024-01-01,2024-12-31,57,8,49,14.04,2.5408,0.4148,-129.85
short_v4_impulse_retest_d1_nonup_h1_only,2025,2025-01-01,2025-12-31,46,16,30,34.78,2.11,1.1253,31.06
short_v4_impulse_retest_d1_nonup_h1_only,2026,2026-01-01,2026-06-30,42,24,18,57.14,2.0553,2.7404,434.41
