hour_utc,ticks,spread_min,spread_mean,spread_max,spread_median,spread_p90,spread_p95,spread_p99
0,332207,0.49999999999954525,0.5500674278386669,0.9500000000007276,0.5,0.75,0.75,0.75
1,446739,0.49999999999954525,0.5530118256968835,0.9500000000007276,0.5,0.75,0.75,0.75
2,320849,0.49999999999954525,0.5541496155512406,0.9500000000007276,0.5,0.75,0.75,0.75
3,264091,0.5,0.5510248361360289,0.9500000000007276,0.5,0.75,0.75,0.75
4,208723,0.5,0.5548844640983505,0.9500000000007276,0.5,0.75,0.75,0.75
5,306102,0.49999999999954525,0.5477017464766647,0.9500000000007276,0.5,0.75,0.75,0.75
6,323621,0.49999999999954525,0.5449981614295735,0.9500000000007276,0.5,0.75,0.75,0.75
7,288743,0.49999999999954525,0.5452921802433305,0.9500000000007276,0.5,0.75,0.75,0.75
8,305041,0.49999999999954525,0.5473731400041306,0.9500000000007276,0.5,0.75,0.75,0.75
9,261902,0.49999999999954525,0.5481420531343785,0.9500000000007276,0.5,0.75,0.75,0.75
10,233272,0.5,0.5448401436949141,0.9499999999998181,0.5,0.75,0.75,0.75
11,296181,0.49999999999954525,0.5445123083519875,0.9500000000007276,0.5,0.75,0.75,0.75
12,411938,0.5,0.5479778510358355,1.800000000000182,0.5,0.75,0.75,0.75
13,573993,0.5,0.5476923934612442,0.9500000000007276,0.5,0.75,0.75,0.75
14,566945,0.5,0.549571034227306,0.9500000000007276,0.5,0.75,0.75,0.75
15,459849,0.5,0.5463586960067326,0.9500000000007276,0.5,0.75,0.75,0.75
16,380172,0.49999999999954525,0.5410869290742085,0.9500000000007276,0.5,0.75,0.75,0.75
17,359373,0.49999999999954525,0.5404473903159114,0.9500000000007276,0.5,0.75,0.75,0.75
18,378040,0.5,0.5422902338376892,1.800000000000182,0.5,0.75,0.75,0.75
19,357063,0.49999999999954525,0.541643911578629,0.9500000000007276,0.5,0.75,0.75,0.75
20,148003,0.5,0.54363931812193,0.9500000000007276,0.5,0.75,0.75,0.75
22,176154,0.5,0.5754226415522783,1.800000000000182,0.5,0.75,0.75,1.800000000000182
23,217881,0.49999999999954525,0.5493058137240052,0.9500000000007276,0.5,0.75,0.75,0.75
