name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_wr,recent3_wl,recent3_pf,recent3_net,june2026_signals,june2026_wr,june2026_wl,june2026_pf,june2026_net,y2023_2024_signals,y2023_2024_wr,y2023_2024_wl,y2023_2024_pf,y2023_2024_net,repair_checks
r2_h1_m5_body58,86,40,46,46.51,2.1213,1.8446,303.39,2.0058,1.7442,277.59,4.7,56.91,7.62,-22.58,5,127.18,13.74,152.91,24.4,4,15,10,5,0,66.67,2022-07,-37.32,2026-04,74.02,[],0,5,80.0,1.7427,6.9709,127.18,2,50.0,1.4883,1.4883,10.4,42,50.0,1.7672,1.7672,123.84,"{'wr_ge_50': False, 'trades_ge_80_review_candidate': True, 'wl_ge_1p90': True, 'pf_ge_2': False, 'net_gt_0': True, 'recent3_net_ge_0': True, 'stress_pf_ge_1p15': True, 'top10_removed_net_gt_0': True, 'top3_days_removed_net_gt_0': True}"
r2_h1_m5_body58_hours05_18,63,33,30,52.38,2.1721,2.3893,334.23,2.0577,2.2634,315.33,3.93,37.21,8.1,-21.63,4,148.48,44.58,203.21,22.15,4,15,10,5,0,66.67,2022-11,-15.04,2026-04,74.02,[],0,4,100.0,,,148.48,1,100.0,,,31.7,31,54.84,1.7018,2.0665,125.31,"{'wr_ge_50': True, 'trades_ge_80_review_candidate': False, 'wl_ge_1p90': True, 'pf_ge_2': True, 'net_gt_0': True, 'recent3_net_ge_0': True, 'stress_pf_ge_1p15': True, 'top10_removed_net_gt_0': True, 'top3_days_removed_net_gt_0': True}"
