book,name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_net,net_2023_2024
current_r1_r2_baseline,current_r1_r2_baseline,678,346,332,51.03,2.6082,2.7182,9640.05,2.5453,2.6526,9436.65,21.28,889.69,31.43,-866.37,59,764.92,6731.4,7275.75,27.96,5,45,26,19,0,57.78,2024-11,-312.73,2026-01,2695.08,[],0,59,764.92,2700.16
r3_all,r3_all,215,132,83,61.4,2.312,3.6769,12194.08,2.294,3.6482,12129.58,12.66,856.09,20.0,-856.09,1,-204.7,9115.15,9267.09,23.99,5,31,17,14,0,54.84,2024-11,-623.28,2025-09,2925.93,[],0,1,-204.7,3140.12
r3_compression_only,r3_compression_only,45,20,25,44.44,2.6899,2.1519,915.92,2.6554,2.1244,902.42,3.07,635.38,3.81,-209.84,0,0,-174.99,106.92,84.75,2,11,4,7,0,36.36,2023-09,-295.68,2025-01,776.26,[],0,0,0,-60.06
r3_noncompression_only,r3_noncompression_only,170,112,58,65.88,2.0711,3.9993,11278.16,2.0569,3.972,11227.16,9.59,856.09,17.14,-856.09,1,-204.7,8199.23,8351.17,23.05,5,28,16,12,0,57.14,2024-11,-623.28,2025-09,2599.88,[],0,1,-204.7,3200.18
