name,dropped_signals,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_wr,q2_wl,q2_net,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net
router_long_short_no_freq,0,145,86,59,59.31,2.1804,3.1782,7050.42,2.1631,3.153,7006.92,7.96,866.37,13.33,-866.37,0,0.0,,0,25,15,10,0,60.0,2024-11,-312.73,2026-01,2673.15
router_long_short_with_freq_observer,6,3555,1774,1767,49.9,1.7547,1.7616,13067.88,1.6425,1.6342,11377.68,85.33,958.86,56.67,-878.18,139,45.32,1.4481,279.22,48,32,16,0,66.67,2023-02,-335.98,2026-01,3746.32
