book,month,name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_net,net_2023_2024
r3_all,2022-08,r3_all_2022-08,6,0,6,0.0,0.0,0.0,-199.25,0.0,0.0,-201.05,0.58,199.25,0.0,-97.19,0,0,-199.25,-112.69,,0,1,0,1,0,0.0,2022-08,-199.25,2022-08,-199.25,[],0,0,0,0
r3_all,2022-09,r3_all_2022-09,3,0,3,0.0,0.0,0.0,-103.66,0.0,0.0,-104.56,0.19,103.66,0.0,-103.66,0,0,-103.66,0.0,,0,1,0,1,0,0.0,2022-09,-103.66,2022-09,-103.66,[],0,0,0,0
r3_all,2022-12,r3_all_2022-12,5,3,2,60.0,1.7403,2.6105,109.66,1.7164,2.5746,108.16,0.38,36.86,0.95,-36.86,0,0,-68.09,-36.86,100.0,1,1,1,0,0,100.0,2022-12,109.66,2022-12,109.66,[],0,0,0,0
r3_all,2023-01,r3_all_2023-01,16,13,3,81.25,2.6978,11.6903,947.59,2.6606,11.5293,942.79,1.15,88.64,1.9,-88.64,0,0,45.01,452.94,100.0,2,1,1,0,0,100.0,2023-01,947.59,2023-01,947.59,[],0,0,0,275.07
r3_all,2023-02,r3_all_2023-02,9,2,7,22.22,1.9918,0.5691,-133.87,1.9717,0.5634,-136.57,0.58,310.67,0.0,-82.04,0,0,-310.67,-189.84,,0,1,0,1,0,0.0,2023-02,-133.87,2023-02,-133.87,[],0,0,0,-133.87
r3_all,2023-03,r3_all_2023-03,5,5,0,100.0,,,447.86,,,446.36,0.29,0.0,0.95,0.0,0,0,0.0,0.0,100.0,1,1,1,0,0,100.0,2023-03,447.86,2023-03,447.86,[],0,0,0,447.86
r3_all,2023-06,r3_all_2023-06,3,0,3,0.0,0.0,0.0,-110.04,0.0,0.0,-110.94,0.29,110.04,0.0,-110.04,0,0,-110.04,-0.0,,0,1,0,1,0,0.0,2023-06,-110.04,2023-06,-110.04,[],0,0,0,-110.04
r3_all,2023-07,r3_all_2023-07,3,0,3,0.0,0.0,0.0,-90.63,0.0,0.0,-91.53,0.29,90.63,0.0,-90.63,0,0,-90.63,0.0,,0,1,0,1,0,0.0,2023-07,-90.63,2023-07,-90.63,[],0,0,0,-90.63
r3_all,2023-08,r3_all_2023-08,8,1,7,12.5,0.8652,0.1236,-236.83,0.8508,0.1215,-239.23,0.58,270.23,0.48,-209.84,0,0,-270.23,-209.84,,0,1,0,1,0,0.0,2023-08,-236.83,2023-08,-236.83,[],0,0,0,-236.83
r3_all,2023-09,r3_all_2023-09,10,0,10,0.0,0.0,0.0,-295.68,0.0,0.0,-298.68,0.77,295.68,0.0,-163.78,0,0,-295.68,-216.94,,0,1,0,1,0,0.0,2023-09,-295.68,2023-09,-295.68,[],0,0,0,-295.68
r3_all,2023-10,r3_all_2023-10,6,6,0,100.0,,,439.42,,,437.62,0.38,0.0,0.95,0.0,0,0,0.0,47.52,100.0,1,1,1,0,0,100.0,2023-10,439.42,2023-10,439.42,[],0,0,0,439.42
r3_all,2023-11,r3_all_2023-11,2,2,0,100.0,,,144.74,,,144.14,0.1,0.0,0.48,0.0,0,0,0.0,0.0,100.0,1,1,1,0,0,100.0,2023-11,144.74,2023-11,144.74,[],0,0,0,144.74
r3_all,2023-12,r3_all_2023-12,10,8,2,80.0,1.7478,6.9911,639.07,1.7324,6.9296,636.07,0.77,106.67,0.48,-106.67,0,0,-106.67,150.47,100.0,1,1,1,0,0,100.0,2023-12,639.07,2023-12,639.07,[],0,0,0,639.07
r3_all,2024-01,r3_all_2024-01,2,0,2,0.0,0.0,0.0,-69.57,0.0,0.0,-70.17,0.19,69.57,0.0,-34.8,0,0,-69.57,0.0,,0,1,0,1,0,0.0,2024-01,-69.57,2024-01,-69.57,[],0,0,0,-69.57
r3_all,2024-02,r3_all_2024-02,5,0,5,0.0,0.0,0.0,-137.71,0.0,0.0,-139.21,0.38,137.71,0.0,-92.27,0,0,-137.71,-69.79,,0,1,0,1,0,0.0,2024-02,-137.71,2024-02,-137.71,[],0,0,0,-137.71
r3_all,2024-03,r3_all_2024-03,6,6,0,100.0,,,359.83,,,358.03,0.48,0.0,0.95,0.0,0,0,0.0,81.02,100.0,1,1,1,0,0,100.0,2024-03,359.83,2024-03,359.83,[],0,0,0,359.83
r3_all,2024-07,r3_all_2024-07,4,3,1,75.0,1.2687,3.8061,173.53,1.2578,3.7733,172.33,0.19,61.84,0.95,-61.84,0,0,-61.84,0.0,100.0,1,1,1,0,0,100.0,2024-07,173.53,2024-07,173.53,[],0,0,0,173.53
r3_all,2024-08,r3_all_2024-08,2,2,0,100.0,,,270.49,,,269.89,0.19,0.0,0.48,0.0,0,0,0.0,0.0,100.0,1,1,1,0,0,100.0,2024-08,270.49,2024-08,270.49,[],0,0,0,270.49
r3_all,2024-09,r3_all_2024-09,5,5,0,100.0,,,521.2,,,519.7,0.29,0.0,1.43,0.0,0,0,0.0,0.0,100.0,1,1,1,0,0,100.0,2024-09,521.2,2024-09,521.2,[],0,0,0,521.2
r3_all,2024-10,r3_all_2024-10,15,13,2,86.67,2.3524,15.2905,1566.52,2.3341,15.1718,1562.02,0.86,68.91,1.43,-68.91,0,0,147.16,535.3,100.0,1,1,1,0,0,100.0,2024-10,1566.52,2024-10,1566.52,[],0,0,0,1566.52
r3_all,2024-11,r3_all_2024-11,10,0,10,0.0,0.0,0.0,-623.28,0.0,0.0,-626.28,0.58,623.28,0.0,-357.72,0,0,-623.28,-442.24,,0,1,0,1,0,0.0,2024-11,-623.28,2024-11,-623.28,[],0,0,0,-623.28
r3_all,2025-01,r3_all_2025-01,9,9,0,100.0,,,852.55,,,849.85,0.48,0.0,1.43,0.0,0,0,0.0,155.08,100.0,1,1,1,0,0,100.0,2025-01,852.55,2025-01,852.55,[],0,0,0,0
r3_all,2025-02,r3_all_2025-02,12,12,0,100.0,,,1494.72,,,1491.12,0.58,0.0,1.43,0.0,0,0,190.69,481.95,100.0,1,1,1,0,0,100.0,2025-02,1494.72,2025-02,1494.72,[],0,0,0,0
r3_all,2025-03,r3_all_2025-03,6,6,0,100.0,,,805.69,,,803.89,0.29,0.0,1.9,0.0,0,0,0.0,0.0,100.0,1,1,1,0,0,100.0,2025-03,805.69,2025-03,805.69,[],0,0,0,0
r3_all,2025-04,r3_all_2025-04,7,2,5,28.57,1.1604,0.4641,-238.96,1.1531,0.4612,-241.06,0.48,445.94,0.0,-238.96,0,0,-445.94,-371.27,,0,1,0,1,0,0.0,2025-04,-238.96,2025-04,-238.96,[],0,0,0,0
r3_all,2025-07,r3_all_2025-07,5,0,5,0.0,0.0,0.0,-403.02,0.0,0.0,-404.52,0.19,403.02,0.0,-208.32,0,0,-403.02,0.0,,0,1,0,1,0,0.0,2025-07,-403.02,2025-07,-403.02,[],0,0,0,0
r3_all,2025-09,r3_all_2025-09,17,17,0,100.0,,,2925.93,,,2920.83,0.96,0.0,2.38,0.0,0,0,816.66,1381.12,100.0,1,1,1,0,0,100.0,2025-09,2925.93,2025-09,2925.93,[],0,0,0,0
r3_all,2025-10,r3_all_2025-10,9,9,0,100.0,,,1892.49,,,1889.79,0.29,0.0,1.43,0.0,0,0,0.0,0.0,100.0,1,1,1,0,0,100.0,2025-10,1892.49,2025-10,1892.49,[],0,0,0,0
r3_all,2025-12,r3_all_2025-12,10,4,6,40.0,1.3558,0.9039,-82.28,1.3509,0.9006,-85.28,0.48,856.09,0.48,-856.09,0,0,-856.09,-678.64,,0,1,0,1,0,0.0,2025-12,-82.28,2025-12,-82.28,[],0,0,0,0
r3_all,2026-01,r3_all_2026-01,4,4,0,100.0,,,1532.27,,,1531.07,0.19,0.0,0.95,0.0,0,0,0.0,0.0,100.0,2,1,1,0,0,100.0,2026-01,1532.27,2026-01,1532.27,[],0,0,0,0
r3_all,2026-06,r3_all_2026-06,1,0,1,0.0,0.0,0.0,-204.7,0.0,0.0,-205.0,0.1,204.7,0.0,-204.7,1,-204.7,-204.7,0.0,,0,1,0,1,0,0.0,2026-06,-204.7,2026-06,-204.7,[],0,1,-204.7,0
current_r1_r2_plus_r3_all,2022-07,current_r1_r2_plus_r3_all_2022-07,10,2,8,20.0,3.1626,0.7907,-12.59,3.0029,0.7507,-15.59,0.86,37.21,0.95,-21.63,0,0,-60.14,-55.56,,0,1,0,1,0,0.0,2022-07,-12.59,2022-07,-12.59,[],0,0,0,0
current_r1_r2_plus_r3_all,2022-08,current_r1_r2_plus_r3_all_2022-08,11,4,7,36.36,0.3751,0.2143,-160.6,0.3611,0.2063,-163.9,0.86,182.29,0.0,-97.19,0,0,-204.41,-199.25,,0,1,0,1,0,0.0,2022-08,-160.6,2022-08,-160.6,[],0,0,0,0
current_r1_r2_plus_r3_all,2022-09,current_r1_r2_plus_r3_all_2022-09,11,5,6,45.45,0.7345,0.6121,-52.25,0.7116,0.593,-55.55,0.67,107.74,0.95,-61.48,0,0,-134.69,-121.55,,0,1,0,1,0,0.0,2022-09,-52.25,2022-09,-52.25,[],0,0,0,0
current_r1_r2_plus_r3_all,2022-10,current_r1_r2_plus_r3_all_2022-10,3,1,2,33.33,1.6601,0.8301,-1.99,1.5305,0.7652,-2.89,0.29,11.71,0.48,-11.71,0,0,-11.71,-0.0,,0,1,0,1,0,0.0,2022-10,-1.99,2022-10,-1.99,[],0,0,0,0
current_r1_r2_plus_r3_all,2022-11,current_r1_r2_plus_r3_all_2022-11,3,0,3,0.0,0.0,0.0,-20.19,0.0,0.0,-21.09,0.19,20.19,0.0,-15.04,0,0,-20.19,-0.0,,0,1,0,1,0,0.0,2022-11,-20.19,2022-11,-20.19,[],0,0,0,0
current_r1_r2_plus_r3_all,2022-12,current_r1_r2_plus_r3_all_2022-12,39,16,23,41.03,1.8368,1.2778,64.12,1.7545,1.2205,52.42,1.44,74.23,1.43,-12.48,0,0,-188.8,-80.11,100.0,1,1,1,0,0,100.0,2022-12,64.12,2022-12,64.12,[],0,0,0,0
current_r1_r2_plus_r3_all,2023-01,current_r1_r2_plus_r3_all_2023-01,46,29,17,63.04,3.7357,6.3726,1000.22,3.6094,6.1572,986.42,1.73,88.64,1.9,-88.64,0,0,251.95,588.84,100.0,2,1,1,0,0,100.0,2023-01,1000.22,2023-01,1000.22,[],0,0,0,520.71
current_r1_r2_plus_r3_all,2023-02,current_r1_r2_plus_r3_all_2023-02,15,1,14,6.67,0.2988,0.0213,-321.01,0.2824,0.0202,-325.51,0.58,328.01,0.0,-270.43,0,0,-328.01,-233.0,,0,1,0,1,0,0.0,2023-02,-321.01,2023-02,-321.01,[],0,0,0,-321.01
current_r1_r2_plus_r3_all,2023-03,current_r1_r2_plus_r3_all_2023-03,12,5,7,41.67,15.7737,11.2669,408.11,14.932,10.6657,404.51,0.48,21.09,0.95,-18.66,0,0,-39.75,-39.75,100.0,1,1,1,0,0,100.0,2023-03,408.11,2023-03,408.11,[],0,0,0,408.11
current_r1_r2_plus_r3_all,2023-04,current_r1_r2_plus_r3_all_2023-04,12,5,7,41.67,0.8338,0.5956,-38.61,0.7943,0.5674,-42.21,0.38,87.52,0.48,-67.49,0,0,-95.47,-67.49,,0,1,0,1,0,0.0,2023-04,-38.61,2023-04,-38.61,[],0,0,0,-38.61
current_r1_r2_plus_r3_all,2023-05,current_r1_r2_plus_r3_all_2023-05,6,2,4,33.33,1.2989,0.6495,-14.13,1.2325,0.6162,-15.93,0.29,30.42,0.48,-30.42,0,0,-40.31,0.0,,0,1,0,1,0,0.0,2023-05,-14.13,2023-05,-14.13,[],0,0,0,-14.13
current_r1_r2_plus_r3_all,2023-06,current_r1_r2_plus_r3_all_2023-06,12,6,6,50.0,0.5441,0.5441,-63.27,0.5243,0.5243,-66.87,0.77,110.04,0.95,-110.04,0,0,-138.77,-117.95,,0,1,0,1,0,0.0,2023-06,-63.27,2023-06,-63.27,[],0,0,0,-63.27
current_r1_r2_plus_r3_all,2023-07,current_r1_r2_plus_r3_all_2023-07,9,0,9,0.0,0.0,0.0,-128.42,0.0,0.0,-131.12,0.58,128.42,0.0,-124.9,0,0,-128.42,-90.63,,0,1,0,1,0,0.0,2023-07,-128.42,2023-07,-128.42,[],0,0,0,-128.42
current_r1_r2_plus_r3_all,2023-08,current_r1_r2_plus_r3_all_2023-08,19,8,11,42.11,0.643,0.4676,-147.15,0.6236,0.4535,-152.85,1.05,224.08,0.95,-174.38,0,0,-276.41,-230.96,,0,1,0,1,0,0.0,2023-08,-147.15,2023-08,-147.15,[],0,0,0,-147.15
current_r1_r2_plus_r3_all,2023-09,current_r1_r2_plus_r3_all_2023-09,13,2,11,15.38,0.4129,0.0751,-279.18,0.3976,0.0723,-283.08,1.05,294.84,0.0,-148.12,0,0,-301.84,-295.68,,0,1,0,1,0,0.0,2023-09,-279.18,2023-09,-279.18,[],0,0,0,-279.18
current_r1_r2_plus_r3_all,2023-10,current_r1_r2_plus_r3_all_2023-10,13,7,6,53.85,9.2814,10.8283,426.45,8.8719,10.3505,422.55,0.67,27.68,1.43,-27.68,0,0,-43.39,34.55,100.0,1,1,1,0,0,100.0,2023-10,426.45,2023-10,426.45,[],0,0,0,426.45
current_r1_r2_plus_r3_all,2023-11,current_r1_r2_plus_r3_all_2023-11,27,18,9,66.67,4.1596,8.3191,330.97,3.8688,7.7377,322.87,0.77,16.51,0.95,-8.35,0,0,15.29,18.31,100.0,1,1,1,0,0,100.0,2023-11,330.97,2023-11,330.97,[],0,0,0,330.97
