name,start,end,bars,active_days,dominant_bar_regime,dominant_bar_share_pct,dominant_day_regime,dominant_day_share_pct
last_6_months_2026_01_01_to_2026_06_30,2026-01-01,2026-06-30,34655,153,chop,49.98,chop,50.98
last_3_months_2026_04_01_to_2026_06_30,2026-04-01,2026-06-30,17303,76,chop,59.15,chop,59.21
