family_id,direction,barrier_profile_id,segment,profile_id,session_utc,volatility_bin,trend_alignment,events,wins,win_rate_pct,stress_net_usd,stress_net_r,stress_profit_factor,average_stress_r,max_closed_drawdown_r,source_days,events_per_source_day,active_exit_months,positive_exit_month_share,top_five_winners_removed_net_r,top_ten_winners_removed_net_r,bootstrap_mean_stress_r_p025
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,HIGH,ALIGNED,5,1,20.0,-13.09798809297283,-3.0991416965372816,0.31337342730722945,-0.6198283393074563,4.513576694801157,624,0.008012820512820512,4,0.25,-4.513576694801157,-4.513576694801157,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,HIGH,COUNTER,2,1,50.0,3.926529914175818,0.3343944473087541,1.3027245996697325,0.16719722365437706,1.1046160360723012,624,0.003205128205128205,2,0.5,-1.1046160360723012,-1.1046160360723012,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,HIGH,NEUTRAL,3,0,0.0,-11.951848544407746,-3.2519390716922922,0.0,-1.0839796905640975,3.2519390716922927,624,0.004807692307692308,3,0.0,-3.2519390716922922,-3.2519390716922922,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,NORMAL,ALIGNED,6,1,16.666666666666668,-16.17913020214892,-4.089138654598447,0.2522609680377541,-0.6815231090997412,4.362076594014267,624,0.009615384615384616,4,0.25,-5.468670859494347,-5.468670859494347,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,NORMAL,COUNTER,1,0,0.0,-2.9853694233228856,-1.112219813559482,0.0,-1.112219813559482,1.112219813559482,624,0.0016025641025641025,1,0.0,-1.112219813559482,-1.112219813559482,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,NORMAL,NEUTRAL,1,1,100.0,4.128126470869494,1.3976097518602202,,1.3976097518602202,0.0,624,0.0016025641025641025,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,0,0.0,-3.1189568675467347,-1.1068995392874557,0.0,-1.1068995392874557,1.1068995392874557,624,0.0016025641025641025,1,0.0,-1.1068995392874557,-1.1068995392874557,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,NEW_YORK,NEW_YORK,HIGH,NEUTRAL,3,0,0.0,-22.190037072112624,-3.1556540850374413,0.0,-1.0518846950124805,3.1556540850374413,624,0.004807692307692308,3,0.0,-3.1556540850374413,-3.1556540850374413,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,3,0,0.0,-10.307596307819342,-3.2964741854292403,0.0,-1.0988247284764134,3.2964741854292403,624,0.004807692307692308,3,0.0,-3.2964741854292403,-3.2964741854292403,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,exam,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,3,2,66.66666666666667,4.471126724065036,1.6690667097814817,2.5049968782017102,0.5563555699271606,1.109016725520265,624,0.004807692307692308,3,0.6666666666666666,-1.109016725520265,-1.109016725520265,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,internal_test,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,0,0.0,-1.747512518842167,-1.209282631185595,0.0,-1.209282631185595,1.209282631185595,620,0.0016129032258064516,1,0.0,-1.209282631185595,-1.209282631185595,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,internal_test,NEW_YORK,NEW_YORK,HIGH,NEUTRAL,1,0,0.0,-1.366053660951997,-1.2828741737126386,0.0,-1.2828741737126386,1.2828741737126386,620,0.0016129032258064516,1,0.0,-1.2828741737126386,-1.2828741737126386,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,internal_test,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,1,1,100.0,1.5883021380173483,1.26087919968905,,1.26087919968905,0.0,620,0.0016129032258064516,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,train,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,1,1,100.0,0.261421967418351,0.6969551953334133,,0.6969551953334133,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,train,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,1,0,0.0,-1.1327158546865475,-1.3642489586076283,0.0,-1.3642489586076283,1.3642489586076283,1244,0.0008038585209003215,1,0.0,-1.3642489586076283,-1.3642489586076283,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,validation,LONDON,LONDON,HIGH,ALIGNED,1,1,100.0,1.7676944290292846,1.28161303261326,,1.28161303261326,0.0,621,0.001610305958132045,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,validation,LONDON,LONDON,LOW,ALIGNED,1,0,0.0,-1.2569703088133286,-1.3151595000776344,0.0,-1.3151595000776344,1.3151595000776344,621,0.001610305958132045,1,0.0,-1.3151595000776344,-1.3151595000776344,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,validation,LONDON,LONDON,NORMAL,ALIGNED,1,0,0.0,-2.7998743158017936,-1.1205507727120132,0.0,-1.1205507727120132,1.1205507727120132,621,0.001610305958132045,1,0.0,-1.1205507727120132,-1.1205507727120132,
session_opening_drive_v1,LONG,stop_0p50_target_0p75_h120,validation,NEW_YORK,NEW_YORK,HIGH,COUNTER,1,1,100.0,2.79080512796114,1.3533426225002192,,1.3533426225002192,0.0,621,0.001610305958132045,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,HIGH,ALIGNED,5,1,20.0,-18.896374500572175,-2.899757302221029,0.33227071279194026,-0.5799514604442058,4.342713967730286,624,0.008012820512820512,4,0.25,-4.342713967730286,-4.342713967730286,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,HIGH,COUNTER,2,1,50.0,6.181287926819965,0.3878145669954214,1.36214920628926,0.1939072834977107,1.0708695760212756,624,0.003205128205128205,2,0.5,-1.0708695760212756,-1.0708695760212756,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,HIGH,NEUTRAL,3,0,0.0,-17.478988094388033,-3.1687190520970945,0.0,-1.056239684032365,3.1687190520970945,624,0.004807692307692308,3,0.0,-3.1687190520970945,-3.1687190520970945,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,NORMAL,ALIGNED,6,2,33.333333333333336,-12.740694513199397,-1.3965421874676471,0.670763987547663,-0.23275703124460786,4.241766193999881,624,0.009615384615384616,4,0.25,-4.241766193999881,-4.241766193999881,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,NORMAL,COUNTER,1,0,0.0,-4.329877051650995,-1.0754168891126197,0.0,-1.0754168891126197,1.0754168891126197,624,0.0016025641025641025,1,0.0,-1.0754168891126197,-1.0754168891126197,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,NORMAL,NEUTRAL,1,1,100.0,6.3421897063037855,1.4314655399936105,,1.4314655399936105,0.0,624,0.0016025641025641025,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,0,0.0,-4.527827662431668,-1.071266359525038,0.0,-1.071266359525038,1.071266359525038,624,0.0016025641025641025,1,0.0,-1.071266359525038,-1.071266359525038,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,NEW_YORK,NEW_YORK,HIGH,NEUTRAL,3,0,0.0,-32.84052435816848,-3.104172222231453,0.0,-1.034724074077151,3.104172222231453,624,0.004807692307692308,3,0.0,-3.104172222231453,-3.104172222231453,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,3,1,33.333333333333336,-5.516070567099551,-0.6986059390030399,0.6703141973265444,-0.2328686463343467,2.1190052266065864,624,0.004807692307692308,3,0.3333333333333333,-2.1190052266065864,-2.1190052266065864,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,exam,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,3,2,66.66666666666667,7.155474808320913,1.7784724830641547,2.6575232388267964,0.5928241610213849,1.072969863350433,624,0.004807692307692308,3,0.6666666666666666,-1.072969863350433,-1.072969863350433,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,internal_test,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,0,0.0,-2.4700535004854727,-1.1395217541237133,0.0,-1.1395217541237133,1.1395217541237133,620,0.0016129032258064516,1,0.0,-1.1395217541237133,-1.1395217541237133,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,internal_test,NEW_YORK,NEW_YORK,HIGH,NEUTRAL,1,0,0.0,-1.8984728525389931,-1.1885827824750532,0.0,-1.1885827824750532,1.1885827824750532,620,0.0016129032258064516,1,0.0,-1.1885827824750532,-1.1885827824750532,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,internal_test,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,1,0,0.0,-2.1992396380173482,-1.1639160452469959,0.0,-1.1639160452469959,1.1639160452469959,620,0.0016129032258064516,1,0.0,-1.1639160452469959,-1.1639160452469959,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,train,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,1,1,100.0,0.5427405900164154,0.9646367968889358,,0.9646367968889358,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,train,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,1,1,100.0,1.5632808119333934,1.2552157782951345,,1.2552157782951345,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,validation,LONDON,LONDON,HIGH,ALIGNED,1,1,100.0,2.7985034490994822,1.352646488095648,,1.352646488095648,0.0,621,0.001610305958132045,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,validation,LONDON,LONDON,LOW,ALIGNED,1,0,0.0,-1.734847824331104,-1.2101063333851083,0.0,-1.2101063333851083,1.2101063333851083,621,0.001610305958132045,1,0.0,-1.2101063333851083,-1.2101063333851083,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,validation,LONDON,LONDON,NORMAL,ALIGNED,1,1,100.0,5.317121724443152,1.4186600742046518,,1.4186600742046518,0.0,621,0.001610305958132045,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_0p75_target_1p125_h240,validation,NEW_YORK,NEW_YORK,HIGH,COUNTER,1,0,0.0,-3.406603739072251,-1.10130752636324,0.0,-1.10130752636324,1.10130752636324,621,0.001610305958132045,1,0.0,-1.10130752636324,-1.10130752636324,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,HIGH,ALIGNED,5,1,20.0,-24.69354563039147,-2.8003643143344563,0.3422641215073967,-0.5600728628668913,4.2575818134664045,624,0.008012820512820512,4,0.25,-4.2575818134664045,-4.2575818134664045,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,HIGH,COUNTER,2,1,50.0,8.444552883907647,0.41564988425158744,1.394593123408573,0.20782494212579372,1.0533632230108874,624,0.003205128205128205,2,0.5,-1.0533632230108874,-1.0533632230108874,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,HIGH,NEUTRAL,3,0,0.0,-23.003697088813674,-3.126685983098063,0.0,-1.0422286610326876,3.126685983098063,624,0.004807692307692308,3,0.0,-3.126685983098063,-3.126685983098063,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,NORMAL,ALIGNED,6,2,33.333333333333336,-16.379490832415073,-1.2976208081836647,0.6896627460916794,-0.21627013469727752,4.181324645500043,624,0.009615384615384616,4,0.25,-4.181324645500043,-4.181324645500043,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,NORMAL,COUNTER,1,0,0.0,-5.685322179979105,-1.059052847135368,0.0,-1.059052847135368,1.059052847135368,624,0.0016025641025641025,1,0.0,-1.059052847135368,-1.059052847135368,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,NORMAL,NEUTRAL,1,1,100.0,8.556252941738988,1.4483934340604598,,1.4483934340604598,0.0,624,0.0016025641025641025,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,0,0.0,-5.936698457316601,-1.0534497696438292,0.0,-1.0534497696438292,1.0534497696438292,624,0.0016025641025641025,1,0.0,-1.0534497696438292,-1.0534497696438292,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,NEW_YORK,NEW_YORK,HIGH,NEUTRAL,3,0,0.0,-43.48371997755767,-3.078129166673589,0.0,-1.0260430555578628,3.0781291666735884,624,0.004807692307692308,3,0.0,-3.078129166673589,-3.078129166673589,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,3,1,33.333333333333336,-7.055570941318224,-0.6495934061273458,0.6891024497979635,-0.21653113537578186,2.089413074195046,624,0.004807692307692308,3,0.3333333333333333,-2.089413074195046,-2.089413074195046,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,exam,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,3,2,66.66666666666667,9.843468725908304,1.8338543622979528,2.7386998447392656,0.6112847874326509,1.0547273975129137,624,0.004807692307692308,3,0.6666666666666666,-1.0547273975129137,-1.0547273975129137,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,internal_test,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,0,0.0,-3.1925944821290058,-1.104641315592851,0.0,-1.104641315592851,1.104641315592851,620,0.0016129032258064516,1,0.0,-1.104641315592851,-1.104641315592851,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,internal_test,NEW_YORK,NEW_YORK,HIGH,NEUTRAL,1,0,0.0,-2.430892044125989,-1.1414370868562607,0.0,-1.1414370868562607,1.1414370868562607,620,0.0016129032258064516,1,0.0,-1.1414370868562607,-1.1414370868562607,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,internal_test,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,1,0,0.0,-2.8290787766154204,-1.1229370339351537,0.0,-1.1229370339351537,1.1229370339351537,620,0.0016129032258064516,1,0.0,-1.1229370339351537,-1.1229370339351537,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,train,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,1,1,100.0,0.8240592126144798,1.0984775976666972,,1.0984775976666972,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,train,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,1,0,0.0,-1.9690775427062008,-1.1857836967409519,0.0,-1.1857836967409519,1.1857836967409519,1244,0.0008038585209003215,1,0.0,-1.1857836967409519,-1.1857836967409519,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,validation,LONDON,LONDON,HIGH,ALIGNED,1,0,0.0,-3.0719143312982293,-1.1135989844764158,0.0,-1.1135989844764158,1.1135989844764158,621,0.001610305958132045,1,0.0,-1.1135989844764158,-1.1135989844764158,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,validation,LONDON,LONDON,LOW,ALIGNED,1,1,100.0,2.559973426439759,1.3392414077413732,,1.3392414077413732,0.0,621,0.001610305958132045,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,validation,LONDON,LONDON,NORMAL,ALIGNED,1,1,100.0,7.191116002961164,1.4389950556534719,,1.4389950556534719,0.0,621,0.001610305958132045,1,1.0,0.0,0.0,
session_opening_drive_v1,LONG,stop_1p00_target_1p50_h240,validation,NEW_YORK,NEW_YORK,HIGH,COUNTER,1,1,100.0,5.869457478144502,1.423135369886745,,1.423135369886745,0.0,621,0.001610305958132045,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,HIGH,ALIGNED,8,3,37.5,10.120143432455684,-1.4553069154761866,0.7459181822353037,-0.18191336443452333,4.312341594282588,624,0.01282051282051282,8,0.375,-5.7277097915913755,-5.7277097915913755,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,LOW,ALIGNED,1,0,0.0,-2.361609221621115,-1.146193051419899,0.0,-1.146193051419899,1.146193051419899,624,0.0016025641025641025,1,0.0,-1.146193051419899,-1.146193051419899,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,LOW,NEUTRAL,1,0,0.0,-3.4860085646245755,-1.094579224033794,0.0,-1.094579224033794,1.094579224033794,624,0.0016025641025641025,1,0.0,-1.094579224033794,-1.094579224033794,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,NORMAL,ALIGNED,5,0,0.0,-16.721901390970036,-5.549547525953992,0.0,-1.1099095051907983,5.549547525953992,624,0.008012820512820512,4,0.0,-5.549547525953992,-5.549547525953992,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,exam,LONDON,LONDON,NORMAL,NEUTRAL,1,0,0.0,-3.1743828434727623,-1.1048373514216172,0.0,-1.1048373514216172,1.1048373514216172,624,0.0016025641025641025,1,0.0,-1.1048373514216172,-1.1048373514216172,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,exam,NEW_YORK,NEW_YORK,HIGH,ALIGNED,4,1,25.0,-12.633448099288014,-1.8050095442545038,0.43441344116247554,-0.45125238606362594,3.19139398921435,624,0.00641025641025641,4,0.25,-3.19139398921435,-3.19139398921435,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,exam,NEW_YORK,NEW_YORK,HIGH,NEUTRAL,1,1,100.0,4.402309550465412,1.4039395063988382,,1.4039395063988382,0.0,624,0.0016025641025641025,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,exam,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,2,1,50.0,3.702840478896279,0.3064031510945433,1.2720923365944672,0.15320157554727165,1.1260998928875154,624,0.003205128205128205,2,0.5,-1.1260998928875154,-1.1260998928875154,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,internal_test,LONDON,LONDON,NORMAL,ALIGNED,1,0,0.0,-1.2473580875698138,-1.318361324168067,0.0,-1.318361324168067,1.318361324168067,620,0.0016129032258064516,1,0.0,-1.318361324168067,-1.318361324168067,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,internal_test,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,0,0.0,-1.9260369309467427,-1.1853835940643225,0.0,-1.1853835940643225,1.1853835940643225,620,0.0016129032258064516,1,0.0,-1.1853835940643225,-1.1853835940643225,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,internal_test,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,1,0,0.0,-1.8606556159306313,-1.1931560127106486,0.0,-1.1931560127106486,1.1931560127106486,620,0.0016129032258064516,1,0.0,-1.1931560127106486,-1.1931560127106486,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,train,LONDON,LONDON,NORMAL,ALIGNED,2,0,0.0,-3.4959611078878776,-2.4282038533142316,0.0,-1.2141019266571158,2.4282038533142316,1244,0.001607717041800643,2,0.0,-2.4282038533142316,-2.4282038533142316,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,train,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,1,100.0,0.3715840621369403,0.8284432818797756,,0.8284432818797756,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,train,NEW_YORK,NEW_YORK,LOW,ALIGNED,1,1,100.0,1.3448460835273233,1.2255127133849297,,1.2255127133849297,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,train,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,1,1,100.0,0.15130794972338257,0.5015475688139284,,0.5015475688139284,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_0p50_target_0p75_h120,validation,NEW_YORK,NEW_YORK,HIGH,ALIGNED,7,4,57.142857142857146,4.022568615641958,1.265269276852275,1.3273772145658724,0.18075275383603934,2.6376803783638647,621,0.011272141706924315,6,0.5,-3.864866644827803,-3.864866644827803,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,HIGH,ALIGNED,8,3,37.5,14.029634135879142,-1.141540147228105,0.791222143098154,-0.14269251840351313,3.285348349782927,624,0.01282051282051282,8,0.375,-5.467726147628695,-5.467726147628695,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,LOW,ALIGNED,1,0,0.0,-3.391806193543238,-1.0974620342800459,0.0,-1.0974620342800459,1.0974620342800459,624,0.0016025641025641025,1,0.0,-1.0974620342800459,-1.0974620342800459,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,LOW,NEUTRAL,1,0,0.0,-5.07840520804752,-1.0630528160224557,0.0,-1.0630528160224557,1.0630528160224557,624,0.0016025641025641025,1,0.0,-1.0630528160224557,-1.0630528160224557,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,NORMAL,ALIGNED,5,0,0.0,-24.33102916978975,-5.366751263361325,0.0,-1.0733502526722647,5.366751263361324,624,0.008012820512820512,4,0.0,-5.366751263361325,-5.366751263361325,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,exam,LONDON,LONDON,NORMAL,NEUTRAL,1,0,0.0,-4.610966626320027,-1.0698915676143776,0.0,-1.0698915676143776,1.0698915676143776,624,0.0016025641025641025,1,0.0,-1.0698915676143776,-1.0698915676143776,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,exam,NEW_YORK,NEW_YORK,HIGH,ALIGNED,4,1,25.0,-12.502575017382696,-1.70452800647995,0.45995487986293415,-0.4261320016199875,3.1562696206704604,624,0.00641025641025641,4,0.25,-3.1562696206704604,-3.1562696206704604,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,exam,NEW_YORK,NEW_YORK,HIGH,NEUTRAL,1,1,100.0,6.751641409031223,1.4354429189976952,,1.4354429189976952,0.0,624,0.0016025641025641025,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,exam,NEW_YORK,NEW_YORK,NORMAL,NEUTRAL,2,1,50.0,5.855475996121741,0.3709354340629085,1.3421703386907462,0.18546771703145426,1.0840665952584518,624,0.003205128205128205,2,0.5,-1.0840665952584518,-1.0840665952584518,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,internal_test,LONDON,LONDON,NORMAL,ALIGNED,1,0,0.0,-1.7204294924662866,-1.2122408827789544,0.0,-1.2122408827789544,1.2122408827789544,620,0.0016129032258064516,1,0.0,-1.2122408827789544,-1.2122408827789544,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,internal_test,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,0,0.0,-2.738447757530998,-1.1235890627094929,0.0,-1.1235890627094929,1.1235890627094929,620,0.0016129032258064516,1,0.0,-1.1235890627094929,-1.1235890627094929,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,internal_test,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,1,0,0.0,-2.640375785007058,-1.1287706751404276,0.0,-1.1287706751404276,1.1287706751404276,620,0.0016129032258064516,1,0.0,-1.1287706751404276,-1.1287706751404276,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,train,LONDON,LONDON,NORMAL,ALIGNED,2,0,0.0,-4.942726384054039,-2.28546923554282,0.0,-1.14273461777141,2.28546923554282,1244,0.001607717041800643,2,0.0,-2.28546923554282,-2.28546923554282,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,train,NEW_YORK,NEW_YORK,HIGH,ALIGNED,1,1,100.0,0.7079837320941856,1.0522955212530911,,1.0522955212530911,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,train,NEW_YORK,NEW_YORK,LOW,ALIGNED,1,1,100.0,2.16787676417976,1.3170084755899139,,1.3170084755899139,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,train,NEW_YORK,NEW_YORK,NORMAL,ALIGNED,1,1,100.0,0.37756956347407644,0.8343650458761273,,0.8343650458761273,0.0,1244,0.0008038585209003215,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_0p75_target_1p125_h240,validation,NEW_YORK,NEW_YORK,HIGH,ALIGNED,7,4,57.142857142857146,7.085675840129716,1.8420906914586375,1.5149443746925688,0.26315581306551966,2.425803999179145,621,0.011272141706924315,6,0.5,-3.5772615101551484,-3.5772615101551484,
session_opening_drive_v1,SHORT,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,HIGH,ALIGNED,8,4,50.0,31.94318994098503,1.5152954231720215,1.3535069584113857,0.18941192789650269,3.2140112623371806,624,0.01282051282051282,8,0.5,-4.286465618616285,-4.286465618616285,
session_opening_drive_v1,SHORT,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,LOW,ALIGNED,1,1,100.0,5.87632072041981,1.4260187324803213,,1.4260187324803213,0.0,624,0.0016025641025641025,1,1.0,0.0,0.0,
session_opening_drive_v1,SHORT,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,LOW,NEUTRAL,1,0,0.0,-6.670801851471373,-1.0472896120169297,0.0,-1.0472896120169297,1.0472896120169297,624,0.0016025641025641025,1,0.0,-1.0472896120169297,-1.0472896120169297,
session_opening_drive_v1,SHORT,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,NORMAL,ALIGNED,5,0,0.0,-31.941372226385425,-5.275601283265382,0.0,-1.0551202566530764,5.275601283265382,624,0.008012820512820512,4,0.0,-5.275601283265382,-5.275601283265382,
session_opening_drive_v1,SHORT,stop_1p00_target_1p50_h240,exam,LONDON,LONDON,NORMAL,NEUTRAL,1,0,0.0,-6.047550409167292,-1.0524186757107579,0.0,-1.0524186757107579,1.0524186757107579,624,0.0016025641025641025,1,0.0,-1.0524186757107579,-1.0524186757107579,
session_opening_drive_v1,SHORT,stop_1p00_target_1p50_h240,exam,NEW_YORK,NEW_YORK,HIGH,ALIGNED,4,3,75.0,39.68940520139896,3.3450188534892953,4.163837973988515,0.8362547133723238,1.057266168808377,624,0.00641025641025641,4,0.75,-1.0572661688083769,-1.0572661688083769,
session_opening_drive_v1,SHORT,stop_1p00_target_1p50_h240,exam,NEW_YORK,NEW_YORK,HIGH,NEUTRAL,1,1,100.0,9.102188545374814,1.4513884072726881,,1.4513884072726881,0.0,624,0.0016025641025641025,1,1.0,0.0,0.0,
