candidate,symbol,time_bucket,direction,normalized_direction,legacy_shadow_action,proposed_v2_shadow_action,proposed_v2_shadow_reason,signals,broker_join,replay,unresolved,wins,losses,open,flat,closed_win_rate_pct,broker_profit_aed
breakout_retest,EURUSD,Afternoon 12:00-15:59,LONG,BUY,KEEP,KEEP,KEEP,14,0,14,0,6,8,0,0,42.86,0.00
breakout_retest,EURUSD,Afternoon 12:00-15:59,SHORT,SELL,KEEP,KEEP,KEEP,5,0,5,0,1,4,0,0,20.00,0.00
breakout_retest,EURUSD,Evening 16:00-19:59,LONG,BUY,KEEP,KEEP,KEEP,5,0,5,0,2,3,0,0,40.00,0.00
breakout_retest,EURUSD,Evening 16:00-19:59,SHORT,SELL,KEEP,KEEP,KEEP,9,0,9,0,7,2,0,0,77.78,0.00
breakout_retest,EURUSD,Morning 06:00-11:59,LONG,BUY,KEEP,KEEP,KEEP,4,0,4,0,1,3,0,0,25.00,0.00
breakout_retest,EURUSD,Morning 06:00-11:59,SHORT,SELL,KEEP,KEEP,KEEP,8,0,8,0,3,5,0,0,37.50,0.00
breakout_retest,EURUSD,Night 20:00-05:59,LONG,BUY,KEEP,KEEP,KEEP,8,0,8,0,5,3,0,0,62.50,0.00
breakout_retest,EURUSD,Night 20:00-05:59,SHORT,SELL,KEEP,KEEP,KEEP,15,1,14,0,13,2,0,0,86.67,27.86
breakout_retest,USDJPY,Afternoon 12:00-15:59,LONG,BUY,KEEP,KEEP,KEEP,7,0,0,7,0,0,0,0,0.00,0.00
breakout_retest,USDJPY,Afternoon 12:00-15:59,SHORT,SELL,KEEP,KEEP,KEEP,2,0,0,2,0,0,0,0,0.00,0.00
breakout_retest,USDJPY,Evening 16:00-19:59,LONG,BUY,KEEP,KEEP,KEEP,14,0,0,14,0,0,0,0,0.00,0.00
breakout_retest,USDJPY,Evening 16:00-19:59,SHORT,SELL,KEEP,KEEP,KEEP,4,0,0,4,0,0,0,0,0.00,0.00
breakout_retest,USDJPY,Morning 06:00-11:59,LONG,BUY,KEEP,KEEP,KEEP,15,0,0,15,0,0,0,0,0.00,0.00
breakout_retest,USDJPY,Morning 06:00-11:59,SHORT,SELL,KEEP,KEEP,KEEP,9,0,0,9,0,0,0,0,0.00,0.00
breakout_retest,USDJPY,Night 20:00-05:59,LONG,BUY,KEEP,KEEP,KEEP,41,0,0,41,0,0,0,0,0.00,0.00
breakout_retest,USDJPY,Night 20:00-05:59,SHORT,SELL,KEEP,KEEP,KEEP,13,0,0,13,0,0,0,0,0.00,0.00
breakout_retest,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,BLOCK,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,4,0,4,0,1,3,0,0,25.00,0.00
breakout_retest,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,BLOCK,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,2,0,2,0,2,0,0,0,100.00,0.00
breakout_retest,XAUUSD,Evening 16:00-19:59,LONG,BUY,KEEP,KEEP,KEEP,1,0,1,0,0,1,0,0,0.00,0.00
breakout_retest,XAUUSD,Evening 16:00-19:59,SHORT,SELL,KEEP,KEEP,KEEP,10,0,10,0,8,2,0,0,80.00,0.00
breakout_retest,XAUUSD,Morning 06:00-11:59,LONG,BUY,BLOCK,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,4,0,4,0,2,2,0,0,50.00,0.00
breakout_retest,XAUUSD,Morning 06:00-11:59,SHORT,SELL,BLOCK,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,6,0,6,0,4,2,0,0,66.67,0.00
