name,kind,signals,wins,losses,win_rate_pct,avg_win,avg_loss,avg_win_loss,profit_factor,net_usd,max_dd_usd,active_weekdays,active_weekday_pct,positive_weeks,negative_weeks,flat_weeks,positive_week_pct,worst_week_usd,best_week_usd,dropped_signals,june_signals,june_win_rate_pct,june_avg_win_loss,june_active_weekday_pct,june_net_usd,june_positive_week_pct,june_worst_week_usd,decision,score
baseline,baseline,3751,1884,1853,50.2266,23.2821,11.6401,2.0002,2.0336,22294.46,1583.72,901,86.3854,122,86,2,58.0952,-609.41,2214.62,0,39,56.4103,0.5508,86.3636,-222.84,60.0,-522.85,BASELINE,872.2545
all_loss_cap_50_sensitivity,sensitivity,3751,1884,1853,50.2266,23.2821,10.5417,2.2086,2.2455,24329.68,871.24,901,86.3854,124,84,2,59.0476,-244.77,2217.93,0,39,56.4103,1.1123,86.3636,168.84,60.0,-166.73,SENSITIVITY_ONLY_NOT_EXECUTABLE,953.7974
h4_loss_cap_50_sensitivity,sensitivity,3751,1884,1853,50.2266,23.2821,10.5595,2.2048,2.2417,24296.75,871.24,901,86.3854,124,84,2,59.0476,-244.77,2214.62,0,39,56.4103,1.1123,86.3636,168.84,60.0,-166.73,SENSITIVITY_ONLY_NOT_EXECUTABLE,953.3224
h4_loss_cap_75_sensitivity,sensitivity,3751,1884,1853,50.2266,23.2821,10.9563,2.125,2.1605,23561.42,893.78,901,86.3854,122,86,2,58.0952,-281.1,2214.62,0,39,56.4103,0.8826,86.3636,68.84,60.0,-241.73,SENSITIVITY_ONLY_NOT_EXECUTABLE,934.7559
all_loss_cap_75_sensitivity,sensitivity,3751,1884,1853,50.2266,23.2821,10.9563,2.125,2.1605,23561.42,893.78,901,86.3854,122,86,2,58.0952,-281.1,2214.62,0,39,56.4103,0.8826,86.3636,68.84,60.0,-241.73,SENSITIVITY_ONLY_NOT_EXECUTABLE,934.7559
h4_loss_cap_100_sensitivity,sensitivity,3751,1884,1853,50.2266,23.2821,11.192,2.0803,2.1151,23124.82,947.57,901,86.3854,122,86,2,58.0952,-356.1,2214.62,0,39,56.4103,0.7501,86.3636,-16.72,60.0,-316.73,SENSITIVITY_ONLY_NOT_EXECUTABLE,918.4541
all_loss_cap_100_sensitivity,sensitivity,3751,1884,1853,50.2266,23.2821,11.192,2.0803,2.1151,23124.82,947.57,901,86.3854,122,86,2,58.0952,-356.1,2214.62,0,39,56.4103,0.7501,86.3636,-16.72,60.0,-316.73,SENSITIVITY_ONLY_NOT_EXECUTABLE,918.4541
h4_max_1_per_week,causal_entry_count,3526,1751,1761,49.6597,15.1707,9.4771,1.6008,1.5917,9874.63,723.84,898,86.0978,130,78,2,61.9048,-285.81,888.34,225,37,59.4595,0.888,86.3636,128.43,60.0,-171.58,LOSS_SHAPE_IMPROVES_CORE_BREAKS,878.8277
h4_max_1_per_day_and_1_per_week,causal_entry_count,3526,1751,1761,49.6597,15.1707,9.4771,1.6008,1.5917,9874.63,723.84,898,86.0978,130,78,2,61.9048,-285.81,888.34,225,37,59.4595,0.888,86.3636,128.43,60.0,-171.58,LOSS_SHAPE_IMPROVES_CORE_BREAKS,878.8277
h4_max_2_per_day,causal_entry_count,3719,1863,1842,50.0941,21.9155,11.2366,1.9504,1.9726,20130.8,1397.59,901,86.3854,123,85,2,58.5714,-609.41,1929.39,32,38,57.8947,0.682,86.3636,-36.71,60.0,-336.72,LOSS_SHAPE_IMPROVES_CORE_BREAKS,867.0677
