component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-01 01:15:00,2022-07-01,SHORT,12.97,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3422,,,
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-01 07:50:00,2022-07-01,SHORT,-1.39,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3423,,,
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-06 03:35:00,2022-07-06,SHORT,12.98,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3424,,,
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-06 23:05:00,2022-07-06,SHORT,-7.0,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3425,,,
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-07 06:45:00,2022-07-07,SHORT,-1.06,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3426,,,
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-07 23:05:00,2022-07-07,SHORT,-7.06,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3427,,,
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-11 06:15:00,2022-07-11,SHORT,13.0,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3428,,,
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-12 05:00:00,2022-07-12,SHORT,-1.04,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3429,,,
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-12 23:05:00,2022-07-12,SHORT,-1.1,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3430,,,
v13,step1_f33_r30_be_never,step1_f33_r30_be_never,,a1_core_management,11,f33_r30_be_never,3,f33_v13_lh,2022-07-14 01:10:00,2022-07-14,SHORT,-1.04,2,0.02,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_f33_v13_lh_trades.csv,3431,,,
