profile,episode_id,start_ms,end_ms,start_utc,end_utc,trades,stress_net_usd
frozen_r1_baseline,episode_0001,1496419200163,1497359204668,2017-06-02T16:00:00.163Z,2017-06-13T13:06:44.668Z,4,-58.79589012615723
frozen_r1_baseline,episode_0002,1501603200181,1501640582821,2017-08-01T16:00:00.181Z,2017-08-02T02:23:02.821Z,1,-6.431434305555346
frozen_r1_baseline,episode_0003,1502265600266,1506717023571,2017-08-09T08:00:00.266Z,2017-09-29T20:30:23.571Z,10,331.94754324942124
frozen_r1_baseline,episode_0004,1514937600101,1518092547613,2018-01-03T00:00:00.101Z,2018-02-08T12:22:27.613Z,10,-172.1825554803248
frozen_r1_baseline,episode_0005,1522080000119,1522252965011,2018-03-26T16:00:00.119Z,2018-03-28T16:02:45.011Z,1,-28.093667965277852
frozen_r1_baseline,episode_0006,1523376000086,1524483746404,2018-04-10T16:00:00.086Z,2018-04-23T11:42:26.404Z,4,-65.10717189409678
frozen_r1_baseline,episode_0007,1540296000092,1540895294708,2018-10-23T12:00:00.092Z,2018-10-30T10:28:14.708Z,2,-35.31107387094906
frozen_r1_baseline,episode_0008,1541505600642,1541520646924,2018-11-06T12:00:00.642Z,2018-11-06T16:10:46.924Z,1,-9.367951373842654
frozen_r1_baseline,episode_0009,1543824000071,1551463447921,2018-12-03T08:00:00.071Z,2019-03-01T18:04:07.921Z,33,179.81662449189807
frozen_r1_baseline,episode_0010,1553486405780,1553766382138,2019-03-25T04:00:05.780Z,2019-03-28T09:46:22.138Z,3,-37.48612950925918
frozen_r1_baseline,episode_0011,1559721600102,1560992615065,2019-06-05T08:00:00.102Z,2019-06-20T01:03:35.065Z,1,49.66421253414358
frozen_r1_baseline,episode_0012,1577764802485,1582904015676,2019-12-31T04:00:02.485Z,2020-02-28T15:33:35.676Z,21,78.76625848668948
frozen_r1_baseline,episode_0013,1589472000062,1590585322713,2020-05-14T16:00:00.062Z,2020-05-27T13:15:22.713Z,3,-142.6790151689817
frozen_r1_baseline,episode_0014,1592582400688,1597196695285,2020-06-19T16:00:00.688Z,2020-08-12T01:44:55.285Z,22,1166.5881750949075
frozen_r1_baseline,episode_0015,1609718400106,1610092822654,2021-01-04T00:00:00.106Z,2021-01-08T08:00:22.654Z,5,-237.32512003414323
frozen_r1_baseline,episode_0016,1620057600055,1623943474802,2021-05-03T16:00:00.055Z,2021-06-17T15:24:34.802Z,15,-324.02890955787046
frozen_r1_baseline,episode_0017,1636344000045,1637674687173,2021-11-08T04:00:00.045Z,2021-11-23T13:38:07.173Z,4,-143.37470985416624
frozen_r1_baseline,episode_0018,1640952000067,1641474261034,2021-12-31T12:00:00.067Z,2022-01-06T13:04:21.034Z,1,-32.660640491319334
frozen_r1_baseline,episode_0019,1642608000038,1643288444431,2022-01-19T16:00:00.038Z,2022-01-27T13:00:44.431Z,3,-99.30936745196767
frozen_r1_baseline,episode_0020,1644854400112,1645697844032,2022-02-14T16:00:00.112Z,2022-02-24T10:17:24.032Z,3,99.3396455196758
frozen_r1_baseline,episode_0021,1650240000078,1650373404208,2022-04-18T00:00:00.078Z,2022-04-19T13:03:24.208Z,2,-59.03615316261572
frozen_r1_baseline,episode_0022,1669262400074,1676555258051,2022-11-24T04:00:00.074Z,2023-02-16T13:47:38.051Z,26,435.1909690613433
frozen_r1_baseline,episode_0023,1690358400132,1690464766851,2023-07-26T08:00:00.132Z,2023-07-27T13:32:46.851Z,2,-40.23043380266226
frozen_r1_baseline,episode_0024,1700539200084,1701646039689,2023-11-21T04:00:00.084Z,2023-12-03T23:27:19.689Z,5,329.956257349537
frozen_r1_baseline,episode_0025,1703203200129,1704461449955,2023-12-22T00:00:00.129Z,2024-01-05T13:30:49.955Z,6,-167.95317858043973
frozen_r1_baseline,episode_0026,1709035201072,1709112222511,2024-02-27T12:00:01.072Z,2024-02-28T09:23:42.511Z,1,-13.822008144097031
frozen_r1_baseline,episode_0027,1709222400037,1709570094035,2024-02-29T16:00:00.037Z,2024-03-04T16:34:54.035Z,2,106.15097229976891
frozen_r1_baseline,episode_0028,1709640000128,1712330430795,2024-03-05T12:00:00.128Z,2024-04-05T15:20:30.795Z,5,468.73096244733756
frozen_r1_baseline,episode_0029,1720166400219,1725897600230,2024-07-05T08:00:00.219Z,2024-09-09T16:00:00.230Z,7,35.83724152141216
frozen_r1_baseline,episode_0030,1725984000090,1731332469236,2024-09-10T16:00:00.090Z,2024-11-11T13:41:09.236Z,25,380.35294838831055
frozen_r1_baseline,episode_0031,1737028800057,1743976822627,2025-01-16T12:00:00.057Z,2025-04-06T22:00:22.627Z,29,1217.7248086736104
frozen_r1_baseline,episode_0032,1753084800070,1753454375154,2025-07-21T08:00:00.070Z,2025-07-25T14:39:35.154Z,4,-130.97562079455997
frozen_r1_baseline,episode_0033,1754553600096,1754911650520,2025-08-07T08:00:00.096Z,2025-08-11T11:27:30.520Z,1,-48.12643574537057
frozen_r1_baseline,episode_0034,1756195200078,1760515694310,2025-08-26T08:00:00.078Z,2025-10-15T08:08:14.310Z,28,3924.7029007355327
frozen_r1_baseline,episode_0035,1764950400034,1765260573223,2025-12-05T16:00:00.034Z,2025-12-09T06:09:33.223Z,1,-70.40648861284758
frozen_r1_baseline,episode_0036,1765411200050,1769632445467,2025-12-11T00:00:00.050Z,2026-01-28T20:34:05.467Z,19,3238.630956289348
demo_guard_10k,episode_0001,1496419200163,1497359204668,2017-06-02T16:00:00.163Z,2017-06-13T13:06:44.668Z,4,-58.79589012615723
demo_guard_10k,episode_0002,1501603200181,1501640582821,2017-08-01T16:00:00.181Z,2017-08-02T02:23:02.821Z,1,-6.431434305555346
demo_guard_10k,episode_0003,1502265600266,1504837637739,2017-08-09T08:00:00.266Z,2017-09-08T02:27:17.739Z,8,333.04022596238394
demo_guard_10k,episode_0004,1514937600101,1518092547613,2018-01-03T00:00:00.101Z,2018-02-08T12:22:27.613Z,10,-172.1825554803248
demo_guard_10k,episode_0005,1522080000119,1522252965011,2018-03-26T16:00:00.119Z,2018-03-28T16:02:45.011Z,1,-28.093667965277852
demo_guard_10k,episode_0006,1523376000086,1524483746404,2018-04-10T16:00:00.086Z,2018-04-23T11:42:26.404Z,4,-65.10717189409678
demo_guard_10k,episode_0007,1540296000092,1540895294708,2018-10-23T12:00:00.092Z,2018-10-30T10:28:14.708Z,2,-35.31107387094906
demo_guard_10k,episode_0008,1541505600642,1541520646924,2018-11-06T12:00:00.642Z,2018-11-06T16:10:46.924Z,1,-9.367951373842654
demo_guard_10k,episode_0009,1543824000071,1551463447921,2018-12-03T08:00:00.071Z,2019-03-01T18:04:07.921Z,32,147.996194421875
demo_guard_10k,episode_0010,1553486405780,1553766382138,2019-03-25T04:00:05.780Z,2019-03-28T09:46:22.138Z,3,-37.48612950925918
demo_guard_10k,episode_0011,1559721600102,1560992615065,2019-06-05T08:00:00.102Z,2019-06-20T01:03:35.065Z,1,49.66421253414358
demo_guard_10k,episode_0012,1577764802485,1582904015676,2019-12-31T04:00:02.485Z,2020-02-28T15:33:35.676Z,19,199.5828092332173
demo_guard_10k,episode_0013,1589472000062,1590585322713,2020-05-14T16:00:00.062Z,2020-05-27T13:15:22.713Z,3,-142.6790151689817
demo_guard_10k,episode_0014,1592582400688,1596716103426,2020-06-19T16:00:00.688Z,2020-08-06T12:15:03.426Z,16,895.0519728900464
