name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals
r1_pullback_long_v1_m5_confirm,0,0,0,0.0,,,0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0.0,,0.0,,0.0,[],0
r1_pullback_long_v1_m15_confirm,1178,481,697,40.83,2.1631,1.4928,2641.87,2.0444,1.4108,2288.47,22.15,399.46,21.9,-153.0,0,0,2219.1,2045.65,18.47,3,33,21,12,0,63.64,2024-08,-296.95,2025-09,487.98,[],0
