timestamp_broker,date,hour,regime,bid,ask,spread_points,signal_open,signal_high,signal_low,signal_close,atr,body_fraction,close_location,source_row
2026-01-01 23:00:00,2026-01-01,23,chop,4325.38,4325.68,30,4317.59,4319.01,4316.99,4318.84,3.7,0.6188,0.9158,2
2026-01-01 23:05:00,2026-01-01,23,chop,4328.8,4329.1,30,4325.38,4348.25,4323.65,4328.89,5.14,0.1427,0.213,3
2026-01-01 23:10:00,2026-01-01,23,chop,4333.34,4333.64,30,4328.8,4333.68,4327.5,4333.45,5.16,0.7524,0.9628,4
2026-01-01 23:15:00,2026-01-01,23,chop,4330.65,4330.95,30,4333.34,4335.36,4328.94,4330.78,5.39,0.3988,0.2866,5
2026-01-01 23:20:00,2026-01-01,23,chop,4334.3,4334.6,30,4330.65,4334.34,4328.02,4334.28,5.64,0.5744,0.9905,6
2026-01-01 23:25:00,2026-01-01,23,chop,4339.84,4340.14,30,4334.3,4340.57,4332.8,4339.81,6.05,0.7091,0.9022,7
2026-01-01 23:30:00,2026-01-01,23,chop,4341.45,4341.75,30,4339.84,4342.59,4338.0,4340.93,6.06,0.2375,0.6383,8
2026-01-01 23:35:00,2026-01-01,23,chop,4340.64,4340.94,30,4341.45,4341.95,4339.69,4340.6,5.92,0.3761,0.4027,9
2026-01-01 23:40:00,2026-01-01,23,chop,4340.48,4340.78,30,4340.64,4343.86,4339.38,4340.49,6.08,0.0335,0.2478,10
2026-01-01 23:45:00,2026-01-01,23,chop,4345.37,4345.67,30,4340.48,4345.44,4338.93,4345.38,6.33,0.7527,0.9908,11
2026-01-01 23:50:00,2026-01-01,23,chop,4342.96,4343.26,30,4345.37,4345.9,4342.19,4342.95,6.28,0.6523,0.2049,12
2026-01-01 23:55:00,2026-01-01,23,chop,4347.41,4347.71,30,4342.96,4347.49,4341.62,4347.42,6.52,0.7598,0.9881,13
2026-01-02 00:00:00,2026-01-02,0,chop,4348.19,4348.49,30,4347.41,4351.33,4346.71,4348.19,6.67,0.1688,0.3203,14
2026-01-02 00:05:00,2026-01-02,0,chop,4346.45,4346.75,30,4348.19,4349.1,4345.09,4346.41,6.73,0.4439,0.3292,15
2026-01-02 00:10:00,2026-01-02,0,chop,4349.9,4350.2,30,4346.45,4350.4,4344.41,4349.94,7.01,0.5826,0.9232,16
2026-01-02 00:15:00,2026-01-02,0,chop,4347.95,4348.25,30,4349.9,4353.05,4347.32,4347.93,5.32,0.3438,0.1065,17
2026-01-02 00:20:00,2026-01-02,0,chop,4344.63,4344.93,30,4347.95,4349.27,4344.57,4344.65,5.21,0.7021,0.017,18
2026-01-02 00:25:00,2026-01-02,0,chop,4343.32,4343.62,30,4344.63,4347.32,4342.52,4343.41,5.1,0.2542,0.1854,19
2026-01-02 00:30:00,2026-01-02,0,chop,4347.18,4347.48,30,4343.32,4347.51,4341.23,4347.15,5.09,0.6099,0.9427,20
2026-01-02 00:35:00,2026-01-02,0,chop,4348.42,4348.72,30,4347.18,4349.21,4346.8,4348.38,4.71,0.4979,0.6556,21
2026-01-02 00:40:00,2026-01-02,0,chop,4348.6,4348.9,30,4348.42,4350.76,4347.52,4348.58,4.61,0.0494,0.3272,22
2026-01-02 00:45:00,2026-01-02,0,chop,4349.65,4349.95,30,4348.6,4350.59,4346.59,4349.62,4.74,0.255,0.7575,23
2026-01-02 00:50:00,2026-01-02,0,chop,4351.83,4352.13,30,4349.65,4353.37,4349.64,4351.88,4.69,0.5979,0.6005,24
2026-01-02 00:55:00,2026-01-02,0,chop,4352.35,4352.65,30,4351.83,4353.13,4350.67,4352.34,4.4,0.2073,0.6789,25
2026-01-02 01:00:00,2026-01-02,1,chop,4354.14,4354.44,30,4352.35,4356.03,4351.08,4354.16,4.49,0.3657,0.6222,26
2026-01-02 01:05:00,2026-01-02,1,chop,4347.9,4348.2,30,4354.14,4356.19,4347.1,4347.88,4.72,0.6887,0.0858,27
2026-01-02 01:10:00,2026-01-02,1,chop,4346.2,4346.5,30,4347.9,4350.16,4345.15,4346.21,4.74,0.3373,0.2116,28
2026-01-02 01:15:00,2026-01-02,1,chop,4346.48,4346.78,30,4346.2,4350.82,4345.86,4346.46,4.81,0.0524,0.121,29
2026-01-02 01:20:00,2026-01-02,1,chop,4349.11,4349.41,30,4346.48,4349.62,4344.92,4349.02,4.72,0.5404,0.8723,30
2026-01-02 01:25:00,2026-01-02,1,chop,4346.27,4346.57,30,4349.11,4349.76,4346.27,4346.33,4.56,0.7966,0.0172,31
2026-01-02 01:30:00,2026-01-02,1,chop,4349.11,4349.41,30,4346.27,4349.57,4344.63,4349.15,4.58,0.583,0.915,32
2026-01-02 01:35:00,2026-01-02,1,chop,4349.67,4349.97,30,4349.11,4351.38,4348.8,4349.72,4.42,0.2364,0.3566,33
2026-01-02 01:40:00,2026-01-02,1,chop,4348.92,4349.22,30,4349.67,4351.41,4348.12,4348.95,4.2,0.2188,0.2523,34
2026-01-02 01:45:00,2026-01-02,1,chop,4346.67,4346.97,30,4348.92,4349.81,4345.69,4346.68,4.33,0.5437,0.2403,35
2026-01-02 01:50:00,2026-01-02,1,chop,4352.08,4352.38,30,4346.67,4352.18,4345.98,4352.09,4.54,0.8742,0.9855,36
2026-01-02 01:55:00,2026-01-02,1,chop,4350.19,4350.49,30,4352.08,4354.48,4350.24,4350.24,4.56,0.434,0.0,37
2026-01-02 02:00:00,2026-01-02,2,chop,4347.91,4348.21,30,4350.19,4350.79,4347.58,4347.94,4.52,0.7009,0.1121,38
2026-01-02 02:05:00,2026-01-02,2,chop,4349.95,4350.25,30,4347.91,4351.96,4347.58,4349.94,4.65,0.4635,0.5388,39
2026-01-02 02:10:00,2026-01-02,2,chop,4347.78,4348.08,30,4349.95,4349.95,4346.7,4347.75,4.53,0.6769,0.3231,40
2026-01-02 02:15:00,2026-01-02,2,chop,4346.87,4347.17,30,4347.78,4347.78,4345.47,4346.88,4.05,0.3896,0.6104,41
2026-01-02 02:20:00,2026-01-02,2,chop,4347.48,4347.78,30,4346.87,4347.97,4345.09,4347.44,3.9,0.1979,0.816,42
2026-01-02 02:25:00,2026-01-02,2,chop,4346.46,4346.76,30,4347.48,4347.55,4344.89,4346.45,3.73,0.3872,0.5865,43
2026-01-02 02:30:00,2026-01-02,2,chop,4347.64,4347.94,30,4346.46,4348.32,4344.86,4347.72,3.64,0.3642,0.8266,44
2026-01-02 02:35:00,2026-01-02,2,chop,4346.8,4347.1,30,4347.64,4350.32,4345.65,4346.81,3.73,0.1777,0.2484,45
2026-01-02 02:40:00,2026-01-02,2,chop,4352.09,4352.39,30,4346.8,4353.24,4346.8,4352.13,3.83,0.8276,0.8276,46
2026-01-02 02:45:00,2026-01-02,2,chop,4351.39,4351.69,30,4352.09,4352.42,4350.65,4351.41,3.78,0.3842,0.4294,47
2026-01-02 02:50:00,2026-01-02,2,chop,4354.97,4355.27,30,4351.39,4355.65,4351.04,4355.02,3.87,0.7874,0.8633,48
2026-01-02 02:55:00,2026-01-02,2,chop,4359.26,4359.56,30,4354.97,4359.77,4354.92,4359.28,3.92,0.8887,0.899,49
2026-01-02 03:00:00,2026-01-02,3,chop,4362.76,4363.06,30,4359.26,4363.15,4358.07,4362.8,3.84,0.6969,0.9311,50
2026-01-02 03:05:00,2026-01-02,3,chop,4363.92,4364.22,30,4362.76,4364.43,4362.06,4363.92,3.71,0.4895,0.7848,51
2026-01-02 03:10:00,2026-01-02,3,chop,4365.17,4365.47,30,4363.92,4366.39,4363.84,4365.23,3.66,0.5137,0.5451,52
2026-01-02 03:15:00,2026-01-02,3,chop,4368.91,4369.21,30,4365.17,4371.79,4365.13,4368.86,3.83,0.5541,0.5601,53
2026-01-02 03:20:00,2026-01-02,3,chop,4366.57,4366.87,30,4368.91,4369.02,4365.43,4366.6,3.85,0.6435,0.3259,54
2026-01-02 03:25:00,2026-01-02,3,chop,4369.78,4370.08,30,4366.57,4370.65,4365.71,4369.82,4.04,0.6579,0.832,55
2026-01-02 03:30:00,2026-01-02,3,chop,4369.05,4369.35,30,4369.78,4369.82,4367.45,4369.04,4.0,0.3122,0.6709,56
2026-01-02 03:35:00,2026-01-02,3,chop,4371.06,4371.36,30,4369.05,4372.97,4367.83,4371.11,4.18,0.4008,0.6381,57
2026-01-02 03:40:00,2026-01-02,3,chop,4371.1,4371.4,30,4371.06,4372.12,4369.27,4371.05,4.13,0.0035,0.6246,58
2026-01-02 03:45:00,2026-01-02,3,chop,4373.71,4374.01,30,4371.1,4374.54,4370.59,4373.71,4.08,0.6608,0.7899,59
2026-01-02 03:50:00,2026-01-02,3,chop,4373.28,4373.58,30,4373.71,4375.57,4372.61,4373.37,3.83,0.1149,0.2568,60
2026-01-02 03:55:00,2026-01-02,3,chop,4373.91,4374.21,30,4373.28,4375.59,4372.64,4373.92,3.92,0.2169,0.4339,61
2026-01-02 04:00:00,2026-01-02,4,chop,4375.18,4375.48,30,4373.91,4375.59,4372.15,4375.15,3.84,0.3605,0.8721,62
2026-01-02 04:05:00,2026-01-02,4,chop,4377.4,4377.7,30,4375.18,4377.68,4373.93,4377.38,3.76,0.5867,0.92,63
2026-01-02 04:10:00,2026-01-02,4,chop,4375.86,4376.16,30,4377.4,4378.36,4375.61,4375.84,3.59,0.5673,0.0836,64
2026-01-02 04:15:00,2026-01-02,4,chop,4374.74,4375.04,30,4375.86,4377.34,4374.52,4374.76,3.62,0.3901,0.0851,65
2026-01-02 04:20:00,2026-01-02,4,chop,4375.02,4375.32,30,4374.74,4375.82,4373.94,4375.03,3.57,0.1543,0.5798,66
2026-01-02 04:25:00,2026-01-02,4,chop,4372.78,4373.08,30,4375.02,4375.38,4371.39,4372.8,3.38,0.5564,0.3534,67
2026-01-02 04:30:00,2026-01-02,4,chop,4373.55,4373.85,30,4372.78,4375.77,4372.52,4373.54,3.36,0.2338,0.3138,68
2026-01-02 04:35:00,2026-01-02,4,chop,4373.26,4373.56,30,4373.55,4374.59,4371.51,4373.3,3.23,0.0812,0.5812,69
