variant,trades,wins,losses,wr,wl,pf,net,stress_030_pf,stress_030_wl,stress_030_net,positive_week_pct,worst_week,q2_2026_net,recent3_net,net_2023_2024,positive_year_buckets,top10_removed_net,top3_days_removed_net,best_day_share_pct,pass,near_wr_watchlist,check_wr_ge_50,check_wl_ge_1p90,check_trades_ge_75,check_net_gt_0,check_stress_net_gt_0,check_stress_pf_ge_1p15,check_q2_2026_net_gt_0,check_recent3_net_gt_0,check_y2023_2024_net_ge_0,check_positive_year_buckets_ge_3,check_top10_removed_net_gt_0,check_top3_days_removed_net_gt_0
short_v4_impulse_retest_d1_nonup_h1h4,287,94,193,32.75,2.7744,1.3513,367.41,1.2548,2.5764,281.31,39.24,-32.71,282.1,282.1,-172.72,3,15.79,157.75,21.47,False,False,False,True,True,True,True,True,True,True,False,True,True,True
short_v4_impulse_retest_d1_structural_h1h4,180,72,108,40.0,2.6773,1.7848,452.16,1.6543,2.4815,398.16,51.11,-32.71,282.1,282.1,-6.9,3,131.67,228.49,18.04,False,False,False,True,True,True,True,True,True,True,False,True,True,True
short_v4_impulse_retest_d1_nonup_h1_only,307,100,207,32.57,2.6788,1.2941,333.44,1.2018,2.4878,241.34,40.0,-33.67,282.1,282.1,-167.72,3,-18.18,123.78,23.66,False,False,False,True,True,True,True,True,True,True,False,True,False,True
