name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals
box_plus_r1_pullback_long_v1_m5_confirm,145,86,59,59.31,2.1804,3.1782,7050.42,2.1631,3.153,7006.92,7.96,866.37,13.33,-866.37,0,0,4141.77,4686.12,37.91,5,25,15,10,0,60.0,2024-11,-312.73,2026-01,2673.15,[],0
box_plus_r1_pullback_long_v1_m15_confirm,1322,566,756,42.81,2.8329,2.121,9638.23,2.7344,2.0472,9241.63,23.11,958.1,24.76,-894.48,0,0,6729.58,7181.78,29.15,5,36,18,18,0,50.0,2024-11,-312.73,2026-01,2809.85,"[{'component': 'h4_d1_long_best_box2_atr80', 'source_id': 'h4_d1_long_best_box2_atr80', 'upstream_source_id': 'h4_d1_long_best_box2_atr80', 'upstream_component': 'h4_d1_review_repair_router_v1_r1', 'family_group': 'h4_d1_core_shape', 'source_priority': 80, 'cell_id': 'router_v1_r1', 'component_priority': 0, 'variant_name': 'router_v1_r1_long_box2_prevhealth', 'entry_time': datetime.datetime(2023, 1, 3, 20, 0), 'entry_date': datetime.date(2023, 1, 3), 'exit_time': datetime.datetime(2023, 1, 12, 12, 35, 27), 'exit_date': datetime.date(2023, 1, 12), 'direction': 'LONG', 'pnl_usd': 54.06, 'tickets': 1, 'lots': 0.01, 'source_csv': 'C:\\Users\\ZHAO ZHU INFORMATION\\Downloads\\algo-trading-system\\xau-usd\\xauusd-phase1\\outputs\\reports\\mt5_backtests\\a1_momentum_variants_owner_goal_regime_router_v1_exact_202207_202606_20260701\\A1XauM5Momentum_OWNER_GOAL_REGIME_ROUTER_V1_EXACT_202207_202606_XAUUSD_M5_router_v1_r1_long_box2_prevhealth_trades.csv', 'source_row': 17, 'drop_reason': 'same_direction_overlap_5m', 'duplicate_of_source_id': 'r1_h1_pullback_long_v1', 'duplicate_of_entry_time': '2023-01-03 20:00:00'}]",1
