profile,candidate_id,entry_time_utc,accepted,decision_reason,balance_before_usd,equity_before_usd,open_positions_before,trade_initial_risk_usd,trade_initial_risk_pct,total_initial_risk_pct_after,same_direction_initial_risk_pct_after,margin_utilization_pct_after,daily_realized_loss_pct
frozen_r1_baseline,609490d68f48300bb074acfb,2017-06-02T16:00:00.163Z,True,ACCEPT,10000.0,10000.0,0,16.91300000000001,0.1691300000000001,0.1691300000000001,0.1691300000000001,0.2553436,0.0
frozen_r1_baseline,516c79ccfa5189d9c7c16f0b,2017-06-06T04:00:00.379Z,True,ACCEPT,9999.7,10006.307999125002,1,6.801999999999907,0.0679771200386267,0.2370005001052703,0.2370005001052703,0.5119850398816412,0.0
frozen_r1_baseline,f06429e5829ff069e0fa53ec,2017-06-06T08:00:00.317Z,True,ACCEPT,9999.400000000001,10015.11633296065,2,11.549999999999955,0.11532566987752169,0.3521177271195501,0.3521177271195501,0.7690518755784744,0.0030000900027000806
frozen_r1_baseline,9de02e6fb3e7aef571f67935,2017-06-06T16:00:00.123Z,True,ACCEPT,9999.100000000002,10027.799335318288,3,16.07199999999989,0.16027444768857407,0.5119468218633864,0.5119468218633864,1.0261633341382956,0.006000180005400161
frozen_r1_baseline,2fafb4fad1a7e929e6ef2c69,2017-08-01T16:00:00.181Z,True,ACCEPT,9941.204109873845,9941.204109873845,0,5.9220000000000255,0.059570248579024265,0.059570248579024265,0.059570248579024265,0.25588429448636285,0.0
frozen_r1_baseline,a319b6f054fe1423517a7342,2017-08-09T08:00:00.266Z,True,ACCEPT,9934.77267556829,9934.77267556829,0,16.51299999999992,0.1662141705628442,0.1662141705628442,0.1662141705628442,0.2553095156608513,0.0
frozen_r1_baseline,86afdd1dac885c03643f10a9,2017-08-09T16:00:00.047Z,True,ACCEPT,9934.472675568291,9938.954009788777,1,21.330999999999904,0.21462017008018364,0.38076441406940453,0.38076441406940453,0.5113656824444861,0.003019696673460516
frozen_r1_baseline,547e107ed1a124506555e999,2017-08-10T12:00:00.045Z,True,ACCEPT,9934.172675568292,9953.988676471648,2,29.3599999999999,0.2949571368249439,0.6751464381193295,0.6751464381193295,0.7679960514793112,0.0
frozen_r1_baseline,40914eab1396bd483d7395a3,2017-08-10T16:00:00.259Z,True,ACCEPT,9933.872675568293,9964.299673870955,3,33.0329999999999,0.33151351405680035,1.0059613147007984,1.0059613147007984,1.0250576893811993,0.003019879055835299
frozen_r1_baseline,eda340dc18f1025befd74fa6,2017-08-17T04:00:00.344Z,True,ACCEPT,9933.572675568294,9965.71867249364,4,20.0,0.20068798505422353,1.20650606294823,1.20650606294823,1.2832812585105775,0.0
frozen_r1_baseline,ab849b6c45a793d3fc2f9ba3,2017-08-18T08:00:00.000Z,True,ACCEPT,9933.272675568294,9991.591012794568,5,25.218000000000075,0.25239223630858765,1.4557741586273867,1.4557741586273867,1.5388137865442593,0.0
frozen_r1_baseline,ee4f2c7c308c680cacf0158e,2017-08-18T12:00:00.017Z,True,ACCEPT,9932.972675568295,10004.255012381373,6,27.47700000000009,0.27465313475110603,1.7285844851613368,1.7285844851613368,1.7958454655309133,0.0030201526707091695
frozen_r1_baseline,18caffb8e38fe379d15caf6a,2017-08-28T08:00:00.237Z,True,ACCEPT,9932.672675568296,9986.342339476281,7,20.03099999999995,0.20058395075058527,1.932269027441727,1.932269027441727,2.058707713106317,0.0
frozen_r1_baseline,44949b4090426bcb41b185c9,2017-08-28T12:00:00.191Z,True,ACCEPT,9932.372675568296,10001.095674300355,8,22.00500000000011,0.2200258923284374,2.1494444908911277,2.1494444908911277,2.3153181165442556,0.0030203351081720367
frozen_r1_baseline,03140845e04216d42bf8c583,2017-08-28T16:00:00.114Z,True,ACCEPT,9959.928915770264,10068.33558336054,8,29.96199999999999,0.2975864257992827,2.268666932173912,2.268666932173912,2.3074294462725677,0.0
frozen_r1_baseline,5c9f95f70848901483c91d20,2018-01-03T00:00:00.101Z,True,ACCEPT,10266.720218817718,10266.720218817718,0,18.1099999999999,0.1763951837979022,0.1763951837979022,0.1763951837979022,0.25723093098022687,0.0
frozen_r1_baseline,b6068ef00e0f3be5f8f45553,2018-01-12T12:00:00.064Z,True,ACCEPT,10266.420218817719,10273.918218967603,1,23.113000000000056,0.22496772416709598,0.40123932390170747,0.40123932390170747,0.5162394606381211,0.0
frozen_r1_baseline,0fb9dd563d38497b71f0419b,2018-01-15T04:00:00.566Z,True,ACCEPT,10266.12021881772,10291.029548233808,2,19.840999999999894,0.19279897999520462,0.5933711463347214,0.5933711463347214,0.7760374180803544,0.0
frozen_r1_baseline,ccf5e7aae43d301607f88a62,2018-01-15T08:00:00.098Z,True,ACCEPT,10265.82021881772,10296.254553921308,3,21.829999999999927,0.2120188451604085,0.8050888754341234,0.8050888754341234,1.036557705921843,0.0029222334592390836
