name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,blocked_signals,exit_stats,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,decision
long_plus_short_v2_no_source_health_gate,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,57.62,-878.18,0,"{'source_csvs_indexed': 8, 'missing_source_csvs': [], 'match_failures': 0, 'fallback_entry_time_rows': 0}",48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,BASELINE
control_supportive_box2_supportive_broad,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,57.62,-878.18,187,"{'source_csvs_indexed': 8, 'missing_source_csvs': [], 'match_failures': 0, 'fallback_entry_time_rows': 0}",48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,H4_COMPOSITION_CORE_ONLY
prevhealth_box2_supportive_broad,3948,1935,1999,49.01,2.1554,2.0864,20911.77,2.0311,19103.37,87.54,1032.27,57.62,-878.18,175,"{'source_csvs_indexed': 8, 'missing_source_csvs': [], 'match_failures': 0, 'fallback_entry_time_rows': 0}",48,30,18,0,62.5,2025-07,-495.22,2025-10,4716.88,REJECT_CORE_OR_SHAPE
prevhealth_box2_broad_quarantined,3934,1931,1989,49.08,2.1793,2.1157,20858.29,2.0507,19054.09,87.44,958.86,58.1,-878.18,31,"{'source_csvs_indexed': 7, 'missing_source_csvs': [], 'match_failures': 0, 'fallback_entry_time_rows': 0}",48,31,17,0,64.58,2023-02,-405.08,2025-10,4716.88,H4_COMPOSITION_REVIEW_CANDIDATE
supportive_box2_broad_quarantined,3951,1935,2002,48.97,2.138,2.0665,20545.8,2.0143,18736.5,87.54,958.86,57.62,-878.18,31,"{'source_csvs_indexed': 7, 'missing_source_csvs': [], 'match_failures': 0, 'fallback_entry_time_rows': 0}",48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,H4_COMPOSITION_CORE_ONLY
prevhealth_box2_prevhealth_broad,3944,1935,1995,49.06,2.1636,2.0985,21022.69,2.0385,19215.49,87.54,1032.27,58.1,-878.18,166,"{'source_csvs_indexed': 8, 'missing_source_csvs': [], 'match_failures': 0, 'fallback_entry_time_rows': 0}",48,31,17,0,64.58,2025-07,-495.22,2025-10,4716.88,H4_COMPOSITION_WATCHLIST_DD_OR_MONTH_RISK
