candidate_id,family_id,symbol,split,direction,decision_time_utc,status,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_bid,entry_ask,entry_spread,planned_stop,planned_target,stop_distance,reward_r,exit_reason,duration_hours,gross_pnl_usd,execution_stress_usd,holding_stress_usd,stress_net_pnl_usd,gross_r,stress_net_r,mfe_r,mae_r,label_profitable_after_stress,signal_open,signal_high,signal_low,signal_close,ema_fast,ema_slow,ema_fast_slope_atr,atr,body_fraction,close_location,touch_distance_atr,stop_distance_atr,signal_tick_count
74d5178929b353d363e86779,session_breakout_lb4_r15,XAUUSD,train,LONG,2018-07-03T13:00:00.000Z,RESOLVED,2018-07-03T13:00:00.152Z,2018-07-03T14:31:06.816Z,1250.441,1253.881,1250.268,1250.441,0.17300000000000182,1248.1534330992665,1253.8723503511003,2.2875669007334642,1.5,TARGET,1.5185177777777779,3.4400000000000546,0.3,0.022145050925925926,3.117854949074129,1.5037811566940773,1.3629568377101666,1.5037811566940773,0.504028974903568,1,1247.768,1250.481,1247.278,1250.268,1244.6577727968966,1242.9595997242347,0.7423490312424594,2.2875669007334642,0.7805182641273868,0.9334998438963574,0.9481689909504497,1.0,8953
77fac9fb0c3e6c81a8972a7f,session_breakout_lb8_r15,XAUUSD,train,LONG,2018-07-03T13:00:00.000Z,RESOLVED,2018-07-03T13:00:00.152Z,2018-07-03T14:31:06.816Z,1250.441,1253.881,1250.268,1250.441,0.17300000000000182,1248.1534330992665,1253.8723503511003,2.2875669007334642,1.5,TARGET,1.5185177777777779,3.4400000000000546,0.3,0.022145050925925926,3.117854949074129,1.5037811566940773,1.3629568377101666,1.5037811566940773,0.504028974903568,1,1247.768,1250.481,1247.278,1250.268,1244.6577727968966,1242.9595997242347,0.7423490312424594,2.2875669007334642,0.7805182641273868,0.9334998438963574,0.9481689909504497,1.0,8953
981c3b5c5b3222230378fc34,session_breakout_lb4_r20,XAUUSD,train,LONG,2018-07-03T13:00:00.000Z,RESOLVED,2018-07-03T13:00:00.152Z,2018-07-03T14:53:59.804Z,1250.441,1255.022,1250.268,1250.441,0.17300000000000182,1248.1534330992665,1255.016133801467,2.2875669007334642,2.0,TARGET,1.8999033333333333,4.580999999999904,0.3,0.027706923611111108,4.253293076388792,2.0025643833765447,1.8593087157473103,2.0025643833765447,0.504028974903568,1,1247.768,1250.481,1247.278,1250.268,1244.6577727968966,1242.9595997242347,0.7423490312424594,2.2875669007334642,0.7805182641273868,0.9334998438963574,0.9481689909504497,1.0,8953
a473d5160b5ab3b5364c1494,session_breakout_lb8_r20,XAUUSD,train,LONG,2018-07-03T13:00:00.000Z,RESOLVED,2018-07-03T13:00:00.152Z,2018-07-03T14:53:59.804Z,1250.441,1255.022,1250.268,1250.441,0.17300000000000182,1248.1534330992665,1255.016133801467,2.2875669007334642,2.0,TARGET,1.8999033333333333,4.580999999999904,0.3,0.027706923611111108,4.253293076388792,2.0025643833765447,1.8593087157473103,2.0025643833765447,0.504028974903568,1,1247.768,1250.481,1247.278,1250.268,1244.6577727968966,1242.9595997242347,0.7423490312424594,2.2875669007334642,0.7805182641273868,0.9334998438963574,0.9481689909504497,1.0,8953
34d0413a85da896817c439d6,session_breakout_lb4_r15,XAUUSD,train,LONG,2018-07-04T07:00:00.000Z,RESOLVED,2018-07-04T07:00:00.030Z,2018-07-04T07:51:56.855Z,1260.841,1258.388,1260.628,1260.841,0.21299999999996544,1258.3933464177605,1264.512480373359,2.447653582239425,1.5,STOP,0.8657847222222222,-2.4529999999999745,0.3,0.012626027199074073,-2.7656260271990485,-1.0021843032851316,-1.129909088143389,0.0,1.0021843032851316,0,1257.849,1261.051,1257.069,1260.628,1254.3528777758743,1251.782240484458,1.050245553565749,2.447653582239425,0.6978905072827767,0.8937719738824699,0.4371533650693184,1.0,8947
14b973d161c20db6316b413b,session_breakout_lb8_r15,XAUUSD,train,LONG,2018-07-04T07:00:00.000Z,RESOLVED,2018-07-04T07:00:00.030Z,2018-07-04T07:51:56.855Z,1260.841,1258.388,1260.628,1260.841,0.21299999999996544,1258.3933464177605,1264.512480373359,2.447653582239425,1.5,STOP,0.8657847222222222,-2.4529999999999745,0.3,0.012626027199074073,-2.7656260271990485,-1.0021843032851316,-1.129909088143389,0.0,1.0021843032851316,0,1257.849,1261.051,1257.069,1260.628,1254.3528777758743,1251.782240484458,1.050245553565749,2.447653582239425,0.6978905072827767,0.8937719738824699,0.07721680934396345,1.0,8947
c7703a56de21bf1cfbc43ee6,session_breakout_lb4_r20,XAUUSD,train,LONG,2018-07-04T07:00:00.000Z,RESOLVED,2018-07-04T07:00:00.030Z,2018-07-04T07:51:56.855Z,1260.841,1258.388,1260.628,1260.841,0.21299999999996544,1258.3933464177605,1265.7363071644788,2.447653582239425,2.0,STOP,0.8657847222222222,-2.4529999999999745,0.3,0.012626027199074073,-2.7656260271990485,-1.0021843032851316,-1.129909088143389,0.0,1.0021843032851316,0,1257.849,1261.051,1257.069,1260.628,1254.3528777758743,1251.782240484458,1.050245553565749,2.447653582239425,0.6978905072827767,0.8937719738824699,0.4371533650693184,1.0,8947
1ecad41859ea6fd4859d5549,session_breakout_lb8_r20,XAUUSD,train,LONG,2018-07-04T07:00:00.000Z,RESOLVED,2018-07-04T07:00:00.030Z,2018-07-04T07:51:56.855Z,1260.841,1258.388,1260.628,1260.841,0.21299999999996544,1258.3933464177605,1265.7363071644788,2.447653582239425,2.0,STOP,0.8657847222222222,-2.4529999999999745,0.3,0.012626027199074073,-2.7656260271990485,-1.0021843032851316,-1.129909088143389,0.0,1.0021843032851316,0,1257.849,1261.051,1257.069,1260.628,1254.3528777758743,1251.782240484458,1.050245553565749,2.447653582239425,0.6978905072827767,0.8937719738824699,0.07721680934396345,1.0,8947
971218c1a98697ae21d77a3c,session_sweep_lb4_r15,XAUUSD,train,LONG,2018-07-12T07:00:00.000Z,RESOLVED,2018-07-12T07:00:00.104Z,2018-07-12T15:00:00.153Z,1244.748,1246.918,1244.582,1244.748,0.16599999999993997,1242.204717740383,1248.5629233894254,2.543282259616922,1.5,TIMEOUT,8.000013611111111,2.1699999999998454,0.3,0.11666686516203703,1.7533331348378083,0.8532281431974045,0.6893977765180895,1.1131285130838442,0.9157457813395644,1,1243.149,1244.629,1242.228,1244.578,1245.301619891818,1246.2417696617922,-0.48641286160304664,1.9328225961701269,0.5951686797168607,0.9787588504789945,0.2799015290238883,1.315838434761895,6842
d633c14d87c5429db0f6b01e,session_sweep_lb4_r20,XAUUSD,train,LONG,2018-07-12T07:00:00.000Z,RESOLVED,2018-07-12T07:00:00.104Z,2018-07-12T15:00:00.153Z,1244.748,1246.918,1244.582,1244.748,0.16599999999993997,1242.204717740383,1249.834564519234,2.543282259616922,2.0,TIMEOUT,8.000013611111111,2.1699999999998454,0.3,0.11666686516203703,1.7533331348378083,0.8532281431974045,0.6893977765180895,1.1131285130838442,0.9157457813395644,1,1243.149,1244.629,1242.228,1244.578,1245.301619891818,1246.2417696617922,-0.48641286160304664,1.9328225961701269,0.5951686797168607,0.9787588504789945,0.2799015290238883,1.315838434761895,6842
