name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_wr,recent3_wl,recent3_pf,recent3_net,net_2023_2024
r4_chop_orrev_london_firm_both,578,192,386,33.22,2.1668,1.0778,125.16,1.9542,0.972,-48.24,29.82,119.44,27.14,-28.97,46,43.08,-111.15,16.26,65.7,3,38,17,21,0,44.74,2025-05,-36.19,2026-03,82.23,[],0,46,36.96,1.9977,1.1711,43.08,-11.0
r4_chop_orrev_london_firm_long,286,99,187,34.62,2.0512,1.0859,70.89,1.8569,0.9831,-14.91,18.12,105.11,25.71,-31.65,22,12.59,-140.47,3.13,58.51,2,38,23,15,0,60.53,2025-05,-34.78,2025-11,41.48,[],0,22,36.36,1.9378,1.1073,12.59,44.68
r4_chop_orrev_london_firm_short,336,108,228,32.14,2.2741,1.0772,71.31,2.0483,0.9703,-29.49,20.61,119.31,24.29,-43.41,27,26.39,-162.17,-27.73,126.98,3,37,17,20,0,45.95,2025-11,-36.55,2026-03,90.55,[],0,27,37.04,1.9941,1.173,26.39,-50.17
