account,magic,candidate,direction,entry_time_dubai,exit_time_dubai,session,lots,entry,exit,sl,tp,stop_distance_points,spread_points,cost_r,profit_aed,profit_aed_001,exit_reason,unique_signal,account_unique_signal,cofire,source_csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-13 00:05:01,2026-06-15 02:00:24,Night 20:00-05:59,0.01000,4211.34000,4220.79000,4205.04000,4220.79000,630.12000,50.00000,0.0793,27.26,27.26,TP,2026-06-13 00:05|BUY|round_family,1025742|2026-06-13 00:05|BUY|round_family,true,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920401,round_number_retest_v0,BUY,2026-06-13 00:05:01,2026-06-15 02:00:24,Night 20:00-05:59,0.01000,4211.34000,4220.79000,4205.04000,4220.79000,630.12000,50.00000,0.0793,27.26,27.26,TP,2026-06-13 00:05|BUY|round_family,1025742|2026-06-13 00:05|BUY|round_family,true,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920401,round_number_retest_v0,SELL,2026-06-15 03:05:01,2026-06-15 03:46:55,Night 20:00-05:59,0.01000,4285.36000,4292.43000,4292.37000,4274.92000,697.99000,50.00000,0.0716,-25.98,-25.98,SL,2026-06-15 03:05|SELL|round_family,1025742|2026-06-15 03:05|SELL|round_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-15 02:40:00,2026-06-15 04:10:06,Night 20:00-05:59,0.01000,4285.45000,4297.51000,4277.13000,4297.51000,815.41000,50.00000,0.0613,44.28,44.28,TP,2026-06-15 02:40|BUY|round_family,1025742|2026-06-15 02:40|BUY|round_family,true,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920201,swing_breakout_retest_v0,BUY,2026-06-15 04:00:01,2026-06-15 04:13:02,Night 20:00-05:59,0.01000,4294.97000,4299.96000,4291.86000,4299.96000,323.98000,50.00000,0.1543,18.32,18.32,TP,2026-06-15 04:00|BUY|breakout_family,1025742|2026-06-15 04:00|BUY|breakout_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920301,symbol_normalized_round_retest_v0,SELL,2026-06-15 04:45:01,2026-06-15 05:00:31,Night 20:00-05:59,0.01000,4298.39000,4285.86000,4306.51000,4285.86000,826.08000,50.00000,0.0605,46.00,46.00,TP,2026-06-15 04:45|SELL|round_family,1025742|2026-06-15 04:45|SELL|round_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920301,symbol_normalized_round_retest_v0,SELL,2026-06-15 05:10:00,2026-06-15 05:22:37,Night 20:00-05:59,0.01000,4289.30000,4305.03000,4304.83000,4265.82000,1560.35000,50.00000,0.0320,-57.79,-57.79,SL,2026-06-15 05:10|SELL|round_family,1025742|2026-06-15 05:10|SELL|round_family,true,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920201,swing_breakout_retest_v0,BUY,2026-06-15 05:25:00,2026-06-15 05:34:24,Night 20:00-05:59,0.01000,4303.21000,4314.45000,4295.50000,4314.45000,757.75000,75.00000,0.0990,41.27,41.27,TP,2026-06-15 05:25|BUY|breakout_family,1025742|2026-06-15 05:25|BUY|breakout_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-15 05:25:00,2026-06-15 05:34:24,Night 20:00-05:59,0.01000,4303.21000,4314.45000,4295.50000,4314.45000,757.75000,75.00000,0.0990,41.27,41.27,TP,2026-06-15 05:25|BUY|round_family,1025742|2026-06-15 05:25|BUY|round_family,true,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-15 05:30:00,2026-06-15 06:13:12,Night 20:00-05:59,0.01000,4304.48000,4325.39000,4289.79000,4325.39000,1423.91000,75.00000,0.0527,76.77,76.77,TP,2026-06-15 05:30|BUY|round_family,1025742|2026-06-15 05:30|BUY|round_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-15 05:35:00,2026-06-15 06:13:13,Night 20:00-05:59,0.01000,4312.58000,4325.84000,4304.69000,4325.84000,846.16000,50.00000,0.0591,48.69,48.69,TP,2026-06-15 05:35|BUY|round_family,1025742|2026-06-15 05:35|BUY|round_family,true,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920101,breakout_retest,BUY,2026-06-15 05:45:01,2026-06-15 06:30:04,Night 20:00-05:59,0.01000,4317.74000,4331.18000,4308.73000,4331.18000,897.97000,50.00000,0.0557,49.34,49.34,TP,2026-06-15 05:45|BUY|breakout_family,1025742|2026-06-15 05:45|BUY|breakout_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920301,symbol_normalized_round_retest_v0,SELL,2026-06-15 06:30:00,2026-06-15 06:38:40,Morning 06:00-11:59,0.01000,4328.72000,4334.46000,4334.32000,4317.85000,658.76000,50.00000,0.0759,-21.09,-21.09,SL,2026-06-15 06:30|SELL|round_family,1025742|2026-06-15 06:30|SELL|round_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-15 06:50:01,2026-06-15 06:53:16,Morning 06:00-11:59,0.01000,4334.84000,4329.49000,4329.49000,4342.81000,532.95000,50.00000,0.0938,-19.66,-19.66,SL,2026-06-15 06:50|BUY|round_family,1025742|2026-06-15 06:50|BUY|round_family,true,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-15 07:20:00,2026-06-15 07:26:00,Morning 06:00-11:59,0.01000,4327.14000,4323.13000,4323.28000,4332.80000,380.98000,50.00000,0.1312,-14.73,-14.73,SL,2026-06-15 07:20|BUY|round_family,1025742|2026-06-15 07:20|BUY|round_family,true,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260615.csv
