pair_id,direction,entry_delta_seconds,control_owner,replacement_owner,baseline_source_id,baseline_entry_time,baseline_exit_time,baseline_pnl_usd,baseline_source_row,r3_source_id,r3_entry_time,r3_exit_time,r3_pnl_usd,r3_source_row,r3_minus_baseline_pnl_usd,match_basis
1,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-11-24 04:00:00,2022-12-05 14:01:28,-30.33,2,r1_long_expansion_r3_reclass_strict_r1,2022-11-24 04:00:00,2022-12-05 16:01:39,-36.86,2,-6.53,validated_control_drop_metadata_same_direction_within_5m
2,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-11-24 12:00:00,2022-12-13 13:00:42,57.0,3,r1_long_expansion_r3_reclass_strict_r1,2022-11-24 12:00:00,2022-12-13 13:00:42,57.0,3,0.0,validated_control_drop_metadata_same_direction_within_5m
3,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-11-30 20:00:00,2022-12-13 13:14:31,60.22,4,r1_long_expansion_r3_reclass_strict_r1,2022-11-30 20:00:00,2022-12-13 13:14:31,60.22,4,0.0,validated_control_drop_metadata_same_direction_within_5m
4,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-12-01 12:00:00,2022-12-15 07:30:20,-31.23,5,r1_long_expansion_r3_reclass_strict_r1,2022-12-01 12:00:00,2022-12-15 07:30:20,-31.23,5,0.0,validated_control_drop_metadata_same_direction_within_5m
5,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-12-01 16:00:00,2022-12-27 14:35:31,60.53,6,r1_long_expansion_r3_reclass_strict_r1,2022-12-01 16:00:00,2022-12-27 14:35:31,60.53,6,0.0,validated_control_drop_metadata_same_direction_within_5m
6,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-12-05 04:00:00,2023-01-03 02:22:36,38.91,7,r1_long_expansion_r3_reclass_strict_r1,2022-12-05 04:00:00,2023-01-04 06:32:31,58.63,7,19.72,validated_control_drop_metadata_same_direction_within_5m
7,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-12-09 04:00:00,2023-01-03 02:22:38,45.36,8,r1_long_expansion_r3_reclass_strict_r1,2022-12-09 04:00:00,2023-01-04 07:16:14,58.0,8,12.64,validated_control_drop_metadata_same_direction_within_5m
8,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-12-09 12:00:00,2023-01-03 06:22:27,35.48,9,r1_long_expansion_r3_reclass_strict_r1,2022-12-09 12:00:00,2023-01-06 17:40:38,66.65,9,31.17,validated_control_drop_metadata_same_direction_within_5m
9,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-12-13 16:00:00,2023-01-04 06:26:27,55.67,10,r1_long_expansion_r3_reclass_strict_r1,2022-12-13 16:00:00,2023-01-09 00:52:38,90.34,10,34.67,validated_control_drop_metadata_same_direction_within_5m
10,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-12-20 08:00:00,2023-01-09 00:45:28,89.1,12,r1_long_expansion_r3_reclass_strict_r1,2022-12-20 08:00:00,2023-01-12 12:34:55,72.34,11,-16.76,validated_control_drop_metadata_same_direction_within_5m
