pair_id,direction,entry_delta_seconds,control_owner,replacement_owner,baseline_source_id,baseline_entry_time,baseline_exit_time,baseline_pnl_usd,baseline_source_row,r3_source_id,r3_entry_time,r3_exit_time,r3_pnl_usd,r3_source_row,r3_minus_baseline_pnl_usd,match_basis
11,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-12-20 16:00:00,2023-01-09 06:18:30,59.32,13,r1_long_expansion_r3_reclass_strict_r1,2022-12-20 16:00:00,2023-01-13 07:33:18,67.48,12,8.16,validated_control_drop_metadata_same_direction_within_5m
12,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2022-12-27 16:00:00,2023-01-12 11:21:17,68.54,15,r1_long_expansion_r3_reclass_strict_r1,2022-12-27 16:00:00,2023-01-13 07:33:19,87.64,13,19.1,validated_control_drop_metadata_same_direction_within_5m
13,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-03 04:00:00,2023-01-12 11:21:27,49.49,16,r1_long_expansion_r3_reclass_strict_r1,2023-01-03 04:00:00,2023-01-13 14:00:04,72.06,14,22.57,validated_control_drop_metadata_same_direction_within_5m
14,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-03 20:00:00,2023-01-12 12:35:27,54.06,17,r1_long_expansion_r3_reclass_strict_r1,2023-01-03 20:00:00,2023-01-13 17:15:37,35.05,15,-19.01,validated_control_drop_metadata_same_direction_within_5m
15,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-04 08:00:00,2023-01-16 01:50:15,124.38,18,r1_long_expansion_r3_reclass_strict_r1,2023-01-04 08:00:00,2023-01-16 01:58:30,125.62,16,1.24,validated_control_drop_metadata_same_direction_within_5m
16,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-04 16:00:00,2023-01-16 01:58:31,40.6,19,r1_long_expansion_r3_reclass_strict_r1,2023-01-04 16:00:00,2023-01-16 01:58:31,40.6,17,0.0,validated_control_drop_metadata_same_direction_within_5m
17,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-09 04:00:00,2023-01-16 01:58:41,70.15,20,r1_long_expansion_r3_reclass_strict_r1,2023-01-09 04:00:00,2023-01-31 07:08:01,-26.48,19,-96.63,validated_control_drop_metadata_same_direction_within_5m
18,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-11 08:00:00,2023-01-19 19:11:14,72.97,21,r1_long_expansion_r3_reclass_strict_r1,2023-01-11 08:00:00,2023-01-31 07:08:01,-26.79,20,-99.76,validated_control_drop_metadata_same_direction_within_5m
19,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-12 12:00:00,2023-01-31 07:08:01,-26.48,22,r1_long_expansion_r3_reclass_strict_r1,2023-01-12 12:00:00,2023-01-31 07:08:01,-35.37,21,-8.89,validated_control_drop_metadata_same_direction_within_5m
20,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-12 20:00:00,2023-01-31 07:08:01,-26.79,23,r1_long_expansion_r3_reclass_strict_r1,2023-01-12 20:00:00,2023-02-01 19:33:38,83.58,22,110.37,validated_control_drop_metadata_same_direction_within_5m
21,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-13 08:00:00,2023-01-31 07:08:01,-35.37,24,r1_long_expansion_r3_reclass_strict_r1,2023-01-13 08:00:00,2023-02-01 19:58:14,93.22,23,128.59,validated_control_drop_metadata_same_direction_within_5m
22,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-13 16:00:00,2023-02-03 12:30:39,-52.76,25,r1_long_expansion_r3_reclass_strict_r1,2023-01-13 16:00:00,2023-02-03 12:30:39,-52.76,24,0.0,validated_control_drop_metadata_same_direction_within_5m
23,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-19 20:00:00,2023-02-03 12:34:29,-36.85,26,r1_long_expansion_r3_reclass_strict_r1,2023-01-19 20:00:00,2023-02-03 15:18:39,-31.22,26,5.63,validated_control_drop_metadata_same_direction_within_5m
24,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-24 08:00:00,2023-02-03 15:18:39,-31.22,27,r1_long_expansion_r3_reclass_strict_r1,2023-01-24 08:00:00,2023-02-03 15:18:39,-39.33,27,-8.11,validated_control_drop_metadata_same_direction_within_5m
25,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-24 20:00:00,2023-02-03 15:18:39,-39.33,28,r1_long_expansion_r3_reclass_strict_r1,2023-01-24 20:00:00,2023-02-03 15:18:39,-45.11,28,-5.78,validated_control_drop_metadata_same_direction_within_5m
26,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-01-25 20:00:00,2023-02-03 15:18:39,-45.11,29,r1_long_expansion_r3_reclass_strict_r1,2023-01-25 20:00:00,2023-02-03 15:18:40,-53.57,29,-8.46,validated_control_drop_metadata_same_direction_within_5m
27,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-02-01 20:00:00,2023-02-15 07:05:02,-44.53,30,r1_long_expansion_r3_reclass_strict_r1,2023-02-01 20:00:00,2023-02-17 03:51:19,-51.83,30,-7.3,validated_control_drop_metadata_same_direction_within_5m
28,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-07-26 08:00:00,2023-07-27 13:36:21,-18.94,33,r1_long_expansion_r3_reclass_strict_r1,2023-07-26 08:00:00,2023-07-27 13:36:21,-18.94,31,0.0,validated_control_drop_metadata_same_direction_within_5m
29,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-11-21 16:00:00,2023-12-01 15:13:38,42.97,35,r1_long_expansion_r3_reclass_strict_r1,2023-11-21 16:00:00,2023-12-01 15:47:39,46.18,32,3.21,validated_control_drop_metadata_same_direction_within_5m
30,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-11-27 04:00:00,2023-12-01 16:12:39,46.21,36,r1_long_expansion_r3_reclass_strict_r1,2023-11-27 04:00:00,2023-12-01 16:45:44,49.44,33,3.23,validated_control_drop_metadata_same_direction_within_5m
31,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-11-27 20:00:00,2023-12-01 17:33:57,71.29,37,r1_long_expansion_r3_reclass_strict_r1,2023-11-27 20:00:00,2023-12-01 17:33:57,71.29,34,0.0,validated_control_drop_metadata_same_direction_within_5m
32,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-11-28 16:00:00,2023-12-03 22:23:37,56.89,38,r1_long_expansion_r3_reclass_strict_r1,2023-11-28 16:00:00,2023-12-03 22:27:39,96.55,35,39.66,validated_control_drop_metadata_same_direction_within_5m
33,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-12-01 16:00:00,2023-12-03 22:25:36,78.95,39,r1_long_expansion_r3_reclass_strict_r1,2023-12-01 16:00:00,2023-12-05 14:41:39,-59.35,36,-138.3,validated_control_drop_metadata_same_direction_within_5m
34,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2023-12-27 16:00:00,2024-01-03 09:22:16,-28.68,41,r1_long_expansion_r3_reclass_strict_r1,2023-12-27 16:00:00,2024-01-03 10:58:04,-34.77,38,-6.09,validated_control_drop_metadata_same_direction_within_5m
35,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-03-01 12:00:00,2024-03-04 14:58:32,56.14,43,r1_long_expansion_r3_reclass_strict_r1,2024-03-01 12:00:00,2024-03-04 14:58:32,56.14,40,0.0,validated_control_drop_metadata_same_direction_within_5m
36,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-03-01 16:00:00,2024-03-08 16:19:39,113.35,44,r1_long_expansion_r3_reclass_strict_r1,2024-03-01 16:00:00,2024-03-08 16:19:39,113.35,41,0.0,validated_control_drop_metadata_same_direction_within_5m
37,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-07-05 08:00:00,2024-07-16 09:36:43,76.83,53,r1_long_expansion_r3_reclass_strict_r1,2024-07-05 08:00:00,2024-07-16 15:07:40,92.28,42,15.45,validated_control_drop_metadata_same_direction_within_5m
38,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-07-05 16:00:00,2024-07-17 00:40:35,53.84,54,r1_long_expansion_r3_reclass_strict_r1,2024-07-05 16:00:00,2024-07-25 01:42:40,-61.84,43,-115.68,validated_control_drop_metadata_same_direction_within_5m
39,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-07-11 16:00:00,2024-07-19 12:51:15,-67.21,55,r1_long_expansion_r3_reclass_strict_r1,2024-07-11 16:00:00,2024-08-20 12:26:41,139.34,45,206.55,validated_control_drop_metadata_same_direction_within_5m
40,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-07-15 16:00:00,2024-07-22 12:33:38,-41.85,57,r1_long_expansion_r3_reclass_strict_r1,2024-07-15 16:00:00,2024-09-12 14:46:38,135.8,46,177.65,validated_control_drop_metadata_same_direction_within_5m
41,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-08-26 08:00:00,2024-09-03 11:49:35,-34.99,60,r1_long_expansion_r3_reclass_strict_r1,2024-08-26 08:00:00,2024-09-20 15:59:41,101.31,47,136.3,validated_control_drop_metadata_same_direction_within_5m
42,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-08-26 12:00:00,2024-09-12 14:46:38,135.8,61,r1_long_expansion_r3_reclass_strict_r1,2024-08-26 12:00:00,2024-09-24 04:59:40,111.35,48,-24.45,validated_control_drop_metadata_same_direction_within_5m
43,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-12 16:00:00,2024-09-18 19:21:14,-29.56,64,r1_long_expansion_r3_reclass_strict_r1,2024-09-12 16:00:00,2024-10-08 15:07:26,-68.91,49,-39.35,validated_control_drop_metadata_same_direction_within_5m
44,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-13 04:00:00,2024-09-24 19:19:30,106.34,65,r1_long_expansion_r3_reclass_strict_r1,2024-09-13 04:00:00,2024-10-17 13:54:05,135.53,50,29.19,validated_control_drop_metadata_same_direction_within_5m
45,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-13 16:00:00,2024-10-08 14:35:34,-60.11,66,r1_long_expansion_r3_reclass_strict_r1,2024-09-13 16:00:00,2024-10-18 01:35:29,135.67,51,195.78,validated_control_drop_metadata_same_direction_within_5m
46,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-16 04:00:00,2024-10-08 15:07:26,-28.65,67,r1_long_expansion_r3_reclass_strict_r1,2024-09-16 04:00:00,2024-10-21 01:13:28,120.74,52,149.39,validated_control_drop_metadata_same_direction_within_5m
47,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-20 08:00:00,2024-10-08 15:07:26,-48.82,68,r1_long_expansion_r3_reclass_strict_r1,2024-09-20 08:00:00,2024-10-21 11:31:41,150.67,53,199.49,validated_control_drop_metadata_same_direction_within_5m
48,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-20 12:00:00,2024-10-18 01:34:37,133.99,69,r1_long_expansion_r3_reclass_strict_r1,2024-09-20 12:00:00,2024-10-22 17:01:56,164.14,54,30.15,validated_control_drop_metadata_same_direction_within_5m
49,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-20 16:00:00,2024-10-18 12:32:35,87.47,70,r1_long_expansion_r3_reclass_strict_r1,2024-09-20 16:00:00,2024-10-22 17:03:42,133.74,55,46.27,validated_control_drop_metadata_same_direction_within_5m
50,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-23 04:00:00,2024-10-18 14:24:13,88.94,71,r1_long_expansion_r3_reclass_strict_r1,2024-09-23 04:00:00,2024-10-22 17:45:35,73.04,56,-15.9,validated_control_drop_metadata_same_direction_within_5m
51,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-23 16:00:00,2024-10-21 01:13:28,120.74,72,r1_long_expansion_r3_reclass_strict_r1,2024-09-23 16:00:00,2024-10-23 05:34:11,75.64,57,-45.1,validated_control_drop_metadata_same_direction_within_5m
52,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-24 16:00:00,2024-10-22 16:53:34,162.52,73,r1_long_expansion_r3_reclass_strict_r1,2024-09-24 16:00:00,2024-10-23 08:38:04,115.4,58,-47.12,validated_control_drop_metadata_same_direction_within_5m
53,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-24 20:00:00,2024-10-22 17:03:42,133.74,74,r1_long_expansion_r3_reclass_strict_r1,2024-09-24 20:00:00,2024-10-23 15:12:38,-40.71,59,-174.45,validated_control_drop_metadata_same_direction_within_5m
54,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-09-26 12:00:00,2024-10-22 17:45:35,73.04,75,r1_long_expansion_r3_reclass_strict_r1,2024-09-26 12:00:00,2024-10-29 22:51:30,152.0,60,78.96,validated_control_drop_metadata_same_direction_within_5m
55,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-16 08:00:00,2024-10-23 05:34:11,75.64,76,r1_long_expansion_r3_reclass_strict_r1,2024-10-16 08:00:00,2024-10-30 04:44:36,154.99,61,79.35,validated_control_drop_metadata_same_direction_within_5m
56,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-16 20:00:00,2024-10-23 15:12:31,-34.12,77,r1_long_expansion_r3_reclass_strict_r1,2024-10-16 20:00:00,2024-10-30 05:15:38,156.48,62,190.6,validated_control_drop_metadata_same_direction_within_5m
57,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-17 16:00:00,2024-10-23 15:12:38,-40.71,78,r1_long_expansion_r3_reclass_strict_r1,2024-10-17 16:00:00,2024-11-06 05:29:30,-37.87,63,2.84,validated_control_drop_metadata_same_direction_within_5m
58,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-18 04:00:00,2024-10-29 22:51:30,152.0,79,r1_long_expansion_r3_reclass_strict_r1,2024-10-18 04:00:00,2024-11-06 05:29:31,-52.35,64,-204.35,validated_control_drop_metadata_same_direction_within_5m
59,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-18 12:00:00,2024-11-05 01:46:40,-30.1,80,r1_long_expansion_r3_reclass_strict_r1,2024-10-18 12:00:00,2024-11-06 12:00:13,-55.68,65,-25.58,validated_control_drop_metadata_same_direction_within_5m
60,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-21 04:00:00,2024-11-05 01:46:41,-44.65,81,r1_long_expansion_r3_reclass_strict_r1,2024-10-21 04:00:00,2024-11-06 12:30:30,-61.27,67,-16.62,validated_control_drop_metadata_same_direction_within_5m
61,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-21 12:00:00,2024-11-06 12:00:14,-38.79,82,r1_long_expansion_r3_reclass_strict_r1,2024-10-21 12:00:00,2024-11-11 12:41:27,-55.13,68,-16.34,validated_control_drop_metadata_same_direction_within_5m
62,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-22 20:00:00,2024-11-06 12:00:14,-41.67,83,r1_long_expansion_r3_reclass_strict_r1,2024-10-22 20:00:00,2024-11-11 12:41:27,-71.68,69,-30.01,validated_control_drop_metadata_same_direction_within_5m
63,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-23 08:00:00,2024-11-06 13:04:23,-51.29,84,r1_long_expansion_r3_reclass_strict_r1,2024-10-23 08:00:00,2024-11-11 12:41:27,-71.49,70,-20.2,validated_control_drop_metadata_same_direction_within_5m
64,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-29 04:00:00,2024-11-06 13:04:23,-51.1,85,r1_long_expansion_r3_reclass_strict_r1,2024-10-29 04:00:00,2024-11-11 12:41:27,-81.46,71,-30.36,validated_control_drop_metadata_same_direction_within_5m
65,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2024-10-29 16:00:00,2024-11-11 12:41:27,-55.13,86,r1_long_expansion_r3_reclass_strict_r1,2024-10-29 16:00:00,2024-11-13 15:55:40,-77.96,72,-22.83,validated_control_drop_metadata_same_direction_within_5m
66,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-15 20:00:00,2025-01-24 01:56:12,78.79,87,r1_long_expansion_r3_reclass_strict_r1,2025-01-15 20:00:00,2025-01-24 01:56:12,78.79,73,0.0,validated_control_drop_metadata_same_direction_within_5m
67,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-16 16:00:00,2025-01-27 15:51:17,-36.54,88,r1_long_expansion_r3_reclass_strict_r1,2025-01-16 16:00:00,2025-01-31 11:16:39,76.29,74,112.83,validated_control_drop_metadata_same_direction_within_5m
68,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-21 04:00:00,2025-01-27 15:51:18,-43.15,89,r1_long_expansion_r3_reclass_strict_r1,2025-01-21 04:00:00,2025-02-04 23:34:34,126.99,75,170.14,validated_control_drop_metadata_same_direction_within_5m
69,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-21 16:00:00,2025-01-31 11:16:39,76.29,90,r1_long_expansion_r3_reclass_strict_r1,2025-01-21 16:00:00,2025-02-05 01:10:34,107.79,76,31.5,validated_control_drop_metadata_same_direction_within_5m
70,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-22 04:00:00,2025-02-04 13:49:42,120.9,91,r1_long_expansion_r3_reclass_strict_r1,2025-01-22 04:00:00,2025-02-05 07:42:53,91.48,77,-29.42,validated_control_drop_metadata_same_direction_within_5m
71,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-22 12:00:00,2025-02-05 01:10:34,107.79,92,r1_long_expansion_r3_reclass_strict_r1,2025-01-22 12:00:00,2025-02-05 14:45:40,125.8,78,18.01,validated_control_drop_metadata_same_direction_within_5m
72,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-24 04:00:00,2025-02-05 04:48:28,82.82,93,r1_long_expansion_r3_reclass_strict_r1,2025-01-24 04:00:00,2025-02-05 14:49:13,99.21,79,16.39,validated_control_drop_metadata_same_direction_within_5m
73,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-24 12:00:00,2025-02-05 08:42:27,90.57,94,r1_long_expansion_r3_reclass_strict_r1,2025-01-24 12:00:00,2025-02-10 06:56:27,137.8,80,47.23,validated_control_drop_metadata_same_direction_within_5m
74,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-30 08:00:00,2025-02-05 14:45:40,125.8,95,r1_long_expansion_r3_reclass_strict_r1,2025-01-30 08:00:00,2025-02-10 14:19:35,138.57,81,12.77,validated_control_drop_metadata_same_direction_within_5m
75,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-30 12:00:00,2025-02-10 06:56:27,137.8,96,r1_long_expansion_r3_reclass_strict_r1,2025-01-30 12:00:00,2025-02-10 14:40:38,120.24,82,-17.56,validated_control_drop_metadata_same_direction_within_5m
76,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-30 16:00:00,2025-02-10 08:37:34,111.6,97,r1_long_expansion_r3_reclass_strict_r1,2025-01-30 16:00:00,2025-02-11 00:11:11,130.41,83,18.81,validated_control_drop_metadata_same_direction_within_5m
