name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_net,active_weekday_pct,max_closed_dd,blocked_signals,blocked_by_group,positive_week_pct,worst_week,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,decision
h4_prev1_net_lt_75,3939,1933,1992,49.07,2.1917,2.1268,21230.42,2.0636,19424.72,87.44,958.86,14,{'h4_core': 14},57.62,-878.18,48,30,18,0,62.5,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_prev1_net_lt_150,3947,1935,1998,49.02,2.1835,2.1147,21164.2,2.0564,19356.1,87.44,958.86,6,{'h4_core': 6},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_prev1_net_lt_200,3947,1935,1998,49.02,2.1835,2.1147,21164.2,2.0564,19356.1,87.44,958.86,6,{'h4_core': 6},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_prev1_losses_ge_10,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,0,{},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_prev1_net_lt_150,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,0,{},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_prev1_net_lt_200,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,0,{},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_prev1_net_lt_100,3941,1931,1996,49.0,2.1782,2.1073,20949.14,2.0509,19142.84,87.44,958.86,12,{'h4_core': 12},57.14,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_prev2_net_lt_100,3868,1896,1958,49.02,2.1987,2.129,20923.99,2.0713,19159.09,86.86,958.86,85,{'frequency': 85},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_prev1_net_lt_100,3902,1910,1978,48.95,2.1712,2.0966,20766.22,2.0457,18979.12,86.1,958.86,51,{'frequency': 51},56.67,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_prev2_net_lt_50,3641,1769,1858,48.59,2.2297,2.1229,19505.18,2.1012,17853.98,83.13,958.86,312,{'frequency': 312},56.19,-878.18,48,29,19,0,60.42,2023-02,-405.08,2026-01,4255.44,REJECT_NO_MONTHLY_REPAIR
freq_prev2_net_lt_25,3454,1677,1765,48.55,2.2526,2.1402,19129.83,2.125,17572.23,79.77,958.86,499,{'frequency': 499},55.24,-878.18,48,29,19,0,60.42,2023-02,-405.08,2026-01,4255.44,REJECT_NO_MONTHLY_REPAIR
h4_prev1_losses_ge_8,3943,1927,2002,48.87,2.0199,1.9443,18191.25,1.9002,16384.35,87.54,958.86,10,{'h4_core': 10},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_prev1_losses_ge_5,3942,1926,2002,48.86,2.0149,1.9384,18078.69,1.8953,16272.09,87.54,958.86,11,{'h4_core': 11},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_prev1_losses_ge_4,3925,1915,1996,48.79,1.9924,1.9115,17329.75,1.8721,15528.25,87.44,958.86,28,{'h4_core': 28},57.14,-878.18,48,29,19,0,60.42,2023-02,-315.44,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_prev1_net_lt_75,3750,1835,1902,48.93,2.1809,2.104,20251.19,2.0558,18536.69,83.03,958.86,203,{'frequency': 203},53.81,-878.18,48,28,20,0,58.33,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
