variant,period,start,end,trades,wins,losses,wr,wl,pf,net
lower_high_lh1_base,B1,2022-07-01,2022-12-31,59,22,37,37.29,2.7239,1.6196,123.38
lower_high_lh1_base,B2,2023-01-01,2023-06-30,48,15,33,31.25,1.9779,0.8991,-18.45
lower_high_lh1_base,B3,2023-07-01,2023-12-31,38,17,21,44.74,2.3094,1.8695,82.91
lower_high_lh1_base,B4,2024-01-01,2024-06-30,9,1,8,11.11,3.0064,0.3758,-24.55
lower_high_lh1_base,B5,2024-07-01,2024-12-31,21,4,17,19.05,2.4294,0.5716,-54.66
lower_high_lh1_base,B6,2025-01-01,2025-06-30,4,0,4,0.0,0.0,0.0,-26.51
lower_high_lh1_base,B7,2025-07-01,2025-12-31,6,1,5,16.67,1.9494,0.3899,-22.69
lower_high_lh1_base,B8,2026-01-01,2026-06-30,117,41,76,35.04,1.9491,1.0515,60.53
lower_high_lh2_deeper_drop,B1,2022-07-01,2022-12-31,64,26,38,40.62,1.9934,1.3639,86.63
lower_high_lh2_deeper_drop,B2,2023-01-01,2023-06-30,37,11,26,29.73,2.2663,0.9588,-6.3
lower_high_lh2_deeper_drop,B3,2023-07-01,2023-12-31,27,13,14,48.15,1.6803,1.5602,52.68
lower_high_lh2_deeper_drop,B4,2024-01-01,2024-06-30,7,1,6,14.29,2.4196,0.4033,-21.87
lower_high_lh2_deeper_drop,B5,2024-07-01,2024-12-31,21,4,17,19.05,2.4136,0.5679,-57.37
lower_high_lh2_deeper_drop,B6,2025-01-01,2025-06-30,3,0,3,0.0,0.0,0.0,-22.48
lower_high_lh2_deeper_drop,B7,2025-07-01,2025-12-31,5,1,4,20.0,1.8825,0.4706,-16.31
lower_high_lh2_deeper_drop,B8,2026-01-01,2026-06-30,115,38,77,33.04,2.0522,1.0128,14.85
lower_high_lh3_tighter_reject,B1,2022-07-01,2022-12-31,81,30,51,37.04,2.0907,1.2298,62.02
lower_high_lh3_tighter_reject,B2,2023-01-01,2023-06-30,48,15,33,31.25,2.4299,1.1045,14.99
lower_high_lh3_tighter_reject,B3,2023-07-01,2023-12-31,35,17,18,48.57,2.2506,2.1255,87.86
lower_high_lh3_tighter_reject,B4,2024-01-01,2024-06-30,8,1,7,12.5,3.4894,0.4985,-14.87
lower_high_lh3_tighter_reject,B5,2024-07-01,2024-12-31,23,5,18,21.74,2.6797,0.7443,-29.51
lower_high_lh3_tighter_reject,B6,2025-01-01,2025-06-30,4,0,4,0.0,0.0,0.0,-20.42
lower_high_lh3_tighter_reject,B7,2025-07-01,2025-12-31,5,1,4,20.0,1.9952,0.4988,-14.57
lower_high_lh3_tighter_reject,B8,2026-01-01,2026-06-30,112,38,74,33.93,1.9241,0.988,-13.52
