name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_wr,recent3_wl,recent3_pf,recent3_net,june2026_signals,june2026_wr,june2026_wl,june2026_pf,june2026_net,y2023_2024_signals,y2023_2024_wr,y2023_2024_wl,y2023_2024_pf,y2023_2024_net,april2026_signals,april2026_wr,april2026_pf,april2026_net,may2026_signals,may2026_wr,may2026_pf,may2026_net,combined_checks
current_r1_best_r2_pullback_plus_r2_impulse_body45_atr45,680,346,334,50.88,2.6141,2.7081,9619.0,2.551,2.6426,9415.0,21.38,889.69,31.43,-866.37,61,743.87,6710.35,7254.7,28.02,5,45,26,19,0,57.78,2024-11,-312.73,2026-01,2695.08,[],0,61,60.66,2.2411,3.455,743.87,48,60.42,2.0884,3.1875,542.76,328,47.87,2.3364,2.1452,2700.16,8,75.0,5.4771,145.37,5,40.0,3.4873,55.74,"{'net_gt_baseline_r1_pullback': True, 'wr_ge_48': True, 'pf_ge_2': True, 'stress_net_gt_0': True, 'may_nonnegative': True, 'recent3_net_ge_650': True, 'dd_not_worse': True}"
current_r1_best_r2_pullback_plus_r2_impulse_body45_atr50,676,345,331,51.04,2.6053,2.7155,9616.5,2.5426,2.6501,9413.7,21.38,889.69,31.43,-866.37,57,741.37,6707.85,7252.2,28.03,5,45,26,19,0,57.78,2024-11,-312.73,2026-01,2695.08,[],0,57,63.16,2.1444,3.676,741.37,44,63.64,1.9611,3.4319,540.26,328,47.87,2.3364,2.1452,2700.16,8,75.0,5.4771,145.37,5,40.0,3.4873,55.74,"{'net_gt_baseline_r1_pullback': True, 'wr_ge_48': True, 'pf_ge_2': True, 'stress_net_gt_0': True, 'may_nonnegative': True, 'recent3_net_ge_650': True, 'dd_not_worse': True}"
current_r1_best_r2_pullback_plus_r2_impulse_body45_atr45_daily_loss10,678,346,332,51.03,2.6082,2.7182,9640.05,2.5453,2.6526,9436.65,21.28,889.69,31.43,-866.37,59,764.92,6731.4,7275.75,27.96,5,45,26,19,0,57.78,2024-11,-312.73,2026-01,2695.08,[],0,59,62.71,2.2077,3.713,764.92,46,63.04,2.0417,3.483,563.81,328,47.87,2.3364,2.1452,2700.16,8,75.0,5.4771,145.37,5,40.0,3.4873,55.74,"{'net_gt_baseline_r1_pullback': True, 'wr_ge_48': True, 'pf_ge_2': True, 'stress_net_gt_0': True, 'may_nonnegative': True, 'recent3_net_ge_650': True, 'dd_not_worse': True}"
