name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_net,active_weekday_pct,max_closed_dd,blocked_signals,blocked_by_group,positive_week_pct,worst_week,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,decision
long_plus_short_v2_no_monthly_firewall,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,0,{},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,BASELINE
baseline_supportive_guard_no_hedge,3645,1837,1794,50.4,2.0895,2.1395,20701.41,1.972,18983.61,85.71,958.86,0,{},57.14,-878.18,48,29,19,0,60.42,2023-02,-392.46,2025-10,4687.52,BASELINE
h4_pnl_stop_50,3927,1920,1993,48.89,2.1368,2.0585,19761.52,2.0092,17959.42,87.44,841.34,26,{'h4_core': 26},58.1,-475.52,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_loss_count_stop_1,3875,1880,1981,48.52,1.9715,1.871,15627.25,1.8448,13840.75,87.25,841.34,78,{'h4_core': 78},57.62,-398.94,48,29,19,0,60.42,2023-02,-405.08,2026-01,3946.59,REJECT_NO_MONTHLY_REPAIR
h4_loss_count_stop_3,3949,1937,1998,49.05,2.1775,2.1111,21225.52,2.0515,19416.82,87.54,958.86,4,{'h4_core': 4},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_loss3_or_pnl150,3949,1937,1998,49.05,2.1775,2.1111,21225.52,2.0515,19416.82,87.54,958.86,4,{'h4_core': 4},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_pnl_stop_100,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,0,{},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_pnl_stop_150,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,0,{},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_pnl_stop_200,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,0,{},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_pnl_stop_200,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,0,{},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_pnl150_freq_pnl200,3953,1937,2002,49.0,2.1637,2.0934,21064.67,2.039,19254.77,87.54,958.86,0,{},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_pnl_stop_150,3935,1930,1991,49.05,2.1637,2.0974,21045.48,2.0391,19241.88,87.34,958.86,18,{'frequency': 18},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_pnl100_freq_pnl150,3935,1930,1991,49.05,2.1637,2.0974,21045.48,2.0391,19241.88,87.34,958.86,18,{'frequency': 18},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_pnl_stop_75,3939,1927,1998,48.92,2.1324,2.0566,20218.27,2.008,18412.57,87.44,958.86,14,{'h4_core': 14},57.62,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_loss_count_stop_2,3920,1912,1994,48.78,2.0939,2.0078,19123.21,1.9699,17323.21,87.44,958.86,33,{'h4_core': 33},58.1,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_loss2_or_pnl100,3920,1912,1994,48.78,2.0939,2.0078,19123.21,1.9699,17323.21,87.44,958.86,33,{'h4_core': 33},58.1,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_loss2_or_pnl150,3920,1912,1994,48.78,2.0939,2.0078,19123.21,1.9699,17323.21,87.44,958.86,33,{'h4_core': 33},58.1,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
h4_loss2_or_pnl100_freq_pnl150,3902,1905,1983,48.82,2.0938,2.0114,19104.02,1.9698,17310.32,87.25,958.86,51,"{'h4_core': 33, 'frequency': 18}",58.1,-878.18,48,29,19,0,60.42,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_pnl_stop_100,3776,1842,1921,48.78,2.214,2.1229,20277.61,2.0842,18553.21,84.37,879.05,177,{'frequency': 177},55.24,-872.11,48,27,21,0,56.25,2023-02,-405.08,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
freq_pnl_stop_75,3591,1753,1825,48.82,2.2458,2.1572,20181.63,2.1177,18538.53,80.82,879.05,362,{'frequency': 362},52.86,-872.11,48,27,21,0,56.25,2023-02,-394.44,2025-10,4716.88,REJECT_NO_MONTHLY_REPAIR
