name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_wr,recent3_wl,recent3_pf,recent3_net,june2026_signals,june2026_wr,june2026_wl,june2026_pf,june2026_net,y2023_2024_signals,y2023_2024_wr,y2023_2024_wl,y2023_2024_pf,y2023_2024_net,standalone_checks
r2_impulse_break20_cap25,88,32,56,36.36,2.6779,1.5302,175.74,2.5005,1.4288,149.34,4.7,83.92,5.71,-19.55,18,195.77,-123.12,-50.81,103.69,2,14,7,7,0,50.0,2022-09,-37.09,2026-06,182.22,[],0,18,61.11,1.6659,2.6178,195.77,13,69.23,1.5903,3.5781,182.22,29,37.93,2.2574,1.3795,27.93,"{'wr_ge_50': False, 'wl_ge_1p90': True, 'pf_ge_1p50': True, 'net_gt_0': True, 'stress_net_gt_0': True, 'stress_pf_ge_1p15': True, 'recent3_nonnegative_if_exposed': True, 'top10_removed_net_gt_0': False, 'top3_days_removed_net_gt_0': False}"
r2_impulse_break15_30_cap20,150,55,95,36.67,2.4707,1.4304,229.52,2.2946,1.3285,184.52,6.81,100.61,5.71,-24.42,33,278.75,-80.4,-37.48,111.97,2,16,6,10,0,37.5,2022-09,-39.37,2026-06,256.99,[],0,33,54.55,1.9759,2.3711,278.75,25,60.0,1.8513,2.7769,256.99,56,35.71,1.9332,1.074,10.54,"{'wr_ge_50': False, 'wl_ge_1p90': True, 'pf_ge_1p50': False, 'net_gt_0': True, 'stress_net_gt_0': True, 'stress_pf_ge_1p15': True, 'recent3_nonnegative_if_exposed': True, 'top10_removed_net_gt_0': False, 'top3_days_removed_net_gt_0': False}"
r2_impulse_q55_break20_cap25,48,19,29,39.58,2.4382,1.5974,109.66,2.2826,1.4955,95.26,3.36,45.87,5.71,-19.08,10,121.1,-120.49,-20.4,109.4,2,14,9,5,0,64.29,2026-05,-30.21,2026-06,119.97,[],0,10,60.0,1.878,2.817,121.1,7,71.43,1.7169,4.2923,119.97,19,31.58,1.8406,0.8495,-9.69,"{'wr_ge_50': False, 'wl_ge_1p90': True, 'pf_ge_1p50': True, 'net_gt_0': True, 'stress_net_gt_0': True, 'stress_pf_ge_1p15': True, 'recent3_nonnegative_if_exposed': True, 'top10_removed_net_gt_0': False, 'top3_days_removed_net_gt_0': False}"
