period,month,dominant_regime,dominant_share_pct,bars,shock_pct,uptrend_pct,downtrend_pct,compression_pct,chop_pct,unknown_pct
last_6_months_2026_01_01_to_2026_06_30,2026-01,uptrend,51.51,5766,28.72,51.51,0.0,0.0,19.77,0.0
last_6_months_2026_01_01_to_2026_06_30,2026-02,shock,51.15,5490,51.15,26.89,0.0,0.0,21.97,0.0
last_6_months_2026_01_01_to_2026_06_30,2026-03,chop,77.76,6096,0.98,10.63,10.63,0.0,77.76,0.0
last_6_months_2026_01_01_to_2026_06_30,2026-04,chop,83.0,5789,0.83,0.0,16.17,0.0,83.0,0.0
last_6_months_2026_01_01_to_2026_06_30,2026-05,chop,58.79,5766,0.42,0.0,40.79,0.0,58.79,0.0
last_6_months_2026_01_01_to_2026_06_30,2026-06,downtrend,58.87,5748,5.64,0.0,58.87,0.0,35.49,0.0
last_3_months_2026_04_01_to_2026_06_30,2026-04,chop,83.0,5789,0.83,0.0,16.17,0.0,83.0,0.0
last_3_months_2026_04_01_to_2026_06_30,2026-05,chop,58.79,5766,0.42,0.0,40.79,0.0,58.79,0.0
last_3_months_2026_04_01_to_2026_06_30,2026-06,downtrend,58.87,5748,5.64,0.0,58.87,0.0,35.49,0.0
