variant,period,start,end,trades,wins,losses,wr,wl,pf,net
lower_high_lh1_base,2022,2022-07-01,2022-12-31,59,22,37,37.29,2.7239,1.6196,123.38
lower_high_lh1_base,2023,2023-01-01,2023-12-31,86,32,54,37.21,2.0786,1.2318,64.46
lower_high_lh1_base,2024,2024-01-01,2024-12-31,30,5,25,16.67,2.6274,0.5255,-79.21
lower_high_lh1_base,2025,2025-01-01,2025-12-31,10,1,9,10.0,2.0487,0.2276,-49.2
lower_high_lh1_base,2026,2026-01-01,2026-06-30,117,41,76,35.04,1.9491,1.0515,60.53
lower_high_lh2_deeper_drop,2022,2022-07-01,2022-12-31,64,26,38,40.62,1.9934,1.3639,86.63
lower_high_lh2_deeper_drop,2023,2023-01-01,2023-12-31,64,24,40,37.5,1.9797,1.1878,46.38
lower_high_lh2_deeper_drop,2024,2024-01-01,2024-12-31,28,5,23,17.86,2.4485,0.5323,-79.24
lower_high_lh2_deeper_drop,2025,2025-01-01,2025-12-31,8,1,7,12.5,1.9047,0.2721,-38.79
lower_high_lh2_deeper_drop,2026,2026-01-01,2026-06-30,115,38,77,33.04,2.0522,1.0128,14.85
lower_high_lh3_tighter_reject,2022,2022-07-01,2022-12-31,81,30,51,37.04,2.0907,1.2298,62.02
lower_high_lh3_tighter_reject,2023,2023-01-01,2023-12-31,83,32,51,38.55,2.3338,1.4644,102.85
lower_high_lh3_tighter_reject,2024,2024-01-01,2024-12-31,31,6,25,19.35,2.8921,0.6941,-44.38
lower_high_lh3_tighter_reject,2025,2025-01-01,2025-12-31,9,1,8,11.11,2.3439,0.293,-34.99
lower_high_lh3_tighter_reject,2026,2026-01-01,2026-06-30,112,38,74,33.93,1.9241,0.988,-13.52
