component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-08-01 12:00:00,2022-08-01,,LONG,-39.31,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5652,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-08-01 12:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-08-02 12:00:00,2022-08-02,,LONG,-26.66,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5653,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-08-02 12:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-08-09 16:00:00,2022-08-09,,LONG,-28.68,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5655,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-08-09 16:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-08-25 04:00:00,2022-08-25,,LONG,-34.73,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5656,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-08-25 04:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-09-12 12:00:00,2022-09-12,,LONG,-30.32,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5658,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-09-12 12:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-09-12 16:00:00,2022-09-12,,LONG,-47.71,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5659,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-09-12 16:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-11-24 04:00:00,2022-11-24,,LONG,57.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5661,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-11-24 04:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-12-09 04:00:00,2022-12-09,,LONG,66.99,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5667,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-12-09 04:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-12-20 08:00:00,2022-12-20,,LONG,72.34,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5670,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-12-20 08:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2022-12-27 16:00:00,2022-12-27,,LONG,87.64,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5672,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2022-12-27 16:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-01-03 04:00:00,2023-01-03,,LONG,72.06,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5673,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2023-01-03 04:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-01-03 20:00:00,2023-01-03,,LONG,35.05,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5674,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2023-01-03 20:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-01-11 08:00:00,2023-01-11,,LONG,-26.48,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5678,same_direction_overlap_5m,h4_d1_long_box2_atr80_stopceil3000,2023-01-11 08:00:00
