schema_version,model_id,dataset_version,account_scope,account_label,symbol,source_signal_id,setup_group_id,decision_time_utc,direction,regime,session_bucket,p_win_rehearsal,model_group,preview_action,authorization_status,reason,broker_action_authorized
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|LONG|2026-05-29 09:20:00Z|2026-05-29 09:25:00Z|2026-05-29 09:30:00Z|4526.04,A3_ML_C01_G00001,2026-05-29 09:39:56Z,LONG,UNKNOWN,Morning 06:00-11:59,0.2722222222,account_direction:1025742|LONG,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|LONG|2026-05-29 09:55:00Z|2026-05-29 10:00:00Z|2026-05-29 10:05:00Z|4526.04,A3_ML_C01_G00002,2026-05-29 10:14:56Z,LONG,UNKNOWN,Morning 06:00-11:59,0.2722222222,account_direction:1025742|LONG,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|LONG|2026-05-29 10:05:00Z|2026-05-29 10:10:00Z|2026-05-29 10:15:00Z|4526.04,A3_ML_C01_G00003,2026-05-29 10:24:56Z,LONG,UNKNOWN,Morning 06:00-11:59,0.2722222222,account_direction:1025742|LONG,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|LONG|2026-05-29 10:10:00Z|2026-05-29 10:15:00Z|2026-05-29 10:20:00Z|4526.04,A3_ML_C01_G00004,2026-05-29 10:29:56Z,LONG,UNKNOWN,Morning 06:00-11:59,0.2722222222,account_direction:1025742|LONG,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|LONG|2026-05-29 12:25:00Z|2026-05-29 12:30:00Z|2026-05-29 12:35:00Z|4516.51,A3_ML_C01_G00005,2026-05-29 12:40:00Z,LONG,UNKNOWN,Afternoon 12:00-15:59,0.2722222222,account_direction:1025742|LONG,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|LONG|2026-05-29 12:45:00Z|2026-05-29 12:50:00Z|2026-05-29 12:55:00Z|4516.51,A3_ML_C01_G00006,2026-05-29 13:00:00Z,LONG,UNKNOWN,Afternoon 12:00-15:59,0.2722222222,account_direction:1025742|LONG,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|LONG|2026-05-29 12:50:00Z|2026-05-29 12:55:00Z|2026-05-29 13:00:00Z|4516.51,A3_ML_C01_G00007,2026-05-29 13:05:00Z,LONG,UNKNOWN,Afternoon 12:00-15:59,0.2722222222,account_direction:1025742|LONG,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|SHORT|2026-05-29 13:00:00Z|2026-05-29 13:05:00Z|2026-05-29 13:10:00Z|4525.75,A3_ML_C01_G00008,2026-05-29 13:15:00Z,SHORT,UNKNOWN,Afternoon 12:00-15:59,0.2485380117,account_direction:1025742|SHORT,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|LONG|2026-05-29 14:35:00Z|2026-05-29 14:40:00Z|2026-05-29 14:45:00Z|4538.78,A3_ML_C01_G00009,2026-05-29 14:54:59Z,LONG,UNKNOWN,Afternoon 12:00-15:59,0.2722222222,account_direction:1025742|LONG,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
a3_ml_exploratory_shadow_preview_v1,a3_m0_exploratory_rehearsal_xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066_21622d3f,xauusd_c02_multiacct_202606242335_g0a9823b0_c9221d066,1025742,A1,XAUUSD,1025742|XAUUSD|breakout_retest|SHORT|2026-05-29 18:25:00Z|2026-05-29 18:30:00Z|2026-05-29 18:35:00Z|4560.71,A3_ML_C01_G00010,2026-05-29 18:44:58Z,SHORT,UNKNOWN,Evening 16:00-19:59,0.2485380117,account_direction:1025742|SHORT,ABSTAIN,RESEARCH_ONLY_NOT_AUTHORIZED,EXPLORATORY_REHEARSAL_NOT_AUTHORIZED_FOR_DEMO,false
