name,mode,short_variant,baseline_rows,kept_rows,dropped_rows,short_rows_raw,short_rows_kept,short_net_kept,short_v2_rows_kept,short_v2_net_kept,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_2026_net,recent3_net,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,q2_delta,recent3_delta,net_delta,dd_delta,positive_month_delta,decision
long_book_without_short_v2,diagnostic_remove_v2,,3934,3625,0,0,0,0,0,0,3625,1830,1781,50.48,2.1058,2.1637,20477.29,1.9844,2.0208,18765.79,85.62,958.86,57.14,-878.18,279.22,279.22,48,30,18,0,62.5,2023-02,-392.46,2025-10,4687.52,-215.35,-215.35,-381.0,0.0,-1,REJECT_BLEND_GATE
add_short_v4_impulse_retest_d1_nonup_h1h4,add,short_v4_impulse_retest_d1_nonup_h1h4,3934,4030,191,287,97,-54.05,309,381.0,4030,1958,2058,48.59,2.1952,2.0885,20811.24,2.0651,1.9495,18978.54,87.63,965.0,58.1,-896.04,488.89,488.89,48,31,17,0,64.58,2023-02,-412.62,2025-10,4712.49,-5.68,-5.68,-47.05,6.14,0,REJECT_BLEND_GATE
replace_v2_with_short_v4_impulse_retest_d1_nonup_h1h4,replace_v2,short_v4_impulse_retest_d1_nonup_h1h4,3934,3897,15,287,273,352.37,0,0,3897,1921,1962,49.29,2.1657,2.1205,20836.66,2.0386,1.9798,19043.86,87.25,965.0,58.1,-896.04,514.04,514.04,48,30,18,0,62.5,2023-02,-390.11,2025-10,4712.49,19.47,19.47,-21.63,6.14,-1,REJECT_BLEND_GATE
add_short_v4_impulse_retest_d1_structural_h1h4,add,short_v4_impulse_retest_d1_structural_h1h4,3934,3971,143,180,38,35.24,309,381.0,3971,1945,2012,48.98,2.1822,2.1095,20900.53,2.0533,1.9692,19085.53,87.44,958.86,57.62,-878.18,488.89,488.89,48,31,17,0,64.58,2023-02,-405.08,2025-10,4716.88,-5.68,-5.68,42.24,0.0,0,REJECT_BLEND_GATE
replace_v2_with_short_v4_impulse_retest_d1_structural_h1h4,replace_v2,short_v4_impulse_retest_d1_structural_h1h4,3934,3794,11,180,170,398.13,0,0,3794,1898,1882,50.03,2.1328,2.1509,20882.42,2.0084,2.0084,19120.52,86.58,958.86,58.57,-878.18,514.04,514.04,48,31,17,0,64.58,2023-02,-386.08,2025-10,4687.52,19.47,19.47,24.13,0.0,0,CHART_CONTEXT_BLEND_REVIEW_CANDIDATE
add_short_v4_impulse_retest_d1_nonup_h1_only,add,short_v4_impulse_retest_d1_nonup_h1_only,3934,4050,191,307,117,-88.02,309,381.0,4050,1964,2072,48.49,2.1962,2.0818,20777.27,2.0659,1.9432,18938.57,88.11,980.81,57.14,-911.85,488.89,488.89,48,31,17,0,64.58,2023-02,-412.62,2025-10,4712.49,-5.68,-5.68,-81.02,21.95,0,REJECT_BLEND_GATE
replace_v2_with_short_v4_impulse_retest_d1_nonup_h1_only,replace_v2,short_v4_impulse_retest_d1_nonup_h1_only,3934,3917,15,307,293,318.4,0,0,3917,1927,1976,49.2,2.1671,2.1134,20802.69,2.0397,1.9731,19003.89,87.73,980.81,58.1,-911.85,514.04,514.04,48,30,18,0,62.5,2023-02,-390.11,2025-10,4712.49,19.47,19.47,-55.6,21.95,-1,REJECT_BLEND_GATE
