candidate,family,symbol,time_bucket,direction,normalized_direction,m5_bar_time,broker_status,broker_outcome,broker_profit_aed,v1_replay_status,v1_replay_outcome,v1_replay_net_r,v1_outcome_match,v1_pnl_sign_match,v2_replay_model,v2_replay_status,v2_replay_outcome,v2_replay_entry_price,v2_replay_synthetic_stop_loss,v2_replay_synthetic_take_profit,v2_replay_signal_risk_points,v2_replay_spread_points,v2_replay_net_r,v2_outcome_match,v2_pnl_sign_match,v1_vs_v2_outcome_same
breakout_retest,breakout,EURUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 23:25:00,BROKER_CLOSED_WIN,WIN,27.86,REPLAY_SL,LOSS,-1.091170,false,false,executor_v2,REPLAY_SL,LOSS,1.153525,1.154525,1.152025,100.000000,7.000000,-1.070000,false,false,true
round_number_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,2026.06.08 11:15:00,BROKER_CLOSED_LOSS,LOSS,-28.22,REPLAY_TP,WIN,1.388675,false,false,executor_v2,REPLAY_SL,LOSS,4327.245000,4299.320000,4369.132500,2792.500000,75.000000,-1.026858,true,true,false
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.09 04:45:00,BROKER_CLOSED_LOSS,LOSS,-20.68,REPLAY_SL,LOSS,-1.128698,true,true,executor_v2,REPLAY_SL,LOSS,4328.645000,4331.645000,4324.145000,300.000000,75.000000,-1.250000,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.09 23:20:00,BROKER_CLOSED_WIN,WIN,43.55,REPLAY_TP,WIN,1.403745,true,true,executor_v2,REPLAY_TP,WIN,4226.855000,4243.340000,4202.127500,1648.500000,75.000000,1.454504,true,true,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.10 04:30:00,BROKER_CLOSED_WIN,WIN,33.04,REPLAY_SL,LOSS,-1.104938,false,false,executor_v2,REPLAY_SL,LOSS,4173.865000,4183.350000,4159.637500,948.500000,75.000000,-1.079072,false,false,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.10 05:05:00,BROKER_CLOSED_LOSS,LOSS,-54.49,REPLAY_SL,LOSS,-1.283511,true,true,executor_v2,REPLAY_SL,LOSS,4176.095000,4179.095000,4171.595000,300.000000,75.000000,-1.250000,true,true,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,LONG,BUY,2026.06.10 05:15:00,BROKER_CLOSED_LOSS,LOSS,-48.17,REPLAY_TP,WIN,1.369056,false,false,executor_v2,REPLAY_TP,WIN,4176.825000,4173.060000,4182.472500,376.500000,75.000000,1.300797,false,false,true
round_number_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,2026.06.10 09:00:00,BROKER_CLOSED_LOSS,LOSS,-12.68,REPLAY_SL,LOSS,-1.119592,true,true,executor_v2,REPLAY_SL,LOSS,4166.605000,4177.220000,4150.682500,1061.500000,75.000000,-1.070655,true,true,true
round_number_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,2026.06.10 09:05:00,BROKER_CLOSED_LOSS,LOSS,-11.28,REPLAY_SL,LOSS,-1.123944,true,true,executor_v2,REPLAY_SL,LOSS,4169.905000,4173.580000,4164.392500,367.500000,75.000000,-1.204082,true,true,true
round_number_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,2026.06.10 10:20:00,BROKER_CLOSED_LOSS,LOSS,-28.40,REPLAY_TP,WIN,1.397270,false,false,executor_v2,REPLAY_SL,LOSS,4166.965000,4154.910000,4185.047500,1205.500000,75.000000,-1.062215,true,true,false
