profile,hour_utc,last_bid,stress_balance_usd,stress_equity_usd,drawdown_usd,open_positions,margin_usd,original_stop_risk_usd
frozen_r1_baseline,2017-06-02T16:00:00Z,1276.008,9999.7,9998.975418149306,1.2276028003470856,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-02T16:00:00Z,1276.008,9999.7,9998.975418149306,1.2276028003470856,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-02T17:00:00Z,1277.322,9999.7,10000.274834739004,0.576693667246218,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-02T17:00:00Z,1277.322,9999.7,10000.274834739004,0.576693667246218,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-02T18:00:00Z,1277.288,9999.7,10000.226250672455,0.6252777337958833,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-02T18:00:00Z,1277.288,9999.7,10000.226250672455,0.6252777337958833,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-02T19:00:00Z,1278.071,9999.7,10000.994667371528,0.6542663061354688,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-02T19:00:00Z,1278.071,9999.7,10000.994667371528,0.6542663061354688,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-02T20:00:00Z,1278.298,9999.7,10001.207127379052,1.1775843483810604,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-02T20:00:00Z,1278.298,9999.7,10001.207127379052,1.1775843483810604,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-04T22:00:00Z,1280.411,9999.7,10002.591056970487,0.2501134068297688,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-04T22:00:00Z,1280.411,9999.7,10002.591056970487,0.2501134068297688,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-04T23:00:00Z,1279.868,9999.7,10002.033337939236,1.3730412274326227,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-04T23:00:00Z,1279.868,9999.7,10002.033337939236,1.3730412274326227,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T00:00:00Z,1280.241,9999.7,10002.39181282176,1.056172600694481,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T00:00:00Z,1280.241,9999.7,10002.39181282176,1.056172600694481,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T01:00:00Z,1279.978,9999.7,10002.11416851389,2.0009148593744612,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T01:00:00Z,1279.978,9999.7,10002.11416851389,2.0009148593744612,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T02:00:00Z,1280.669,9999.7,10002.790584435186,1.32449893807825,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T02:00:00Z,1280.669,9999.7,10002.790584435186,1.32449893807825,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T03:00:00Z,1280.268,9999.7,10002.375007441551,1.7400759317133634,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T03:00:00Z,1280.268,9999.7,10002.375007441551,1.7400759317133634,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T04:00:00Z,1280.488,9999.7,10002.580418477432,1.5346648958329752,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T04:00:00Z,1280.488,9999.7,10002.580418477432,1.5346648958329752,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T05:00:00Z,1279.808,9999.7,10001.885835176505,2.229248196759727,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T05:00:00Z,1279.808,9999.7,10001.885835176505,2.229248196759727,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T06:00:00Z,1280.058,9999.7,10002.12125169734,1.9938316759253212,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T06:00:00Z,1280.058,9999.7,10002.12125169734,1.9938316759253212,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T07:00:00Z,1280.649,9999.7,10002.697667646991,1.4174157262732479,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T07:00:00Z,1280.649,9999.7,10002.697667646991,1.4174157262732479,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T08:00:00Z,1281.308,9999.7,10003.342084463542,0.7729989097224461,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T08:00:00Z,1281.308,9999.7,10003.342084463542,0.7729989097224461,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T09:00:00Z,1280.821,9999.7,10002.840503876736,1.2745794965285313,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T09:00:00Z,1280.821,9999.7,10002.840503876736,1.2745794965285313,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T10:00:00Z,1280.392,9999.7,10002.396919048611,1.7181643246531166,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T10:00:00Z,1280.392,9999.7,10002.396919048611,1.7181643246531166,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T11:00:00Z,1281.048,9999.7,10003.03833466609,1.076748707175284,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T11:00:00Z,1281.048,9999.7,10003.03833466609,1.076748707175284,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T12:00:00Z,1280.759,9999.7,10002.73475139757,2.632486781829357,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T12:00:00Z,1280.759,9999.7,10002.73475139757,2.632486781829357,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T13:00:00Z,1280.222,9999.7,10002.183168566553,3.184069612845633,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T13:00:00Z,1280.222,9999.7,10002.183168566553,3.184069612845633,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T14:00:00Z,1281.002,9999.7,10002.948584564816,2.418653614582581,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T14:00:00Z,1281.002,9999.7,10002.948584564816,2.418653614582581,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T15:00:00Z,1278.599,9999.7,10000.531000757523,4.836237421875921,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T15:00:00Z,1278.599,9999.7,10000.531000757523,4.836237421875921,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T16:00:00Z,1279.052,9999.7,10000.969419943865,4.397818235533123,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T16:00:00Z,1279.052,9999.7,10000.969419943865,4.397818235533123,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T17:00:00Z,1279.942,9999.7,10001.844834783566,3.522403395832953,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T17:00:00Z,1279.942,9999.7,10001.844834783566,3.522403395832953,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T18:00:00Z,1279.272,9999.7,10001.160251138312,4.206987041086904,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T18:00:00Z,1279.272,9999.7,10001.160251138312,4.206987041086904,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T19:00:00Z,1279.472,9999.7,10001.345667715857,4.0215704635411385,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T19:00:00Z,1279.472,9999.7,10001.345667715857,4.0215704635411385,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T20:00:00Z,1278.379,9999.7,10000.238138490742,5.129099688656424,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T20:00:00Z,1278.379,9999.7,10000.238138490742,5.129099688656424,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T22:00:00Z,1279.941,9999.7,10001.770933425349,3.5963047540499247,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T22:00:00Z,1279.941,9999.7,10001.770933425349,3.5963047540499247,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-05T23:00:00Z,1280.449,9999.7,10002.264362613427,3.1028755659717717,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-05T23:00:00Z,1280.449,9999.7,10002.264362613427,3.1028755659717717,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-06T00:00:00Z,1280.841,9999.7,10002.641753147569,2.725485031829521,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-06T00:00:00Z,1280.841,9999.7,10002.641753147569,2.725485031829521,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-06T01:00:00Z,1282.728,9999.7,10004.514168728589,0.8530694508099259,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-06T01:00:00Z,1282.728,9999.7,10004.514168728589,0.8530694508099259,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-06T02:00:00Z,1284.298,9999.7,10006.069585127894,0.7613493275457586,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-06T02:00:00Z,1284.298,9999.7,10006.069585127894,0.7613493275457586,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-06T03:00:00Z,1284.551,9999.7,10006.308002070024,0.522932385416425,1,25.534360000000003,16.91300000000001
demo_guard_10k,2017-06-06T03:00:00Z,1284.551,9999.7,10006.308002070024,0.522932385416425,1,25.534360000000003,16.91300000000001
frozen_r1_baseline,2017-06-06T04:00:00Z,1284.531,9999.400000000001,10005.667836120372,1.1630983350678434,2,51.2308,23.714999999999918
demo_guard_10k,2017-06-06T04:00:00Z,1284.531,9999.400000000001,10005.667836120372,1.1630983350678434,2,51.2308,23.714999999999918
frozen_r1_baseline,2017-06-06T05:00:00Z,1286.902,9999.400000000001,10010.380668975695,0.7413001840286597,2,51.2308,23.714999999999918
demo_guard_10k,2017-06-06T05:00:00Z,1286.902,9999.400000000001,10010.380668975695,0.7413001840286597,2,51.2308,23.714999999999918
frozen_r1_baseline,2017-06-06T06:00:00Z,1288.468,9999.400000000001,10013.483504221067,2.0278605150451767,2,51.2308,23.714999999999918
demo_guard_10k,2017-06-06T06:00:00Z,1288.468,9999.400000000001,10013.483504221067,2.0278605150451767,2,51.2308,23.714999999999918
frozen_r1_baseline,2017-06-06T07:00:00Z,1289.299,9999.400000000001,10015.116348637734,0.6592420601846243,2,51.2308,23.714999999999918
demo_guard_10k,2017-06-06T07:00:00Z,1289.299,9999.400000000001,10015.116348637734,0.6592420601846243,2,51.2308,23.714999999999918
frozen_r1_baseline,2017-06-06T08:00:00Z,1288.401,9999.100000000002,10011.845595745373,4.399511682289813,3,77.02144,35.26499999999987
demo_guard_10k,2017-06-06T08:00:00Z,1288.401,9999.100000000002,10011.845595745373,4.399511682289813,3,77.02144,35.26499999999987
frozen_r1_baseline,2017-06-06T09:00:00Z,1288.422,9999.100000000002,10011.864838611691,4.380268815972158,3,77.02144,35.26499999999987
demo_guard_10k,2017-06-06T09:00:00Z,1288.422,9999.100000000002,10011.864838611691,4.380268815972158,3,77.02144,35.26499999999987
frozen_r1_baseline,2017-06-06T10:00:00Z,1292.162,9999.100000000002,10023.041088478012,0.5070882777763472,3,77.02144,35.26499999999987
demo_guard_10k,2017-06-06T10:00:00Z,1292.162,9999.100000000002,10023.041088478012,0.5070882777763472,3,77.02144,35.26499999999987
frozen_r1_baseline,2017-06-06T11:00:00Z,1290.548,9999.100000000002,10018.1553511169,9.395235965277607,3,77.02144,35.26499999999987
demo_guard_10k,2017-06-06T11:00:00Z,1290.548,9999.100000000002,10018.1553511169,9.395235965277607,3,77.02144,35.26499999999987
frozen_r1_baseline,2017-06-06T12:00:00Z,1292.358,9999.100000000002,10023.541587870373,4.008999211804621,3,77.02144,35.26499999999987
demo_guard_10k,2017-06-06T12:00:00Z,1292.358,9999.100000000002,10023.541587870373,4.008999211804621,3,77.02144,35.26499999999987
