timestamp_broker,m5_bar_time,time_bucket,candidate,family,symbol,direction,normalized_direction,legacy_shadow_action,legacy_shadow_reason,proposed_v2_shadow_action,proposed_v2_shadow_reason,trend_veto_action,trend_veto_reason,fixed_shadow_action,fixed_shadow_reason,entry_price,stop_loss,take_profit,stop_distance_points,spread_points,resolution_status,resolution_source,matched_position_ticket,actual_state,actual_profit_aed,actual_exit_time,actual_exit_price,replay_model,replay_entry_time,replay_entry_price,replay_synthetic_stop_loss,replay_synthetic_take_profit,replay_signal_risk_points,replay_spread_points,replay_bars_scanned,replay_exit_time,replay_exit_price,gross_outcome_r,estimated_cost_r,cost_source,net_outcome_r,v1_resolution_status,v1_resolution_source,v1_replay_bars_scanned,v1_replay_exit_time,v1_replay_exit_price,v1_gross_outcome_r,v1_estimated_cost_r,v1_cost_source,v1_net_outcome_r,_source_file
2026.06.12 09:15:00,2026.06.12 09:15:00,Afternoon 12:00-15:59,breakout_retest,breakout,EURUSD,LONG,BUY,,,KEEP,KEEP,KEEP,NON_XAU_NOT_TREND_GUARDED,KEEP,NON_XAU_NOT_TREND_GUARDED,1.15769,1.15727,1.15832,42.06,7.00,UNRESOLVED_REPLAY_NO_EXECUTOR_ENTRY_BAR,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,,,,,,,0,,,,,,,REPLAY_TP,m5_bar_replay_plan_v1_adverse_first,1,2026-06-12 09:20:00,1.15832,1.500000,0.166429,signal_spread_fallback,1.333571,trend_guarded_fix_observer_v2_signal_log_breakout_retest_eurusd.csv
2026.06.12 09:40:00,2026.06.12 09:40:00,Afternoon 12:00-15:59,breakout_retest,breakout,EURUSD,LONG,BUY,,,KEEP,KEEP,KEEP,NON_XAU_NOT_TREND_GUARDED,KEEP,NON_XAU_NOT_TREND_GUARDED,1.15888,1.15837,1.15965,51.49,7.00,UNRESOLVED_REPLAY_NO_EXECUTOR_ENTRY_BAR,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,,,,,,,0,,,,,,,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_plan_v1_adverse_first,0,,,,,,,trend_guarded_fix_observer_v2_signal_log_breakout_retest_eurusd.csv
2026.06.12 08:35:00,2026.06.12 08:35:00,Afternoon 12:00-15:59,breakout_retest,breakout,GBPUSD,LONG,BUY,,,KEEP,KEEP,KEEP,NON_XAU_NOT_TREND_GUARDED,KEEP,NON_XAU_NOT_TREND_GUARDED,1.34146,1.34056,1.34281,90.29,13.00,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,2026-06-12 08:40:00,1.341605,1.340560,1.343172,104.500000,13.000000,8,,,,,signal_spread_fallback,,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_plan_v1_adverse_first,9,,,,,,,trend_guarded_fix_observer_v2_signal_log_breakout_retest_gbpusd.csv
2026.06.12 08:40:00,2026.06.12 08:40:00,Afternoon 12:00-15:59,breakout_retest,breakout,GBPUSD,LONG,BUY,,,KEEP,KEEP,KEEP,NON_XAU_NOT_TREND_GUARDED,KEEP,NON_XAU_NOT_TREND_GUARDED,1.34137,1.34061,1.34252,76.49,13.00,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,2026-06-12 08:45:00,1.341685,1.340610,1.343297,107.500000,13.000000,7,,,,,signal_spread_fallback,,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_plan_v1_adverse_first,8,,,,,,,trend_guarded_fix_observer_v2_signal_log_breakout_retest_gbpusd.csv
2026.06.12 10:05:00,2026.06.12 10:05:00,Afternoon 12:00-15:59,breakout_retest,breakout,GBPUSD,LONG,BUY,,,KEEP,KEEP,KEEP,NON_XAU_NOT_TREND_GUARDED,KEEP,NON_XAU_NOT_TREND_GUARDED,1.34219,1.34177,1.34282,42.23,13.00,UNRESOLVED_REPLAY_NO_EXECUTOR_ENTRY_BAR,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,,,,,,,0,,,,,,,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_plan_v1_adverse_first,0,,,,,,,trend_guarded_fix_observer_v2_signal_log_breakout_retest_gbpusd.csv
2026.06.12 08:00:46,2026.06.12 08:00:00,Morning 06:00-11:59,round_number_retest_v0,round,XAUUSD,LONG,BUY,,,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,KEEP,KEEP_TREND_NOT_OPPOSED,KEEP,KEEP_TREND_NOT_OPPOSED,4178.15,4173.13,4185.69,502.35,50.00,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,2026-06-12 08:05:00,4198.175000,4173.130000,4235.742500,2504.500000,75.000000,15,,,,,measured_p95_spread_table,,REPLAY_TP,m5_bar_replay_plan_v1_adverse_first,1,2026-06-12 08:05:00,4185.69,1.501992,0.149298,measured_p95_spread_table,1.352694,trend_guarded_fix_observer_v2_signal_log_round_number_retest_v0_xauusd.csv
2026.06.12 08:05:47,2026.06.12 08:05:00,Afternoon 12:00-15:59,round_number_retest_v0,round,XAUUSD,LONG,BUY,,,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,KEEP,KEEP_TREND_NOT_OPPOSED,KEEP,KEEP_TREND_NOT_OPPOSED,4194.39,4174.52,4224.19,1986.51,50.00,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,2026-06-12 08:10:00,4202.095000,4174.520000,4243.457500,2757.500000,75.000000,14,,,,,measured_p95_spread_table,,REPLAY_TP,m5_bar_replay_plan_v1_adverse_first,11,2026-06-12 09:00:00,4224.19,1.499748,0.037755,measured_p95_spread_table,1.461994,trend_guarded_fix_observer_v2_signal_log_round_number_retest_v0_xauusd.csv
2026.06.12 08:25:47,2026.06.12 08:25:00,Afternoon 12:00-15:59,round_number_retest_v0,round,XAUUSD,LONG,BUY,,,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,KEEP,KEEP_TREND_NOT_OPPOSED,KEEP,KEEP_TREND_NOT_OPPOSED,4219.71,4198.42,4251.65,2129.06,50.00,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,2026-06-12 08:30:00,4213.445000,4198.420000,4235.982500,1502.500000,75.000000,10,,,,,measured_p95_spread_table,,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_plan_v1_adverse_first,11,,,,,,,trend_guarded_fix_observer_v2_signal_log_round_number_retest_v0_xauusd.csv
2026.06.12 09:20:47,2026.06.12 09:20:00,Afternoon 12:00-15:59,round_number_retest_v0,round,XAUUSD,SHORT,SELL,,,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,BLOCK,BLOCK_XAUUSD_SHORT_UPTREND_M15_H1,BLOCK,BLOCK_XAUUSD_SHORT_UPTREND_M15_H1,4221.49,4225.98,4214.75,449.46,50.00,UNRESOLVED_REPLAY_NO_EXECUTOR_ENTRY_BAR,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,,,,,,,0,,,,,,,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_plan_v1_adverse_first,0,,,,,,,trend_guarded_fix_observer_v2_signal_log_round_number_retest_v0_xauusd.csv
2026.06.12 09:25:47,2026.06.12 09:25:00,Afternoon 12:00-15:59,round_number_retest_v0,round,XAUUSD,SHORT,SELL,,,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,BLOCK,BLOCK_XAUUSD_SHORT_UPTREND_M15_H1,BLOCK,BLOCK_XAUUSD_SHORT_UPTREND_M15_H1,4220.75,4227.37,4210.83,661.66,50.00,UNRESOLVED_REPLAY_NO_EXECUTOR_ENTRY_BAR,m5_bar_replay_executor_v2_adverse_first,,,,,,executor_v2,,,,,,,0,,,,,,,UNRESOLVED_REPLAY_NO_SL_TP_HIT,m5_bar_replay_plan_v1_adverse_first,0,,,,,,,trend_guarded_fix_observer_v2_signal_log_round_number_retest_v0_xauusd.csv
