name,trades,wins,losses,wr_pct,wl,pf,net,stress_net_030,stress_pf_030,max_closed_dd,recent3_trades,recent3_net,positive_months,negative_months,book,regime_basis,regime
uptrend,412,204,208,49.51,2.4037,2.3574,6003.83,5880.23,2.311,951.63,0,0.0,14,13,R1_current_long_book,prev_d1_regime,uptrend
downtrend,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R1_current_long_book,prev_d1_regime,downtrend
chop,49,15,34,30.61,5.7891,2.554,488.12,473.42,2.4598,119.15,0,0.0,4,4,R1_current_long_book,prev_d1_regime,chop
compression,55,35,20,63.64,5.4075,9.4631,1647.25,1630.75,9.1277,79.69,0,0.0,5,1,R1_current_long_book,prev_d1_regime,compression
shock,19,11,8,57.89,2.172,2.9865,72.21,66.51,2.7164,22.08,0,0.0,2,2,R1_current_long_book,prev_d1_regime,shock
transition,23,15,8,65.22,3.4313,6.4337,504.95,498.05,6.2245,37.37,0,0.0,3,1,R1_current_long_book,prev_d1_regime,transition
unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R1_current_long_book,prev_d1_regime,unknown
missing,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R1_current_long_book,prev_d1_regime,missing
uptrend,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_pullback_short_v2_hours05_18,prev_d1_regime,uptrend
downtrend,31,13,18,41.94,2.1471,1.5507,76.43,67.13,1.4656,37.21,1,31.7,3,3,R2_pullback_short_v2_hours05_18,prev_d1_regime,downtrend
chop,6,4,2,66.67,1.5648,3.1296,68.83,67.03,3.0361,17.44,2,74.02,3,1,R2_pullback_short_v2_hours05_18,prev_d1_regime,chop
compression,24,15,9,62.5,2.0405,3.4008,152.26,145.06,3.1939,28.73,0,0.0,3,1,R2_pullback_short_v2_hours05_18,prev_d1_regime,compression
shock,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_pullback_short_v2_hours05_18,prev_d1_regime,shock
transition,2,1,1,50.0,7.0678,7.0678,36.71,36.11,6.6866,0.0,1,42.76,1,1,R2_pullback_short_v2_hours05_18,prev_d1_regime,transition
unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_pullback_short_v2_hours05_18,prev_d1_regime,unknown
missing,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_pullback_short_v2_hours05_18,prev_d1_regime,missing
uptrend,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_continuation_short_v4_atr45_daily_loss10,prev_d1_regime,uptrend
downtrend,14,10,4,71.43,1.8128,4.5321,203.66,199.46,4.3887,41.85,14,203.66,1,0,R2_continuation_short_v4_atr45_daily_loss10,prev_d1_regime,downtrend
chop,6,4,2,66.67,1.5987,3.1974,71.35,69.55,3.1031,32.47,6,71.35,1,0,R2_continuation_short_v4_atr45_daily_loss10,prev_d1_regime,chop
compression,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_continuation_short_v4_atr45_daily_loss10,prev_d1_regime,compression
shock,7,2,5,28.57,1.6525,0.661,-25.11,-27.21,0.6399,36.44,5,1.87,1,1,R2_continuation_short_v4_atr45_daily_loss10,prev_d1_regime,shock
transition,30,17,13,56.67,2.5588,3.3462,339.56,330.56,3.224,32.24,30,339.56,2,0,R2_continuation_short_v4_atr45_daily_loss10,prev_d1_regime,transition
unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_continuation_short_v4_atr45_daily_loss10,prev_d1_regime,unknown
missing,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_continuation_short_v4_atr45_daily_loss10,prev_d1_regime,missing
uptrend,412,204,208,49.51,2.4037,2.3574,6003.83,5880.23,2.311,951.63,0,0.0,14,13,R2_combined_current_best,prev_d1_regime,uptrend
downtrend,45,23,22,51.11,2.3203,2.4258,280.09,266.59,2.3129,37.21,15,235.36,3,3,R2_combined_current_best,prev_d1_regime,downtrend
chop,61,23,38,37.7,4.3919,2.6583,628.3,610.0,2.5629,118.22,8,145.37,7,5,R2_combined_current_best,prev_d1_regime,chop
compression,79,50,29,63.29,4.6245,7.9732,1799.51,1775.81,7.657,79.69,0,0.0,8,1,R2_combined_current_best,prev_d1_regime,compression
shock,26,13,13,50.0,1.4266,1.4266,47.1,39.3,1.3438,43.79,5,1.87,3,3,R2_combined_current_best,prev_d1_regime,shock
transition,55,33,22,60.0,3.0772,4.6159,881.22,864.72,4.4546,37.37,31,382.32,5,2,R2_combined_current_best,prev_d1_regime,transition
unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_combined_current_best,prev_d1_regime,unknown
missing,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R2_combined_current_best,prev_d1_regime,missing
uptrend,103,65,38,63.11,2.3015,3.9369,7984.07,7953.17,3.9133,856.09,0,0.0,11,6,R3_compression_long_v1,prev_d1_regime,uptrend
downtrend,17,8,9,47.06,2.1696,1.9285,281.25,276.15,1.9036,271.69,0,0.0,1,3,R3_compression_long_v1,prev_d1_regime,downtrend
chop,35,17,18,48.57,1.4776,1.3955,369.17,358.67,1.3821,464.82,1,-204.7,4,7,R3_compression_long_v1,prev_d1_regime,chop
compression,54,37,17,68.52,3.0782,6.6995,3288.68,3272.48,6.6218,577.01,0,0.0,7,3,R3_compression_long_v1,prev_d1_regime,compression
shock,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R3_compression_long_v1,prev_d1_regime,shock
transition,6,5,1,83.33,2.5086,12.5428,270.91,269.11,12.3214,23.47,0,0.0,2,1,R3_compression_long_v1,prev_d1_regime,transition
unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R3_compression_long_v1,prev_d1_regime,unknown
missing,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R3_compression_long_v1,prev_d1_regime,missing
uptrend,436,223,213,51.15,2.8838,3.0192,9507.07,9376.27,2.9647,951.63,0,0.0,15,12,R3_combined_with_R1,prev_d1_regime,uptrend
downtrend,17,8,9,47.06,2.1696,1.9285,281.25,276.15,1.9036,271.69,0,0.0,1,3,R3_combined_with_R1,prev_d1_regime,downtrend
chop,76,26,50,34.21,2.5725,1.3377,389.83,367.03,1.3139,538.96,1,-204.7,6,9,R3_combined_with_R1,prev_d1_regime,chop
compression,91,55,36,60.44,3.4841,5.3229,3190.07,3162.77,5.2241,577.57,0,0.0,8,3,R3_combined_with_R1,prev_d1_regime,compression
shock,19,11,8,57.89,2.172,2.9865,72.21,66.51,2.7164,22.08,0,0.0,2,2,R3_combined_with_R1,prev_d1_regime,shock
transition,24,15,9,62.5,3.0819,5.1364,481.48,474.28,4.9822,37.37,0,0.0,3,2,R3_combined_with_R1,prev_d1_regime,transition
unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R3_combined_with_R1,prev_d1_regime,unknown
missing,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R3_combined_with_R1,prev_d1_regime,missing
uptrend,232,90,142,38.79,2.1819,1.3829,253.21,183.61,1.2609,65.13,0,0.0,15,11,R4_chop_prior_day_reclaim_both,prev_d1_regime,uptrend
downtrend,42,12,30,28.57,2.2737,0.9095,-8.16,-20.76,0.7906,34.8,1,-5.01,3,4,R4_chop_prior_day_reclaim_both,prev_d1_regime,downtrend
chop,164,50,114,30.49,1.9366,0.8494,-60.53,-109.73,0.7483,111.91,6,-43.89,7,9,R4_chop_prior_day_reclaim_both,prev_d1_regime,chop
compression,2,0,2,0.0,0.0,0.0,-8.71,-9.31,0.0,4.55,0,0.0,0,2,R4_chop_prior_day_reclaim_both,prev_d1_regime,compression
shock,45,13,32,28.89,1.5269,0.6203,-88.5,-102.0,0.5797,116.89,2,-3.33,3,6,R4_chop_prior_day_reclaim_both,prev_d1_regime,shock
transition,41,13,28,31.71,2.2535,1.0463,7.75,-4.55,0.9741,67.19,15,25.5,5,5,R4_chop_prior_day_reclaim_both,prev_d1_regime,transition
unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R4_chop_prior_day_reclaim_both,prev_d1_regime,unknown
missing,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R4_chop_prior_day_reclaim_both,prev_d1_regime,missing
uptrend,644,294,350,45.65,2.6556,2.2307,6257.04,6063.84,2.1685,942.82,0,0.0,16,16,R4_combined_with_R1,prev_d1_regime,uptrend
downtrend,42,12,30,28.57,2.2737,0.9095,-8.16,-20.76,0.7906,34.8,1,-5.01,3,4,R4_combined_with_R1,prev_d1_regime,downtrend
chop,213,65,148,30.52,3.6368,1.5972,427.59,363.69,1.4783,193.98,6,-43.89,8,11,R4_combined_with_R1,prev_d1_regime,chop
compression,57,35,22,61.4,5.6934,9.0577,1638.54,1621.44,8.723,79.69,0,0.0,5,1,R4_combined_with_R1,prev_d1_regime,compression
shock,64,24,40,37.5,1.5659,0.9395,-16.29,-35.49,0.8739,123.05,2,-3.33,5,7,R4_combined_with_R1,prev_d1_regime,shock
transition,64,28,36,43.75,3.8168,2.9686,512.7,493.5,2.8194,42.52,15,25.5,7,5,R4_combined_with_R1,prev_d1_regime,transition
unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R4_combined_with_R1,prev_d1_regime,unknown
missing,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,R4_combined_with_R1,prev_d1_regime,missing
